Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
AF,0,Tackle,Successful,"[39.33333333333332, 52.76190476190476]","[-1, -1]",AF,Enter a player
,,,,,,,
AF,0,Shot(foot),Unsuccessful,"[32.09523809523808, 43.80952380952381]","[17.619047619047606, 40.952380952380956]",AF,Enter a player
AF,1,Pass,Unsuccessful,"[82.38095238095238, 46.476190476190474]","[64.85714285714283, 41.523809523809526]",UCSD,Enter a player
AF,1,Pass,Successful,"[50.38095238095237, 21.714285714285722]","[39.7142857142857, 8.38095238095238]",AF,Enter a player
AF,1,Shot(foot),Unsuccessful,"[15.142857142857132, 20.38095238095238]","[2.1904761904761827, 36.761904761904766]",AF,Enter a player
AF,2,Set Piece,Successful,"[0.857142857142847, 0.5714285714285694]","[8.476190476190467, 8.19047619047619]",AF,Enter a player
AF,2,Pass,Successful,"[10.571428571428562, 4.38095238095238]","[24.666666666666657, 23.23809523809524]",AF,Enter a player
AF,2,Shot(foot),Unsuccessful,"[24.09523809523808, 26.095238095238102]","[9.428571428571416, 36.19047619047619]",AF,Enter a player
AF,3,Tackle,Successful,"[67.52380952380952, 16.19047619047619]","[-1, -1]",AF,Enter a player
AF,3,Pass,Successful,"[101.23809523809524, 37.714285714285715]","[99.9047619047619, 26.47619047619048]",AF,Enter a player
AF,3,Shot(foot),Unsuccessful,"[99.7142857142857, 25.523809523809533]","[119.33333333333331, 38.66666666666667]",AF,Enter a player
AF,4,Set Piece,Successful,"[119.9047619047619, 79.80952380952381]","[114.0, 43.80952380952381]",AF,Enter a player
AF,4,Shot(head),Unsuccessful,"[113.04761904761904, 45.523809523809526]","[118.76190476190476, 39.80952380952381]",AF,Enter a player
AF,5,Tackle,Successful,"[92.28571428571428, 19.80952380952381]","[-1, -1]",AF,Enter a player
AF,5,Shot(foot),Unsuccessful,"[97.42857142857142, 25.523809523809533]","[119.9047619047619, 43.61904761904762]",AF,Enter a player
AF,5,Throw-in,Successful,"[16.09523809523808, 0.1904761904761898]","[33.61904761904761, 8.76190476190476]",AF,Enter a player
AF,5,Pass,Successful,"[117.04761904761904, 15.61904761904762]","[105.23809523809524, 26.66666666666667]",AF,Enter a player
AF,5,Shot(foot),Unsuccessful,"[105.8095238095238, 27.61904761904762]","[118.19047619047618, 38.476190476190474]",AF,Enter a player
