Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
Western Michigan,0,Tackle,Successful,"[28.09523809523808, 34.66666666666667]","[58.19047619047618, 26.85714285714286]",Opponent,Enter a player
,,,,,,,
Western Michigan,0,Pass,Successful,"[3.5238095238095113, 16.38095238095238]","[14.380952380952372, 28.19047619047619]",AF,Enter a player
,,,,,,,
Western Michigan,0,Shot(foot),Unsuccessful,"[16.285714285714278, 28.57142857142857]","[9.619047619047606, 30.85714285714286]",AF,Enter a player
,,,,,,,
Western Michigan,1,Pass,Unsuccessful,"[63.52380952380951, 54.095238095238095]","[76.66666666666666, 43.80952380952381]",Opponent,Enter a player
,,,,,,,
Western Michigan,1,Pass,Successful,"[51.90476190476189, 30.47619047619048]","[38.57142857142856, 21.14285714285714]",AF,Enter a player
,,,,,,,
Western Michigan,1,Shot(foot),Unsuccessful,"[29.23809523809522, 17.14285714285714]","[15.142857142857132, 24.0]",AF,Enter a player
,,,,,,,
Western Michigan,2,Pass,Unsuccessful,"[24.476190476190467, 6.476190476190482]","[47.7142857142857, 8.19047619047619]",Opponent,Enter a player
,,,,,,,
Western Michigan,2,Pass,Successful,"[31.90476190476189, 17.714285714285722]","[24.28571428571427, 38.095238095238095]",AF,Enter a player
,,,,,,,
Western Michigan,2,Shot(foot),Unsuccessful,"[23.14285714285713, 27.04761904761905]","[11.142857142857132, 29.904761904761912]",AF,Enter a player
,,,,,,,
Western Michigan,3,Tackle,Successful,"[85.23809523809521, 49.523809523809526]","[-1, -1]",AF,Enter a player
,,,,,,,
Western Michigan,3,Shot(foot),Unsuccessful,"[90.19047619047618, 44.76190476190476]","[119.52380952380952, 36.952380952380956]",AF,Enter a player
,,,,,,,
Western Michigan,4,Throw-in,Successful,"[68.85714285714283, 0.5714285714285694]","[87.33333333333331, 12.952380952380949]",AF,Enter a player
,,,,,,,
Western Michigan,4,Pass,Successful,"[81.8095238095238, 10.095238095238102]","[89.23809523809521, 13.714285714285722]",AF,Enter a player
,,,,,,,
Western Michigan,4,Shot(foot),Unsuccessful,"[95.14285714285714, 20.95238095238095]","[118.38095238095238, 36.38095238095238]",AF,Enter a player
,,,,,,,
Western Michigan,5,Pass,Unsuccessful,"[74.76190476190476, 27.42857142857143]","[45.42857142857141, 17.33333333333333]",Opponent,Enter a player
,,,,,,,
Western Michigan,5,Pass,Successful,"[114.57142857142856, 15.61904761904762]","[105.61904761904762, 24.95238095238095]",AF,Enter a player
,,,,,,,
Western Michigan,5,Shot(foot),Unsuccessful,"[113.42857142857142, 24.0]","[118.38095238095238, 35.61904761904762]",AF,Enter a player
,,,,,,,
Western Michigan,6,Set Piece,Successful,"[119.7142857142857, 78.85714285714286]","[110.38095238095238, 38.095238095238095]",AF,Enter a player
,,,,,,,
Western Michigan,6,Shot(foot),Successful,"[111.33333333333331, 37.333333333333336]","[119.9047619047619, 36.57142857142857]",AF,Enter a player
Michigan St,7,Set Piece,Unsuccessful,"[31.52380952380951, 62.476190476190474]","[12.476190476190467, 26.285714285714292]",AF,Enter a player
,,,,,,,
Michigan St,7,Tackle,Successful,"[12.09523809523808, 29.714285714285722]","[24.476190476190467, 30.66666666666667]",Opponent,Enter a player
,,,,,,,
Michigan St,7,Shot(foot),Unsuccessful,"[25.047619047619037, 31.23809523809524]","[7.714285714285701, 41.523809523809526]",AF,Enter a player
,,,,,,,
Michigan St,8,Tackle,Successful,"[75.7142857142857, 46.666666666666664]","[-1, -1]",AF,Enter a player
,,,,,,,
Michigan St,8,Pass,Successful,"[118.38095238095238, 16.95238095238095]","[108.66666666666666, 28.19047619047619]",AF,Enter a player
,,,,,,,
Michigan St,8,Shot(foot),Unsuccessful,"[109.04761904761904, 28.95238095238095]","[117.61904761904762, 38.85714285714286]",AF,Enter a player
,,,,,,,
Michigan St,9,Pass,Unsuccessful,"[91.14285714285714, 20.95238095238095]","[104.66666666666666, 55.23809523809524]",Opponent,Enter a player
,,,,,,,
Michigan St,9,Pass,Successful,"[105.8095238095238, 56.19047619047619]","[105.61904761904762, 43.23809523809524]",AF,Enter a player
,,,,,,,
Michigan St,9,Shot(foot),Successful,"[105.23809523809524, 43.23809523809524]","[119.33333333333331, 38.66666666666667]",AF,Enter a player
,,,,,,,
Michigan St,10,Tackle,Successful,"[34.95238095238094, 49.142857142857146]","[-1, -1]",AF,Enter a player
,,,,,,,
Michigan St,10,Pass,Successful,"[51.33333333333332, 68.76190476190476]","[99.14285714285714, 5.904761904761912]",AF,Enter a player
,,,,,,,
