Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
AF,0,Pass,Unsuccessful,"[37.99999999999999, 3.047619047619051]","[37.61904761904761, 16.57142857142857]",AF,8
,,,,,,,
AF,0,Pass,Successful,"[111.14285714285714, 17.523809523809533]","[112.47619047619045, 37.904761904761905]",UCSD,-1
,,,,,,,
AF,0,Shot(head),Unsuccessful,"[113.04761904761904, 39.04761904761905]","[118.19047619047618, 39.42857142857143]",UCSD,-1
,,,,,,,
AF,1,Tackle,Successful,"[81.61904761904759, 63.80952380952381]","[-1, -1]",UCSD,11
,,,,,,,
AF,1,Pass,Successful,"[111.9047619047619, 64.38095238095238]","[111.52380952380952, 39.80952380952381]",UCSD,-1
,,,,,,,
AF,1,Shot(foot),Unsuccessful,"[112.85714285714286, 39.23809523809524]","[119.14285714285714, 42.476190476190474]",UCSD,-1
,,,,,,,
AF,2,Set Piece,Successful,"[68.66666666666666, 67.04761904761905]","[101.04761904761904, 71.80952380952381]",UCSD,5
,,,,,,,
AF,2,Pass,Successful,"[112.47619047619045, 66.66666666666667]","[111.33333333333331, 37.333333333333336]",UCSD,-1
,,,,,,,
AF,2,Shot(foot),Successful,"[111.33333333333331, 37.142857142857146]","[119.9047619047619, 37.904761904761905]",UCSD,-1
,,,,,,,
AF,3,Tackle,Successful,"[65.04761904761904, 6.857142857142861]","[-1, -1]",UCSD,5
,,,,,,,
AF,3,Pass,Successful,"[21.238095238095227, 68.19047619047619]","[28.47619047619046, 53.333333333333336]",UCSD,-1
,,,,,,,
AF,3,Shot(foot),Unsuccessful,"[29.04761904761903, 50.285714285714285]","[1.6190476190476062, 47.61904761904762]",UCSD,-1
,,,,,,,
AF,4,Pass,Successful,"[114.0, 40.761904761904766]","[112.47619047619045, 48.19047619047619]",UCSD,1
,,,,,,,
AF,4,Pass,Successful,"[54.38095238095237, 10.666666666666671]","[28.85714285714284, 50.476190476190474]",UCSD,-1
,,,,,,,
AF,4,Shot(foot),Unsuccessful,"[29.42857142857141, 47.23809523809524]","[19.7142857142857, 45.904761904761905]",UCSD,-1
,,,,,,,
AF,5,Tackle,Successful,"[23.14285714285713, 46.285714285714285]","[57.6190476190476, 50.666666666666664]",AF,6
,,,,,,,
AF,5,Pass,Successful,"[30.380952380952372, 74.85714285714286]","[28.28571428571427, 62.285714285714285]",UCSD,-1
,,,,,,,
AF,5,Shot(foot),Unsuccessful,"[12.476190476190467, 51.23809523809524]","[9.428571428571416, 48.19047619047619]",UCSD,-1
,,,,,,,
AF,6,Set Piece,Successful,"[0.857142857142847, 79.80952380952381]","[26.571428571428562, 71.04761904761905]",UCSD,17
,,,,,,,
AF,6,Tackle,Successful,"[5.999999999999986, 35.80952380952381]","[15.904761904761891, 36.57142857142857]",AF,-1
,,,,,,,
AF,6,Shot(foot),Unsuccessful,"[17.238095238095227, 36.57142857142857]","[6.761904761904752, 38.85714285714286]",UCSD,-1
,,,,,,,
AF,6,Tackle,Successful,"[31.14285714285713, 31.80952380952381]","[-1, -1]",UCSD,17
,,,,,,,
AF,6,Shot(foot),Unsuccessful,"[23.52380952380951, 34.095238095238095]","[2.1904761904761827, 36.19047619047619]",UCSD,17
,,,,,,,
AF,7,Tackle,Successful,"[91.7142857142857, 18.66666666666667]","[-1, -1]",UCSD,8
,,,,,,,
AF,7,Tackle,Successful,"[8.666666666666657, 41.142857142857146]","[17.238095238095227, 50.476190476190474]",AF,-1
,,,,,,,
AF,7,Shot(foot),Unsuccessful,"[17.047619047619037, 51.61904761904762]","[10.952380952380942, 47.04761904761905]",UCSD,-1
,,,,,,,
AF,8,Pass,Successful,"[5.809523809523796, 58.095238095238095]","[8.666666666666657, 33.714285714285715]",UCSD,-1
,,,,,,,
AF,8,Shot(head),Unsuccessful,"[9.999999999999986, 32.761904761904766]","[2.5714285714285623, 38.095238095238095]",UCSD,-1
,,,,,,,
AF,9,Set Piece,Successful,"[4.476190476190467, 73.14285714285714]","[6.761904761904752, 41.523809523809526]",UCSD,31
,,,,,,,
AF,9,Shot(head),Successful,"[7.904761904761891, 40.761904761904766]","[1.0476190476190368, 40.761904761904766]",UCSD,6
,,,,,,,
AF,10,Pass,Unsuccessful,"[12.857142857142847, 37.142857142857146]","[38.57142857142856, 12.57142857142857]",AF,20
,,,,,,,
AF,10,Pass,Successful,"[41.04761904761903, 13.523809523809533]","[30.952380952380942, 20.0]",UCSD,20
,,,,,,,
AF,10,Shot(foot),Unsuccessful,"[29.619047619047613, 34.476190476190474]","[1.809523809523796, 40.38095238095238]",UCSD,20
,,,,,,,
AF,11,Pass,Unsuccessful,"[59.33333333333332, 58.666666666666664]","[93.04761904761904, 50.095238095238095]",AF,6
,,,,,,,
AF,11,Pass,Successful,"[97.04761904761904, 50.476190476190474]","[71.33333333333331, 57.714285714285715]",UCSD,6
,,,,,,,
AF,11,Shot(foot),Successful,"[65.61904761904759, 48.38095238095238]","[1.999999999999993, 38.285714285714285]",UCSD,29
,,,,,,,
AF,12,Pass,Successful,"[106.0, 32.38095238095238]","[85.04761904761904, 10.476190476190482]",UCSD,1
,,,,,,,
AF,12,Pass,Successful,"[30.190476190476183, 35.42857142857143]","[16.857142857142847, 56.19047619047619]",UCSD,-1
,,,,,,,
AF,12,Shot(foot),Unsuccessful,"[11.714285714285701, 50.476190476190474]","[1.809523809523796, 39.42857142857143]",UCSD,-1
