Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
CSUN,0,Pass,Successful,"[60.28571428571427, 39.61904761904762]","[73.8095238095238, 43.04761904761905]",CSUN,Enter a player
,,,,,,,
CSUN,0,Pass,Successful,"[14.380952380952372, 23.61904761904762]","[22.761904761904752, 34.285714285714285]",CSUN,Enter a player
,,,,,,,
CSUN,0,Shot(foot),Unsuccessful,"[24.666666666666657, 40.952380952380956]","[1.809523809523796, 51.23809523809524]",CSUN,Enter a player
,,,,,,,
CSUN,1,Tackle,Successful,"[92.09523809523807, 61.523809523809526]","[-1, -1]",CSUN,23
,,,,,,,
CSUN,1,Pass,Successful,"[75.52380952380952, 59.42857142857143]","[24.28571428571427, 58.857142857142854]",CSUN,23
,,,,,,,
CSUN,1,Shot(foot),Unsuccessful,"[8.666666666666657, 54.095238095238095]","[1.4285714285714164, 34.85714285714286]",CSUN,23
,,,,,,,
CSUN,2,Tackle,Successful,"[18.190476190476176, 70.85714285714286]","[-1, -1]",CSUN,20
,,,,,,,
CSUN,2,Tackle,Successful,"[9.047619047619037, 53.714285714285715]","[15.142857142857132, 45.904761904761905]",UCSD,20
,,,,,,,
CSUN,2,Shot(foot),Unsuccessful,"[11.523809523809511, 46.476190476190474]","[0.857142857142847, 40.952380952380956]",CSUN,20
,,,,,,,
CSUN,3,Pass,Successful,"[99.7142857142857, 39.42857142857143]","[94.38095238095238, 26.095238095238102]",CSUN,20
,,,,,,,
CSUN,3,Tackle,Successful,"[4.476190476190467, 39.04761904761905]","[32.09523809523808, 35.42857142857143]",UCSD,20
,,,,,,,
CSUN,3,Shot(foot),Unsuccessful,"[24.28571428571427, 28.95238095238095]","[0.857142857142847, 32.952380952380956]",CSUN,20
,,,,,,,
CSUN,4,Set Piece,Unsuccessful,"[21.238095238095227, 24.38095238095238]","[10.380952380952372, 31.42857142857143]",CSUN,20
,,,,,,,
CSUN,4,Shot(foot),Unsuccessful,"[21.238095238095227, 24.19047619047619]","[10.761904761904752, 30.85714285714286]",CSUN,20
,,,,,,,
CSUN,4,Pass,Successful,"[8.857142857142847, 39.04761904761905]","[15.714285714285701, 39.04761904761905]",CSUN,20
,,,,,,,
CSUN,4,Shot(foot),Unsuccessful,"[17.428571428571416, 39.04761904761905]","[0.4761904761904674, 45.142857142857146]",CSUN,20
,,,,,,,
CSUN,5,Pass,Unsuccessful,"[73.42857142857142, 26.85714285714286]","[88.47619047619045, 22.66666666666667]",UCSD,19
,,,,,,,
CSUN,5,Pass,Successful,"[39.90476190476189, 6.095238095238102]","[36.85714285714284, 15.80952380952381]",CSUN,19
,,,,,,,
CSUN,5,Shot(foot),Unsuccessful,"[33.42857142857141, 25.14285714285714]","[1.4285714285714164, 40.761904761904766]",CSUN,19
,,,,,,,
CSUN,6,Set Piece,Unsuccessful,"[97.42857142857142, 35.42857142857143]","[110.95238095238093, 35.42857142857143]",CSUN,19
,,,,,,,
CSUN,6,Shot(foot),Unsuccessful,"[98.19047619047618, 35.61904761904762]","[108.09523809523807, 35.23809523809524]",CSUN,19
,,,,,,,
CSUN,7,Set Piece,Successful,"[54.76190476190475, 42.85714285714286]","[54.95238095238094, 58.476190476190474]",CSUN,19
,,,,,,,
CSUN,7,Pass,Successful,"[74.76190476190476, 39.42857142857143]","[92.66666666666666, 30.66666666666667]",CSUN,19
,,,,,,,
CSUN,7,Shot(foot),Unsuccessful,"[99.9047619047619, 46.285714285714285]","[119.7142857142857, 32.761904761904766]",CSUN,19
,,,,,,,
CSUN,8,Pass,Unsuccessful,"[96.47619047619045, 21.904761904761912]","[67.33333333333331, 17.14285714285714]",UCSD,20
,,,,,,,
CSUN,8,Pass,Successful,"[68.47619047619045, 11.61904761904762]","[68.09523809523807, 37.523809523809526]",CSUN,20
,,,,,,,
CSUN,8,Shot(foot),Unsuccessful,"[85.99999999999997, 44.38095238095238]","[119.14285714285714, 38.85714285714286]",CSUN,20
,,,,,,,
CSUN,9,Pass,Unsuccessful,"[82.57142857142856, 4.571428571428569]","[46.19047619047618, 12.0]",UCSD,12
,,,,,,,
CSUN,9,Pass,Successful,"[83.33333333333331, 32.761904761904766]","[97.8095238095238, 30.85714285714286]",CSUN,12
,,,,,,,
CSUN,9,Shot(foot),Unsuccessful,"[98.38095238095238, 48.76190476190476]","[108.09523809523807, 46.85714285714286]",CSUN,12
,,,,,,,
CSUN,10,Pass,Successful,"[6.190476190476183, 37.904761904761905]","[23.7142857142857, 24.76190476190476]",CSUN,12
,,,,,,,
CSUN,10,Tackle,Successful,"[113.8095238095238, 37.904761904761905]","[109.23809523809524, 47.04761904761905]",UCSD,12
,,,,,,,
CSUN,10,Shot(foot),Unsuccessful,"[111.14285714285714, 47.80952380952381]","[119.33333333333331, 41.714285714285715]",CSUN,12
,,,,,,,
CSUN,11,Throw-in,Successful,"[96.47619047619045, 0.1904761904761898]","[95.52380952380952, 18.47619047619048]",CSUN,12
,,,,,,,
CSUN,11,Tackle,Successful,"[103.14285714285714, 31.61904761904762]","[79.52380952380952, 27.23809523809524]",UCSD,12
,,,,,,,
CSUN,11,Shot(foot),Unsuccessful,"[86.76190476190476, 31.42857142857143]","[119.9047619047619, 39.23809523809524]",CSUN,12
,,,,,,,
CSUN,12,Pass,Successful,"[14.380952380952372, 30.285714285714292]","[56.66666666666665, 7.428571428571431]",CSUN,12
,,,,,,,
CSUN,12,Pass,Successful,"[114.95238095238093, 59.04761904761905]","[105.61904761904762, 45.142857142857146]",CSUN,12
,,,,,,,
CSUN,12,Shot(foot),Unsuccessful,"[100.85714285714286, 42.476190476190474]","[119.33333333333331, 36.0]",CSUN,12
,,,,,,,
CSUN,13,Throw-in,Successful,"[8.857142857142847, 79.80952380952381]","[2.761904761904752, 61.904761904761905]",CSUN,12
,,,,,,,
CSUN,13,Pass,Successful,"[108.85714285714286, 30.285714285714292]","[104.85714285714286, 35.61904761904762]",CSUN,12
,,,,,,,
CSUN,13,Shot(foot),Unsuccessful,"[103.52380952380952, 36.57142857142857]","[119.33333333333331, 33.714285714285715]",CSUN,12
