numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,
0,Throw-in,Successful,"[33.04761904761903, 0.3809523809523796]","[22.571428571428562, 11.047619047619051]",Duke
,,,,,
0,Pass,Successful,"[17.047619047619037, 12.38095238095238]","[9.619047619047606, 21.14285714285714]",Duke
,,,,,
0,Pass,Successful,"[1.4285714285714164, 24.0]","[7.142857142857132, 47.80952380952381]",Duke
,,,,,
0,Shot(foot),Unsuccessful,"[8.666666666666657, 48.19047619047619]","[0.857142857142847, 49.904761904761905]",Duke
,,,,,
1,Tackle,Successful,"[30.952380952380942, 62.857142857142854]","[-1, -1]",Duke
,,,,,
1,Pass,Successful,"[2.5714285714285623, 54.095238095238095]","[5.428571428571416, 44.19047619047619]",Duke
,,,,,
1,Shot(foot),Successful,"[6.190476190476183, 43.42857142857143]","[0.2857142857142776, 36.57142857142857]",Duke
,,,,,
2,1st Ball,Successful,"[23.90476190476189, 31.04761904761905]","[39.33333333333332, 24.0]",UCSD
,,,,,
2,2nd Ball,Successful,"[41.04761904761903, 23.04761904761905]","[23.90476190476189, 32.38095238095238]",Duke
,,,,,
2,Pass,Successful,"[17.238095238095227, 50.285714285714285]","[22.952380952380942, 59.42857142857143]",Duke
,,,,,
2,Pass,Successful,"[24.09523809523808, 58.857142857142854]","[11.142857142857132, 42.666666666666664]",Duke
,,,,,
2,Shot(foot),Unsuccessful,"[11.523809523809511, 37.523809523809526]","[0.4761904761904674, 38.85714285714286]",Duke
,,,,,
2,Save,Successful,"[1.6190476190476062, 39.04761904761905]","[1.999999999999993, 26.095238095238102]",UCSD
,,,,,
2,Pass,Successful,"[1.999999999999993, 25.33333333333333]","[10.761904761904752, 44.76190476190476]",Duke
,,,,,
2,Shot(foot),Successful,"[11.904761904761891, 46.095238095238095]","[0.2857142857142776, 37.142857142857146]",Duke
,,,,,
3,Throw-in,Successful,"[37.8095238095238, 80.0]","[51.33333333333332, 72.57142857142857]",Duke
,,,,,
3,Pass,Successful,"[50.95238095238094, 71.42857142857143]","[72.28571428571428, 69.9047619047619]",Duke
,,,,,
3,Pass,Successful,"[73.23809523809521, 69.9047619047619]","[69.42857142857142, 45.523809523809526]",Duke
,,,,,
3,Pass,Successful,"[65.8095238095238, 46.095238095238095]","[62.19047619047618, 73.14285714285714]",Duke
,,,,,
3,Pass,Successful,"[52.85714285714284, 73.14285714285714]","[68.47619047619045, 58.476190476190474]",Duke
,,,,,
3,Pass,Successful,"[56.85714285714284, 54.095238095238095]","[46.57142857142856, 70.85714285714286]",Duke
,,,,,
3,Pass,Successful,"[45.04761904761903, 73.9047619047619]","[53.99999999999999, 61.523809523809526]",Duke
,,,,,
3,Pass,Successful,"[55.14285714285713, 63.42857142857143]","[43.7142857142857, 52.952380952380956]",Duke
,,,,,
3,Pass,Successful,"[40.09523809523808, 51.04761904761905]","[42.38095238095237, 35.23809523809524]",Duke
,,,,,
3,Shot(foot),Unsuccessful,"[34.19047619047618, 25.904761904761912]","[1.0476190476190368, 38.85714285714286]",Duke
,,,,,
