Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Enter a game,0,1st Ball,Successful,"[36.85714285714284, 38.095238095238095]","[36.85714285714284, 38.095238095238095]",Duke
,,,,,,
Enter a game,0,Tackle,Successful,"[25.428571428571416, 32.19047619047619]","[18.190476190476176, 18.47619047619048]",USD
,,,,,,
Enter a game,0,Shot(foot),Unsuccessful,"[17.619047619047606, 18.66666666666667]","[1.4285714285714164, 38.095238095238095]",Duke
,,,,,,
Enter a game,1,Tackle,Successful,"[30.380952380952372, 46.666666666666664]","[30.190476190476183, 46.666666666666664]",Duke
,,,,,,
Enter a game,1,Pass,Successful,"[21.428571428571416, 34.85714285714286]","[7.523809523809511, 26.285714285714292]",Duke
,,,,,,
Enter a game,1,Shot(foot),Unsuccessful,"[7.3333333333333215, 25.904761904761912]","[0.6666666666666572, 30.85714285714286]",Duke
,,,,,,
Enter a game,2,1st Ball,Successful,"[85.8095238095238, 19.80952380952381]","[72.09523809523807, 40.38095238095238]",USD
,,,,,,
Enter a game,2,Pass,Successful,"[69.61904761904759, 55.42857142857143]","[89.04761904761904, 75.04761904761905]",Duke
,,,,,,
Enter a game,2,Pass,Unsuccessful,"[115.7142857142857, 64.38095238095238]","[116.47619047619045, 48.952380952380956]",Duke
,,,,,,
Enter a game,2,Tackle,Unsuccessful,"[116.47619047619045, 49.523809523809526]","[118.0, 49.904761904761905]",USD
,,,,,,
Enter a game,2,Pass,Successful,"[117.04761904761904, 50.666666666666664]","[113.23809523809524, 42.285714285714285]",Duke
,,,,,,
Enter a game,2,Shot(foot),Successful,"[112.09523809523807, 43.80952380952381]","[119.52380952380952, 38.66666666666667]",Duke
,,,,,,
Enter a game,3,Pass,Unsuccessful,"[89.61904761904759, 53.904761904761905]","[58.57142857142856, 44.76190476190476]",USD
,,,,,,
Enter a game,3,Pass,Successful,"[57.23809523809522, 43.80952380952381]","[47.33333333333332, 49.904761904761905]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[49.42857142857141, 50.85714285714286]","[53.42857142857141, 72.0]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[89.04761904761904, 48.19047619047619]","[77.99999999999997, 35.04761904761905]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[78.38095238095238, 40.0]","[77.61904761904759, 52.19047619047619]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[78.95238095238093, 54.095238095238095]","[61.42857142857141, 48.0]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[66.0, 42.285714285714285]","[63.7142857142857, 14.666666666666671]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[65.04761904761904, 13.142857142857139]","[84.85714285714283, 2.285714285714292]",Duke
,,,,,,
Enter a game,3,Pass,Successful,"[83.7142857142857, 6.666666666666671]","[90.19047619047618, 18.85714285714286]",Duke
,,,,,,
Enter a game,3,Shot(foot),Successful,"[90.76190476190476, 27.04761904761905]","[119.33333333333331, 42.85714285714286]",Duke
,,,,,,
Enter a game,4,Tackle,Successful,"[71.14285714285714, 53.142857142857146]","[-1, -1]",Duke
,,,,,,
Enter a game,4,Pass,Successful,"[89.42857142857142, 43.61904761904762]","[108.85714285714286, 53.904761904761905]",Duke
,,,,,,
Enter a game,4,Shot(foot),Unsuccessful,"[111.9047619047619, 54.666666666666664]","[119.9047619047619, 44.19047619047619]",Duke
,,,,,,
Enter a game,5,1st Ball,Successful,"[86.38095238095238, 51.23809523809524]","[94.76190476190476, 61.333333333333336]",USD
,,,,,,
Enter a game,5,Pass,Successful,"[97.8095238095238, 60.95238095238095]","[101.23809523809524, 40.952380952380956]",Duke
,,,,,,
Enter a game,5,Shot(foot),Unsuccessful,"[101.8095238095238, 39.04761904761905]","[119.52380952380952, 45.142857142857146]",Duke
,,,,,,
Enter a game,6,Set Piece,Successful,"[83.33333333333331, 21.714285714285722]","[87.9047619047619, 40.952380952380956]",Duke
,,,,,,
Enter a game,6,Shot(foot),Unsuccessful,"[89.61904761904759, 40.0]","[119.9047619047619, 38.285714285714285]",Duke
,,,,,,
Enter a game,7,Set Piece,Unsuccessful,"[119.33333333333331, 0.1904761904761898]","[115.14285714285714, 39.80952380952381]",Duke
,,,,,,
Enter a game,7,Tackle,Successful,"[115.33333333333331, 37.714285714285715]","[99.9047619047619, 38.85714285714286]",USD
,,,,,,
Enter a game,7,Shot(foot),Unsuccessful,"[98.57142857142856, 39.80952380952381]","[110.0, 39.80952380952381]",Duke
