Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
VMI,0,2nd Ball,Successful,"[36.09523809523808, 40.952380952380956]","[-1, -1]",Howard,8
,,,,,,,
VMI,0,Pass,Successful,"[40.09523809523808, 37.714285714285715]","[30.952380952380942, 26.47619047619048]",Howard,-1
,,,,,,,
VMI,0,Pass,Successful,"[41.99999999999999, 28.19047619047619]","[36.09523809523808, 14.476190476190482]",Howard,-1
,,,,,,,
VMI,0,Pass,Successful,"[29.809523809523803, 14.476190476190482]","[37.61904761904761, 26.47619047619048]",Howard,-1
,,,,,,,
VMI,0,Shot(foot),Unsuccessful,"[34.76190476190475, 26.85714285714286]","[0.857142857142847, 41.333333333333336]",Howard,-1
,,,,,,,
VMI,1,Set Piece,Unsuccessful,"[26.380952380952372, 53.142857142857146]","[1.2380952380952266, 38.476190476190474]",Howard,-1
,,,,,,,
VMI,1,Shot(foot),Unsuccessful,"[25.047619047619037, 52.57142857142857]","[1.6190476190476062, 39.04761904761905]",Howard,-1
,,,,,,,
VMI,2,Pass,Successful,"[21.047619047619037, 23.42857142857143]","[27.7142857142857, 33.333333333333336]",Howard,-1
,,,,,,,
VMI,2,Shot(foot),Unsuccessful,"[27.52380952380951, 34.095238095238095]","[0.2857142857142776, 46.095238095238095]",Howard,-1
,,,,,,,
VMI,3,Set Piece,Successful,"[0.0952380952380878, 80.0]","[6.571428571428562, 30.285714285714292]",Howard,11
,,,,,,,
VMI,3,Shot(head),Unsuccessful,"[6.952380952380942, 29.714285714285722]","[1.4285714285714164, 35.80952380952381]",Howard,11
,,,,,,,
VMI,4,2nd Ball,Successful,"[32.66666666666665, 32.761904761904766]","[-1, -1]",Howard,8
,,,,,,,
VMI,4,Pass,Successful,"[32.09523809523808, 34.095238095238095]","[19.90476190476189, 21.904761904761912]",Howard,-1
,,,,,,,
VMI,4,Shot(foot),Unsuccessful,"[16.476190476190467, 20.19047619047619]","[1.809523809523796, 47.23809523809524]",Howard,-1
,,,,,,,
VMI,5,Pass,Unsuccessful,"[23.14285714285713, 24.0]","[54.76190476190475, 16.57142857142857]",Opponent,-1
,,,,,,,
VMI,5,Tackle,Successful,"[6.190476190476183, 38.66666666666667]","[13.238095238095227, 38.285714285714285]",Opponent,-1
,,,,,,,
VMI,5,Shot(foot),Unsuccessful,"[15.904761904761891, 38.66666666666667]","[1.6190476190476062, 41.714285714285715]",Howard,-1
