Game,Event,Result,Start Pos,End Pos,Player
intersquad,Pass,Unsuccessful,"[113.8095238095238, 66.85714285714286]","[113.04761904761904, 44.76190476190476]",Blue
intersquad,Pass,Unsuccessful,"[97.04761904761904, 69.14285714285714]","[111.33333333333331, 33.333333333333336]",Blue
intersquad,Throw-in,Successful,"[55.52380952380951, 0.0]","[56.66666666666665, 6.476190476190482]",Blue
intersquad,Throw-in,Successful,"[86.38095238095238, 0.7619047619047592]","[59.90476190476189, 9.523809523809533]",Grey
intersquad,Throw-in,Successful,"[66.0, 0.3809523809523796]","[57.99999999999999, 7.80952380952381]",Grey
intersquad,Throw-in,Successful,"[63.33333333333332, 79.42857142857143]","[39.14285714285713, 66.47619047619048]",Blue
intersquad,Pass,Unsuccessful,"[85.42857142857142, 59.61904761904762]","[112.47619047619045, 55.80952380952381]",Blue
intersquad,Throw-in,Successful,"[104.66666666666666, 80.0]","[110.57142857142856, 66.28571428571428]",Blue
intersquad,Pass,Successful,"[21.999999999999986, 11.047619047619051]","[9.238095238095227, 28.95238095238095]",Grey
intersquad,Pass,Successful,"[93.8095238095238, 30.85714285714286]","[116.85714285714286, 25.33333333333333]",Blue
intersquad,Throw-in,Successful,"[28.09523809523808, 0.5714285714285694]","[27.52380952380951, 4.761904761904759]",Blue
intersquad,Throw-in,Successful,"[59.7142857142857, 0.7619047619047592]","[40.85714285714284, 11.42857142857143]",Grey
intersquad,Throw-in,Successful,"[92.47619047619048, 0.3809523809523796]","[117.04761904761904, 16.0]",Grey
intersquad,Throw-in,Successful,"[50.76190476190475, 0.0]","[55.90476190476189, 10.285714285714292]",Grey
intersquad,Pass,Unsuccessful,"[117.61904761904762, 66.28571428571428]","[114.57142857142856, 22.85714285714286]",Blue
