Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Lipscomb,0,Pass,Unsuccessful,"[25.238095238095227, 56.95238095238095]","[44.47619047619046, 30.47619047619048]",UCSD
,,,,,,
Lipscomb,0,Pass,Successful,"[41.61904761904761, 28.57142857142857]","[30.571428571428562, 43.42857142857143]",Lipscomb
,,,,,,
Lipscomb,0,Pass,Successful,"[24.476190476190467, 44.952380952380956]","[22.190476190476176, 56.57142857142857]",Lipscomb
,,,,,,
Lipscomb,0,Shot(foot),Unsuccessful,"[22.190476190476176, 56.95238095238095]","[1.2380952380952266, 37.523809523809526]",Lipscomb
,,,,,,
Lipscomb,1,Tackle,Successful,"[104.28571428571428, 47.80952380952381]","[81.8095238095238, 57.714285714285715]",UCSD
,,,,,,
Lipscomb,1,Pass,Successful,"[81.8095238095238, 59.23809523809524]","[103.52380952380952, 57.142857142857146]",Lipscomb
,,,,,,
Lipscomb,1,Pass,Successful,"[103.9047619047619, 49.333333333333336]","[105.23809523809524, 27.23809523809524]",Lipscomb
,,,,,,
Lipscomb,1,Tackle,Successful,"[105.42857142857142, 27.80952380952381]","[95.9047619047619, 38.285714285714285]",UCSD
,,,,,,
Lipscomb,1,Shot(foot),Unsuccessful,"[93.8095238095238, 40.761904761904766]","[119.9047619047619, 45.333333333333336]",Lipscomb
,,,,,,
Lipscomb,2,1st Ball,Successful,"[49.23809523809522, 30.47619047619048]","[62.95238095238094, 23.61904761904762]",Lipscomb
,,,,,,
Lipscomb,2,Pass,Successful,"[77.42857142857142, 23.04761904761905]","[92.28571428571428, 5.714285714285722]",Lipscomb
,,,,,,
Lipscomb,2,Shot(foot),Unsuccessful,"[104.66666666666666, 20.19047619047619]","[114.95238095238093, 32.38095238095238]",Lipscomb
,,,,,,
Lipscomb,3,Tackle,Successful,"[86.38095238095238, 38.66666666666667]","[-1, -1]",Lipscomb
,,,,,,
Lipscomb,3,Shot(foot),Unsuccessful,"[95.9047619047619, 51.42857142857143]","[119.33333333333331, 41.714285714285715]",Lipscomb
,,,,,,
Lipscomb,4,Pass,Unsuccessful,"[100.47619047619045, 70.28571428571428]","[59.90476190476189, 64.95238095238095]",UCSD
,,,,,,
Lipscomb,4,Pass,Successful,"[59.33333333333332, 66.85714285714286]","[87.52380952380952, 69.14285714285714]",Lipscomb
,,,,,,
Lipscomb,4,Shot(foot),Unsuccessful,"[102.57142857142856, 41.142857142857146]","[108.09523809523807, 39.42857142857143]",Lipscomb
,,,,,,
Lipscomb,5,Tackle,Successful,"[40.66666666666665, 18.095238095238102]","[-1, -1]",Lipscomb
,,,,,,
Lipscomb,5,Pass,Successful,"[39.7142857142857, 19.80952380952381]","[79.33333333333331, 4.19047619047619]",Lipscomb
,,,,,,
Lipscomb,5,Pass,Successful,"[91.7142857142857, 4.19047619047619]","[107.7142857142857, 30.85714285714286]",Lipscomb
,,,,,,
Lipscomb,5,Shot(foot),Unsuccessful,"[114.95238095238093, 24.19047619047619]","[119.9047619047619, 34.285714285714285]",Lipscomb
,,,,,,
Lipscomb,6,Set Piece,Successful,"[24.666666666666657, 27.42857142857143]","[1.2380952380952266, 42.285714285714285]",Lipscomb
,,,,,,
Lipscomb,6,Shot(foot),Successful,"[25.619047619047606, 31.61904761904762]","[0.6666666666666572, 43.23809523809524]",Lipscomb
,,,,,,
Lipscomb,7,Set Piece,Unsuccessful,"[30.761904761904752, 23.04761904761905]","[17.619047619047606, 31.42857142857143]",Lipscomb
,,,,,,
Lipscomb,7,Shot(foot),Unsuccessful,"[31.33333333333332, 24.95238095238095]","[18.380952380952372, 31.42857142857143]",Lipscomb
,,,,,,
Lipscomb,8,Set Piece,Successful,"[107.9047619047619, 39.42857142857143]","[119.7142857142857, 41.714285714285715]",Lipscomb
,,,,,,
Lipscomb,8,Shot(foot),Successful,"[107.9047619047619, 39.80952380952381]","[119.33333333333331, 43.23809523809524]",Lipscomb
