Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Lipscomb,0,Set Piece,Successful,"[64.66666666666666, 7.80952380952381]","[117.04761904761904, 8.0]",UCSD
,,,,,,
Lipscomb,0,Pass,Successful,"[117.8095238095238, 8.57142857142857]","[111.7142857142857, 44.76190476190476]",UCSD
,,,,,,
Lipscomb,0,Shot(foot),Unsuccessful,"[110.38095238095238, 44.0]","[118.95238095238093, 43.04761904761905]",UCSD
,,,,,,
Lipscomb,1,Tackle,Successful,"[72.85714285714283, 18.095238095238102]","[-1, -1]",UCSD
,,,,,,
Lipscomb,1,Pass,Successful,"[84.47619047619045, 17.714285714285722]","[83.52380952380952, 6.666666666666671]",UCSD
,,,,,,
Lipscomb,1,Pass,Successful,"[80.28571428571428, 2.857142857142861]","[87.52380952380952, 20.57142857142857]",UCSD
,,,,,,
Lipscomb,1,Pass,Successful,"[87.7142857142857, 22.66666666666667]","[105.42857142857142, 15.047619047619051]",UCSD
,,,,,,
Lipscomb,1,Shot(foot),Unsuccessful,"[111.52380952380952, 24.19047619047619]","[119.33333333333331, 36.0]",UCSD
Lipscomb,2,Throw-in,Successful,"[92.66666666666666, 79.80952380952381]","[77.8095238095238, 74.66666666666666]",UCSD
,,,,,,
Lipscomb,2,Pass,Successful,"[73.42857142857142, 72.57142857142857]","[41.04761904761903, 61.523809523809526]",UCSD
,,,,,,
Lipscomb,2,Pass,Successful,"[42.57142857142856, 64.38095238095238]","[48.85714285714284, 31.04761904761905]",UCSD
,,,,,,
Lipscomb,2,Pass,Successful,"[49.99999999999999, 22.66666666666667]","[81.61904761904759, 7.61904761904762]",UCSD
,,,,,,
Lipscomb,2,Pass,Successful,"[85.99999999999997, 4.571428571428569]","[95.52380952380952, 17.904761904761912]",UCSD
,,,,,,
Lipscomb,2,Shot(foot),Unsuccessful,"[104.09523809523807, 27.04761904761905]","[109.04761904761904, 30.47619047619048]",UCSD
,,,,,,
Lipscomb,2,Tackle,Successful,"[108.47619047619045, 29.33333333333333]","[107.7142857142857, 49.523809523809526]",Lipscomb
,,,,,,
Lipscomb,2,Tackle,Successful,"[108.66666666666666, 49.523809523809526]","[105.04761904761904, 56.19047619047619]",Lipscomb
,,,,,,
Lipscomb,2,Shot(foot),Unsuccessful,"[108.09523809523807, 55.61904761904762]","[117.8095238095238, 40.761904761904766]",UCSD
,,,,,,
Lipscomb,3,Pass,Unsuccessful,"[97.8095238095238, 72.38095238095238]","[98.38095238095238, 51.80952380952381]",Lipscomb
,,,,,,
Lipscomb,3,Shot(foot),Unsuccessful,"[102.57142857142856, 53.142857142857146]","[115.7142857142857, 41.714285714285715]",UCSD
,,,,,,
Lipscomb,3,Save,Successful,"[116.66666666666666, 40.761904761904766]","[114.19047619047618, 50.285714285714285]",Lipscomb
,,,,,,
Lipscomb,3,Shot(foot),Unsuccessful,"[118.95238095238093, 50.095238095238095]","[118.95238095238093, 44.0]",UCSD
Lipscomb,4,Set Piece,Successful,"[119.33333333333331, 79.61904761904762]","[114.76190476190476, 26.66666666666667]",UCSD
,,,,,,
Lipscomb,4,Pass,Successful,"[115.7142857142857, 25.523809523809533]","[114.19047619047618, 43.42857142857143]",UCSD
,,,,,,
Lipscomb,4,Shot(foot),Unsuccessful,"[113.23809523809524, 43.04761904761905]","[118.57142857142856, 41.142857142857146]",UCSD
,,,,,,
Lipscomb,5,Throw-in,Successful,"[90.57142857142856, 0.5714285714285694]","[69.99999999999997, 3.6190476190476204]",UCSD
,,,,,,
Lipscomb,5,Pass,Successful,"[68.28571428571428, 6.285714285714292]","[54.19047619047618, 39.61904761904762]",UCSD
,,,,,,
Lipscomb,5,Pass,Successful,"[58.76190476190475, 51.23809523809524]","[88.28571428571428, 73.33333333333333]",UCSD
,,,,,,
Lipscomb,5,Pass,Successful,"[85.8095238095238, 73.14285714285714]","[49.99999999999999, 62.095238095238095]",UCSD
,,,,,,
Lipscomb,5,Pass,Successful,"[47.7142857142857, 61.142857142857146]","[64.28571428571428, 57.714285714285715]",UCSD
,,,,,,
Lipscomb,5,Pass,Successful,"[56.28571428571427, 47.61904761904762]","[88.28571428571428, 45.523809523809526]",UCSD
,,,,,,
Lipscomb,5,Shot(foot),Unsuccessful,"[108.66666666666666, 48.76190476190476]","[117.04761904761904, 40.761904761904766]",UCSD
,,,,,,
Lipscomb,6,Set Piece,Successful,"[87.9047619047619, 21.33333333333333]","[108.47619047619045, 54.666666666666664]",UCSD
,,,,,,
Lipscomb,6,Pass,Successful,"[109.23809523809524, 55.23809523809524]","[98.57142857142856, 48.0]",UCSD
,,,,,,
Lipscomb,6,Pass,Successful,"[96.47619047619045, 48.76190476190476]","[112.66666666666666, 30.095238095238102]",UCSD
,,,,,,
Lipscomb,6,Shot(foot),Unsuccessful,"[110.19047619047618, 27.04761904761905]","[119.9047619047619, 31.42857142857143]",UCSD
,,,,,,
Lipscomb,7,Set Piece,Unsuccessful,"[107.7142857142857, 40.0]","[119.14285714285714, 36.19047619047619]",UCSD
,,,,,,
Lipscomb,7,Shot(foot),Unsuccessful,"[107.7142857142857, 40.0]","[119.9047619047619, 36.19047619047619]",UCSD
,,,,,,
Lipscomb,8,Tackle,Successful,"[37.61904761904761, 34.66666666666667]","[21.428571428571416, 46.85714285714286]",UCSD
,,,,,,
Lipscomb,8,Shot(foot),Unsuccessful,"[23.7142857142857, 41.904761904761905]","[17.238095238095227, 40.761904761904766]",UCSD
,,,,,,
Lipscomb,9,Tackle,Successful,"[10.380952380952372, 28.76190476190476]","[21.999999999999986, 37.523809523809526]",Lipscomb
,,,,,,
Lipscomb,9,Pass,Successful,"[19.33333333333332, 31.04761904761905]","[29.809523809523803, 35.23809523809524]",UCSD
,,,,,,
Lipscomb,9,Shot(foot),Successful,"[23.52380952380951, 42.476190476190474]","[0.6666666666666572, 41.333333333333336]",UCSD
,,,,,,
Lipscomb,10,Pass,Unsuccessful,"[3.3333333333333215, 26.85714285714286]","[39.33333333333332, 19.61904761904762]",Lipscomb
,,,,,,
Lipscomb,10,Pass,Successful,"[41.61904761904761, 20.38095238095238]","[36.09523809523808, 38.285714285714285]",UCSD
,,,,,,
Lipscomb,10,Shot(foot),Unsuccessful,"[29.42857142857141, 41.523809523809526]","[1.2380952380952266, 32.761904761904766]",UCSD
Lipscomb,11,Pass,Successful,"[104.66666666666666, 45.714285714285715]","[82.76190476190476, 20.19047619047619]",UCSD
Lipscomb,11,Pass,Successful,"[73.42857142857142, 16.95238095238095]","[19.33333333333332, 9.904761904761912]",UCSD
Lipscomb,11,Pass,Unsuccessful,"[23.33333333333332, 14.857142857142861]","[13.047619047619037, 26.85714285714286]",UCSD
Lipscomb,11,Tackle,Unsuccessful,"[11.714285714285701, 27.04761904761905]","[0.6666666666666572, 37.142857142857146]",Lipscomb
Lipscomb,11,Save,Successful,"[0.4761904761904674, 36.57142857142857]","[6.3809523809523725, 33.523809523809526]",Lipscomb
Lipscomb,11,Pass,Successful,"[2.952380952380942, 34.476190476190474]","[3.1428571428571317, 39.23809523809524]",UCSD
Lipscomb,11,Shot(foot),Successful,"[3.5238095238095113, 39.80952380952381]","[0.6666666666666572, 41.333333333333336]",UCSD
Lipscomb,12,Tackle,Successful,"[27.90476190476189, 48.952380952380956]","[-1, -1]",UCSD
Lipscomb,12,Pass,Successful,"[22.571428571428562, 58.666666666666664]","[10.380952380952372, 64.95238095238095]",UCSD
Lipscomb,12,Pass,Successful,"[5.047619047619037, 67.23809523809524]","[9.809523809523796, 35.42857142857143]",UCSD
Lipscomb,12,Shot(head),Unsuccessful,"[10.380952380952372, 36.0]","[0.4761904761904674, 40.0]",UCSD
Lipscomb,13,Pass,Unsuccessful,"[112.85714285714286, 45.904761904761905]","[22.761904761904752, 22.095238095238102]",UCSD
Lipscomb,13,Tackle,Successful,"[23.7142857142857, 23.23809523809524]","[19.14285714285713, 17.714285714285722]",Lipscomb
Lipscomb,13,Shot(foot),Unsuccessful,"[21.619047619047606, 16.38095238095238]","[14.190476190476183, 22.66666666666667]",UCSD
Lipscomb,14,Set Piece,Unsuccessful,"[28.09523809523808, 51.23809523809524]","[1.0476190476190368, 42.85714285714286]",UCSD
Lipscomb,14,Shot(foot),Unsuccessful,"[28.47619047619046, 51.04761904761905]","[0.2857142857142776, 42.85714285714286]",UCSD
