Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
SJS,0,Tackle,Successful,"[69.99999999999997, 48.952380952380956]","[-1, -1]",SJS,8
,,,,,,,
SJS,0,Pass,Successful,"[87.14285714285714, 43.42857142857143]","[91.52380952380952, 30.66666666666667]",SJS,-1
,,,,,,,
SJS,0,Shot(foot),Unsuccessful,"[92.47619047619048, 31.42857142857143]","[105.42857142857142, 31.80952380952381]",SJS,-1
,,,,,,,
SJS,1,Set Piece,Successful,"[74.38095238095238, 42.85714285714286]","[79.52380952380952, 51.04761904761905]",SJS,-1
,,,,,,,
SJS,1,Pass,Successful,"[93.04761904761904, 36.761904761904766]","[97.42857142857142, 27.04761904761905]",SJS,-1
,,,,,,,
SJS,1,Shot(foot),Unsuccessful,"[97.42857142857142, 28.38095238095238]","[118.76190476190476, 36.38095238095238]",SJS,-1
,,,,,,,
SJS,2,Pass,Successful,"[3.3333333333333215, 36.57142857142857]","[17.238095238095227, 24.0]",SJS,-1
,,,,,,,
SJS,2,Pass,Successful,"[117.42857142857142, 21.33333333333333]","[105.8095238095238, 29.14285714285714]",SJS,-1
,,,,,,,
SJS,2,Shot(foot),Unsuccessful,"[103.9047619047619, 28.38095238095238]","[119.52380952380952, 43.04761904761905]",SJS,-1
,,,,,,,
SJS,3,Pass,Unsuccessful,"[90.57142857142856, 29.14285714285714]","[73.99999999999997, 56.38095238095238]",UCSD,6
,,,,,,,
SJS,3,Pass,Successful,"[86.57142857142856, 57.523809523809526]","[96.09523809523807, 40.57142857142857]",SJS,-1
,,,,,,,
SJS,3,Shot(foot),Unsuccessful,"[112.85714285714286, 22.285714285714292]","[119.14285714285714, 39.42857142857143]",SJS,-1
,,,,,,,
SJS,4,Throw-in,Successful,"[81.04761904761904, 79.61904761904762]","[102.38095238095238, 66.28571428571428]",SJS,-1
,,,,,,,
SJS,4,Pass,Successful,"[97.42857142857142, 66.66666666666667]","[94.57142857142856, 49.523809523809526]",SJS,-1
,,,,,,,
SJS,4,Shot(foot),Unsuccessful,"[95.33333333333331, 50.095238095238095]","[118.19047619047618, 40.38095238095238]",SJS,-1
,,,,,,,
SJS,5,Pass,Successful,"[11.904761904761891, 24.38095238095238]","[33.61904761904761, 18.47619047619048]",SJS,-1
,,,,,,,
SJS,5,Pass,Successful,"[52.09523809523808, 48.19047619047619]","[91.14285714285714, 6.476190476190482]",SJS,-1
,,,,,,,
SJS,5,Shot(foot),Unsuccessful,"[105.8095238095238, 26.095238095238102]","[111.33333333333331, 28.95238095238095]",SJS,-1
,,,,,,,
SJS,6,Pass,Successful,"[115.14285714285714, 32.38095238095238]","[103.52380952380952, 20.38095238095238]",SJS,-1
,,,,,,,
SJS,6,Pass,Successful,"[32.85714285714284, 53.523809523809526]","[36.28571428571427, 42.095238095238095]",SJS,-1
,,,,,,,
SJS,6,Shot(foot),Successful,"[31.14285714285713, 41.523809523809526]","[1.4285714285714164, 37.523809523809526]",SJS,-1
,,,,,,,
SJS,7,Set Piece,Successful,"[0.4761904761904674, 78.85714285714286]","[17.238095238095227, 36.952380952380956]",SJS,-1
,,,,,,,
SJS,7,Pass,Successful,"[53.99999999999999, 20.76190476190476]","[38.76190476190475, 22.66666666666667]",SJS,-1
,,,,,,,
SJS,7,Shot(foot),Unsuccessful,"[35.33333333333332, 23.42857142857143]","[0.6666666666666572, 31.80952380952381]",SJS,-1
,,,,,,,
SJS,8,Pass,Unsuccessful,"[27.14285714285713, 10.285714285714292]","[43.14285714285713, 14.285714285714292]",UCSD,10
,,,,,,,
SJS,8,Tackle,Successful,"[6.761904761904752, 33.333333333333336]","[20.28571428571427, 32.761904761904766]",UCSD,2
,,,,,,,
SJS,8,Shot(foot),Unsuccessful,"[19.7142857142857, 31.23809523809524]","[1.4285714285714164, 37.904761904761905]",SJS,-1
