Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
Cal Poly,0,Pass,Unsuccessful,"[38.57142857142856, 4.952380952380949]","[30.380952380952372, 17.14285714285714]",Opponent,26
,,,,,,,
Cal Poly,0,Pass,Successful,"[12.285714285714278, 25.33333333333333]","[14.952380952380942, 38.285714285714285]",SJS,26
,,,,,,,
Cal Poly,0,Shot(foot),Unsuccessful,"[15.333333333333321, 39.23809523809524]","[1.2380952380952266, 37.142857142857146]",SJS,10
Cal Poly,1,Set Piece,Successful,"[0.4761904761904674, 0.3809523809523796]","[11.904761904761891, 2.6666666666666714]",SJS,10
,,,,,,,
Cal Poly,1,Pass,Successful,"[12.476190476190467, 4.761904761904759]","[22.571428571428562, 5.714285714285722]",SJS,11
,,,,,,,
Cal Poly,1,Pass,Successful,"[21.999999999999986, 6.857142857142861]","[37.61904761904761, 13.904761904761912]",SJS,10
,,,,,,,
Cal Poly,1,Pass,Unsuccessful,"[41.99999999999999, 20.57142857142857]","[13.619047619047606, 32.0]",SJS,6
,,,,,,,
Cal Poly,1,Tackle,Successful,"[12.857142857142847, 33.523809523809526]","[32.47619047619046, 28.19047619047619]",Opponent,8
,,,,,,,
Cal Poly,1,Shot(head),Unsuccessful,"[31.33333333333332, 28.38095238095238]","[2.952380952380942, 39.04761904761905]",SJS,8
Cal Poly,2,Throw-in,Successful,"[87.52380952380952, 0.0]","[79.7142857142857, 23.04761904761905]",SJS,13
,,,,,,,
Cal Poly,2,Pass,Successful,"[79.14285714285714, 20.38095238095238]","[85.61904761904759, 36.952380952380956]",SJS,6
,,,,,,,
Cal Poly,2,Shot(foot),Unsuccessful,"[85.61904761904759, 37.904761904761905]","[118.0, 42.095238095238095]",SJS,10
,,,,,,,
Cal Poly,3,Tackle,Successful,"[71.14285714285714, 30.66666666666667]","[-1, -1]",SJS,13
,,,,,,,
Cal Poly,3,Pass,Successful,"[90.38095238095238, 36.19047619047619]","[95.33333333333331, 48.38095238095238]",SJS,13
,,,,,,,
Cal Poly,3,Pass,Successful,"[101.8095238095238, 44.76190476190476]","[101.8095238095238, 34.66666666666667]",SJS,26
,,,,,,,
Cal Poly,3,Pass,Successful,"[98.57142857142856, 34.095238095238095]","[105.42857142857142, 22.85714285714286]",SJS,23
,,,,,,,
Cal Poly,3,Pass,Successful,"[108.09523809523807, 21.33333333333333]","[102.76190476190476, 26.85714285714286]",SJS,17
,,,,,,,
Cal Poly,3,Shot(foot),Unsuccessful,"[111.33333333333331, 24.19047619047619]","[119.9047619047619, 33.142857142857146]",SJS,23
,,,,,,,
Cal Poly,4,Throw-in,Successful,"[46.19047619047618, 0.0]","[43.90476190476189, 14.095238095238102]",SJS,13
,,,,,,,
Cal Poly,4,Pass,Successful,"[43.7142857142857, 8.76190476190476]","[32.85714285714284, 18.66666666666667]",SJS,8
,,,,,,,
Cal Poly,4,Pass,Successful,"[35.90476190476189, 19.42857142857143]","[24.476190476190467, 8.19047619047619]",SJS,6
,,,,,,,
Cal Poly,4,Pass,Successful,"[26.571428571428562, 12.952380952380949]","[38.19047619047618, 21.523809523809533]",SJS,5
,,,,,,,
Cal Poly,4,Pass,Successful,"[29.23809523809522, 21.14285714285714]","[52.47619047619046, 73.33333333333333]",SJS,6
,,,,,,,
Cal Poly,4,Pass,Successful,"[77.42857142857142, 56.76190476190476]","[92.09523809523807, 72.0]",SJS,2
,,,,,,,
Cal Poly,4,Shot(foot),Unsuccessful,"[92.09523809523807, 54.285714285714285]","[118.76190476190476, 33.523809523809526]",SJS,26
,,,,,,,
Cal Poly,5,Set Piece,Successful,"[119.9047619047619, 79.80952380952381]","[114.76190476190476, 77.33333333333333]",SJS,23
,,,,,,,
Cal Poly,5,Pass,Successful,"[113.42857142857142, 75.23809523809524]","[99.52380952380952, 57.904761904761905]",SJS,26
,,,,,,,
Cal Poly,5,Shot(foot),Unsuccessful,"[102.76190476190476, 53.523809523809526]","[111.52380952380952, 44.19047619047619]",SJS,10
,,,,,,,
Cal Poly,6,Tackle,Successful,"[39.90476190476189, 24.38095238095238]","[27.90476190476189, 38.476190476190474]",SJS,21
,,,,,,,
Cal Poly,6,Pass,Successful,"[34.38095238095237, 52.0]","[48.09523809523808, 76.0]",SJS,6
,,,,,,,
Cal Poly,6,Pass,Successful,"[47.7142857142857, 76.38095238095238]","[61.42857142857141, 68.76190476190476]",SJS,2
,,,,,,,
Cal Poly,6,Pass,Successful,"[65.04761904761904, 68.95238095238095]","[62.57142857142856, 51.80952380952381]",SJS,10
,,,,,,,
Cal Poly,6,Pass,Successful,"[71.9047619047619, 49.904761904761905]","[88.47619047619045, 64.38095238095238]",SJS,21
,,,,,,,
Cal Poly,6,Pass,Successful,"[91.7142857142857, 63.42857142857143]","[88.66666666666666, 54.476190476190474]",SJS,26
,,,,,,,
Cal Poly,6,Shot(foot),Unsuccessful,"[87.14285714285714, 44.952380952380956]","[118.95238095238093, 39.23809523809524]",SJS,10
,,,,,,,
Cal Poly,7,Throw-in,Successful,"[95.52380952380952, 79.61904761904762]","[84.85714285714283, 68.0]",SJS,26
,,,,,,,
Cal Poly,7,Pass,Successful,"[103.14285714285714, 58.285714285714285]","[92.66666666666666, 49.904761904761905]",SJS,10
,,,,,,,
Cal Poly,7,Pass,Successful,"[94.76190476190476, 51.61904761904762]","[88.28571428571428, 36.952380952380956]",SJS,26
,,,,,,,
Cal Poly,7,Pass,Successful,"[86.19047619047618, 31.42857142857143]","[97.23809523809524, 30.47619047619048]",SJS,21
,,,,,,,
Cal Poly,7,Pass,Successful,"[98.95238095238093, 23.04761904761905]","[88.47619047619045, 25.33333333333333]",SJS,17
,,,,,,,
Cal Poly,7,Shot(foot),Unsuccessful,"[89.04761904761904, 23.42857142857143]","[119.14285714285714, 33.523809523809526]",SJS,6
Stanford,8,Throw-in,Successful,"[25.999999999999986, 80.0]","[10.190476190476183, 56.0]",SJS,13
,,,,,,,
Stanford,8,Pass,Successful,"[10.190476190476183, 56.19047619047619]","[16.285714285714278, 44.0]",SJS,11
,,,,,,,
Stanford,8,Shot,Unsuccessful,"[15.714285714285701, 48.76190476190476]","[0.4761904761904674, 30.095238095238102]",SJS,8
,,,,,,,
Stanford,9,Pass,Unsuccessful,"[75.9047619047619, 68.38095238095238]","[57.04761904761903, 69.52380952380952]",Opponent,26
,,,,,,,
Stanford,9,Pass,Successful,"[78.57142857142856, 60.57142857142857]","[106.76190476190476, 61.333333333333336]",SJS,26
,,,,,,,
Stanford,9,Pass,Successful,"[112.47619047619045, 60.76190476190476]","[104.09523809523807, 55.23809523809524]",SJS,11
,,,,,,,
Stanford,9,Shot(foot),Unsuccessful,"[104.47619047619045, 55.42857142857143]","[119.7142857142857, 41.523809523809526]",SJS,26
,,,,,,,
Stanford,10,Pass,Unsuccessful,"[90.19047619047618, 11.047619047619051]","[37.99999999999999, 10.285714285714292]",Opponent,5
,,,,,,,
Stanford,10,Pass,Successful,"[34.95238095238094, 14.476190476190482]","[47.52380952380951, 5.523809523809533]",SJS,5
,,,,,,,
Stanford,10,Pass,Successful,"[43.90476190476189, 17.523809523809533]","[38.19047619047618, 29.714285714285722]",SJS,10
,,,,,,,
Stanford,10,Pass,Successful,"[38.38095238095237, 29.714285714285722]","[51.33333333333332, 32.57142857142857]",SJS,5
,,,,,,,
Stanford,10,Pass,Successful,"[66.57142857142856, 40.952380952380956]","[87.7142857142857, 73.33333333333333]",SJS,18
,,,,,,,
Stanford,10,Shot(foot),Successful,"[97.04761904761904, 55.23809523809524]","[119.14285714285714, 39.42857142857143]",SJS,11
,,,,,,,
Stanford,11,Set Piece,Successful,"[119.7142857142857, 0.0]","[106.57142857142856, 4.761904761904759]",SJS,21
,,,,,,,
Stanford,11,Pass,Successful,"[106.95238095238093, 4.38095238095238]","[96.47619047619045, 9.523809523809533]",SJS,8
,,,,,,,
Stanford,11,Pass,Unsuccessful,"[89.61904761904759, 4.38095238095238]","[112.47619047619045, 33.523809523809526]",SJS,21
,,,,,,,
Stanford,11,Tackle,Successful,"[111.52380952380952, 32.761904761904766]","[109.61904761904762, 49.904761904761905]",Opponent,15
,,,,,,,
Stanford,11,Shot(head),Unsuccessful,"[109.23809523809524, 49.714285714285715]","[117.8095238095238, 37.714285714285715]",SJS,15
Stanford,12,Throw-in,Unsuccessful,"[105.8095238095238, 80.0]","[110.57142857142856, 39.80952380952381]",SJS,18
,,,,,,,
Stanford,12,Tackle,Successful,"[110.76190476190476, 39.23809523809524]","[106.38095238095238, 26.66666666666667]",Opponent,23
,,,,,,,
Stanford,12,Shot(foot),Unsuccessful,"[105.42857142857142, 28.95238095238095]","[119.52380952380952, 32.761904761904766]",SJS,23
