Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
San Diego State,0,Pass,Successful,"[59.52380952380951, 56.0]","[38.76190476190475, 57.904761904761905]",Quin
San Diego State,0,Pass,Unsuccessful,"[30.380952380952372, 70.85714285714286]","[96.85714285714286, 63.42857142857143]",UCSD
San Diego State,0,Pass,Successful,"[15.714285714285701, 65.71428571428572]","[5.809523809523796, 60.0]",Opponent
San Diego State,0,Pass,Unsuccessful,"[34.19047619047618, 3.6190476190476204]","[82.57142857142856, 0.1904761904761898]",UCSD
San Diego State,0,Pass,Unsuccessful,"[38.19047619047618, 6.285714285714292]","[77.8095238095238, 7.238095238095241]",UCSD
San Diego State,0,Tackle,Unsuccessful,"[71.52380952380952, 12.57142857142857]","[-1, -1]",Quin
San Diego State,0,Tackle,Unsuccessful,"[57.42857142857141, 56.76190476190476]","[57.80952380952379, 56.38095238095238]",Jonah
San Diego State,0,Pass,Successful,"[24.476190476190467, 24.19047619047619]","[3.1428571428571317, 22.47619047619048]",Opponent
San Diego State,0,Pass,Successful,"[1.809523809523796, 22.85714285714286]","[11.714285714285701, 31.42857142857143]",Opponent
San Diego State,0,Shot(foot),Unsuccessful,"[11.523809523809511, 32.19047619047619]","[0.857142857142847, 46.095238095238095]",Opponent
San Diego State,0,Pass,Successful,"[25.809523809523796, 33.523809523809526]","[15.523809523809511, 53.904761904761905]",Opponent
San Diego State,0,Shot(foot),Successful,"[12.666666666666657, 39.61904761904762]","[0.857142857142847, 37.523809523809526]",Opponent
San Diego State,0,Pass,Unsuccessful,"[33.42857142857141, 38.285714285714285]","[89.04761904761904, 15.61904761904762]",UCSD
San Diego State,0,Pass,Successful,"[89.42857142857142, 16.57142857142857]","[100.66666666666666, 9.714285714285722]",Quin
San Diego State,0,Pass,Unsuccessful,"[106.38095238095238, 14.285714285714292]","[102.38095238095238, 24.76190476190476]",UCSD
San Diego State,0,Tackle,Unsuccessful,"[69.8095238095238, 20.95238095238095]","[-1, -1]",Jonah
San Diego State,0,Pass,Unsuccessful,"[54.76190476190475, 38.095238095238095]","[51.52380952380951, 30.85714285714286]",Jonah
San Diego State,0,Tackle,Unsuccessful,"[52.28571428571427, 28.0]","[-1, -1]",Quin
