Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Enter a game,0,1st Ball,Successful,"[30.761904761904752, 56.38095238095238]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[23.33333333333332, 59.61904761904762]","[23.33333333333332, 59.61904761904762]",Matt
,,,,,,
Enter a game,0,1st Ball,Successful,"[23.7142857142857, 54.666666666666664]","[23.52380952380951, 54.666666666666664]",Jonah
,,,,,,
Enter a game,0,2nd Ball,Successful,"[37.99999999999999, 57.523809523809526]","[37.99999999999999, 57.523809523809526]",Opponent
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[32.09523809523808, 31.23809523809524]","[89.42857142857142, 62.095238095238095]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[38.76190476190475, 48.952380952380956]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[26.761904761904752, 49.714285714285715]","[26.190476190476176, 49.714285714285715]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[46.57142857142856, 42.85714285714286]","[45.23809523809522, 44.38095238095238]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[16.857142857142847, 46.095238095238095]","[16.857142857142847, 46.095238095238095]",UCSD
,,,,,,
Enter a game,0,Shot(foot),Unsuccessful,"[14.952380952380942, 40.19047619047619]","[0.6666666666666572, 38.095238095238095]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[81.23809523809521, 5.904761904761912]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[69.04761904761904, 2.857142857142861]","[69.23809523809521, 2.857142857142861]",Opponent
,,,,,,
Enter a game,0,Tackle,Unsuccessful,"[53.42857142857141, 4.38095238095238]","[53.42857142857141, 4.38095238095238]",Quin
,,,,,,
Enter a game,0,Pass,Successful,"[25.809523809523796, 12.952380952380949]","[52.66666666666665, 12.38095238095238]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[52.09523809523808, 9.904761904761912]","[77.99999999999997, 10.095238095238102]",Quin
,,,,,,
Enter a game,0,Pass,Successful,"[39.52380952380951, 16.0]","[75.52380952380952, 3.047619047619051]",UCSD
,,,,,,
Enter a game,0,Tackle,Successful,"[69.04761904761904, 10.285714285714292]","[-1, -1]",Quin
,,,,,,
Enter a game,0,Tackle,Successful,"[77.04761904761904, 8.38095238095238]","[77.42857142857142, 9.333333333333343]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[45.23809523809522, 3.6190476190476204]","[45.23809523809522, 3.047619047619051]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[39.52380952380951, 17.14285714285714]","[39.52380952380951, 17.14285714285714]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[42.76190476190475, 18.85714285714286]","[27.52380952380951, 26.285714285714292]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[32.09523809523808, 58.476190476190474]","[55.90476190476189, 76.0]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[56.09523809523808, 75.80952380952381]","[60.85714285714284, 61.904761904761905]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[55.52380952380951, 52.952380952380956]","[29.619047619047613, 63.42857142857143]",Jonah
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[38.19047619047618, 32.38095238095238]","[55.90476190476189, 22.85714285714286]",Jonah
,,,,,,
Enter a game,0,Tackle,Unsuccessful,"[55.52380952380951, 21.33333333333333]","[-1, -1]",Quin
,,,,,,
Enter a game,0,Tackle,Successful,"[56.09523809523808, 22.285714285714292]","[56.85714285714284, 22.47619047619048]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[38.76190476190475, 4.0]","[38.76190476190475, 4.0]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[31.52380952380951, 4.952380952380949]","[31.52380952380951, 4.952380952380949]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[17.619047619047606, 20.0]","[53.80952380952379, 14.095238095238102]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[48.09523809523808, 10.476190476190482]","[55.52380952380951, 2.095238095238102]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[54.95238095238094, 3.238095238095241]","[84.66666666666666, 17.14285714285714]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[86.38095238095238, 18.095238095238102]","[106.38095238095238, 11.42857142857143]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[52.47619047619046, 15.80952380952381]","[-1, -1]",Quin
,,,,,,
Enter a game,0,2nd Ball,Successful,"[66.76190476190476, 17.33333333333333]","[66.76190476190476, 17.33333333333333]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[34.38095238095237, 18.66666666666667]","[34.38095238095237, 18.66666666666667]",Adam
,,,,,,
Enter a game,0,2nd Ball,Successful,"[42.19047619047618, 12.76190476190476]","[42.19047619047618, 12.76190476190476]",Quin
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[40.28571428571427, 10.285714285714292]","[41.23809523809522, 0.1904761904761898]",Quin
,,,,,,
Enter a game,0,1st Ball,Successful,"[17.047619047619037, 2.4761904761904816]","[-1, -1]",Adam
,,,,,,
Enter a game,0,2nd Ball,Successful,"[18.380952380952372, 13.523809523809533]","[18.380952380952372, 13.523809523809533]",Opponent
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[30.571428571428562, 25.904761904761912]","[88.85714285714283, 12.57142857142857]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[89.61904761904759, 13.333333333333343]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[86.76190476190476, 18.85714285714286]","[86.76190476190476, 18.85714285714286]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[31.14285714285713, 17.904761904761912]","[59.52380952380951, 8.952380952380949]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[84.09523809523807, 11.42857142857143]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[75.9047619047619, 6.095238095238102]","[75.9047619047619, 6.095238095238102]",Opponent
,,,,,,
Enter a game,0,Tackle,Successful,"[41.61904761904761, 14.857142857142861]","[41.61904761904761, 14.857142857142861]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[37.61904761904761, 67.61904761904762]","[65.8095238095238, 64.38095238095238]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[69.99999999999997, 48.0]","[74.38095238095238, 36.952380952380956]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[38.38095238095237, 63.80952380952381]","[94.38095238095238, 69.33333333333333]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[112.28571428571428, 35.42857142857143]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[102.0, 32.19047619047619]","[102.0, 32.19047619047619]",Opponent
,,,,,,
Enter a game,0,Shot(foot),Unsuccessful,"[99.52380952380952, 33.523809523809526]","[119.33333333333331, 36.38095238095238]",UCSD
,,,,,,
Enter a game,0,Tackle,Unsuccessful,"[84.85714285714283, 30.285714285714292]","[-1, -1]",Quin
,,,,,,
Enter a game,0,Tackle,Unsuccessful,"[45.04761904761903, 71.42857142857143]","[46.19047619047618, 70.28571428571428]",Jonah
,,,,,,
Enter a game,0,Tackle,Unsuccessful,"[74.19047619047618, 9.523809523809533]","[72.09523809523807, 9.523809523809533]",Quin
,,,,,,
Enter a game,0,Pass,Successful,"[63.90476190476189, 53.904761904761905]","[81.61904761904759, 51.42857142857143]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[59.90476190476189, 36.57142857142857]","[101.23809523809524, 47.42857142857143]",Jonah
,,,,,,
Enter a game,0,1st Ball,Successful,"[52.09523809523808, 30.47619047619048]","[-1, -1]",Adam
,,,,,,
Enter a game,0,2nd Ball,Successful,"[75.14285714285714, 40.0]","[75.14285714285714, 40.0]",Opponent
,,,,,,
Enter a game,0,Pass,Successful,"[50.57142857142856, 67.04761904761905]","[58.76190476190475, 57.523809523809526]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[58.38095238095237, 43.80952380952381]","[50.38095238095237, 27.61904761904762]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[52.09523809523808, 26.285714285714292]","[32.47619047619046, 22.66666666666667]",Quin
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[36.66666666666665, 23.04761904761905]","[102.76190476190476, 14.285714285714292]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[29.42857142857141, 63.23809523809524]","[-1, -1]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[39.33333333333332, 49.142857142857146]","[39.33333333333332, 49.142857142857146]",Evan
,,,,,,
Enter a game,0,2nd Ball,Successful,"[61.6190476190476, 65.14285714285714]","[61.6190476190476, 65.14285714285714]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[70.95238095238093, 76.0]","[52.28571428571427, 76.19047619047619]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[45.23809523809522, 68.38095238095238]","[59.52380952380951, 50.666666666666664]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[59.33333333333332, 50.666666666666664]","[35.52380952380951, 33.333333333333336]",Quin
,,,,,,
Enter a game,0,Pass,Successful,"[38.19047619047618, 29.14285714285714]","[64.28571428571428, 5.904761904761912]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[88.85714285714283, 14.666666666666671]","[94.19047619047618, 8.19047619047619]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[87.9047619047619, 6.666666666666671]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[67.52380952380952, 64.76190476190476]","[67.52380952380952, 64.76190476190476]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[35.14285714285713, 49.523809523809526]","[35.14285714285713, 49.523809523809526]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[66.38095238095238, 61.333333333333336]","[75.14285714285714, 74.85714285714286]",Jonah
,,,,,,
Enter a game,0,Pass,Successful,"[65.42857142857142, 62.857142857142854]","[116.09523809523807, 64.19047619047619]",UCSD
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[118.95238095238093, 63.61904761904762]","[114.57142857142856, 42.476190476190474]",UCSD
,,,,,,
Enter a game,0,1st Ball,Successful,"[66.0, 68.0]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[37.61904761904761, 78.0952380952381]","[37.23809523809522, 77.14285714285714]",UCSD
,,,,,,
Enter a game,0,Pass,Successful,"[54.19047619047618, 71.42857142857143]","[52.47619047619046, 61.714285714285715]",Jonah
,,,,,,
Enter a game,0,1st Ball,Successful,"[57.80952380952379, 69.52380952380952]","[-1, -1]",Opponent
,,,,,,
Enter a game,0,2nd Ball,Successful,"[33.99999999999999, 61.904761904761905]","[34.19047619047618, 61.904761904761905]",Opponent
,,,,,,
Enter a game,0,1st Ball,Successful,"[87.52380952380952, 27.42857142857143]","[87.52380952380952, 27.42857142857143]",UCSD
,,,,,,
Enter a game,0,2nd Ball,Successful,"[97.04761904761904, 34.66666666666667]","[96.09523809523807, 33.523809523809526]",UCSD
Enter a game,0,Pass,Unsuccessful,"[96.85714285714286, 40.952380952380956]","[110.57142857142856, 50.476190476190474]",UCSD
Enter a game,0,Pass,Unsuccessful,"[89.42857142857142, 67.80952380952381]","[114.95238095238093, 78.66666666666666]",UCSD
Enter a game,0,1st Ball,Successful,"[99.7142857142857, 70.66666666666666]","[-1, -1]",Opponent
Enter a game,0,2nd Ball,Successful,"[86.95238095238093, 71.42857142857143]","[90.38095238095238, 72.76190476190476]",UCSD
Enter a game,0,Pass,Successful,"[82.76190476190476, 73.14285714285714]","[93.42857142857142, 76.95238095238095]",Quin
Enter a game,0,Pass,Successful,"[80.85714285714283, 61.333333333333336]","[94.19047619047618, 61.333333333333336]",Jonah
Enter a game,0,Tackle,Successful,"[91.9047619047619, 63.61904761904762]","[-1, -1]",Opponent
Enter a game,0,Pass,Successful,"[65.04761904761904, 24.57142857142857]","[82.19047619047618, 15.23809523809524]",UCSD
Enter a game,0,Pass,Successful,"[65.04761904761904, 24.0]","[88.85714285714283, 20.95238095238095]",Jonah
Enter a game,0,Tackle,Successful,"[85.99999999999997, 14.285714285714292]","[85.99999999999997, 14.285714285714292]",Opponent
Enter a game,0,1st Ball,Successful,"[7.3333333333333215, 32.761904761904766]","[7.3333333333333215, 32.761904761904766]",Carter
Enter a game,0,2nd Ball,Successful,"[22.761904761904752, 18.85714285714286]","[22.761904761904752, 18.85714285714286]",Opponent
Enter a game,0,Pass,Successful,"[23.33333333333332, 18.095238095238102]","[8.476190476190467, 39.42857142857143]",Opponent
Enter a game,0,Shot(head),Unsuccessful,"[7.3333333333333215, 39.42857142857143]","[0.857142857142847, 37.523809523809526]",Opponent
Enter a game,0,1st Ball,Successful,"[70.38095238095238, 20.38095238095238]","[-1, -1]",Opponent
Enter a game,0,2nd Ball,Successful,"[60.47619047619046, 9.523809523809533]","[60.47619047619046, 9.523809523809533]",Quin
Enter a game,0,Pass,Unsuccessful,"[40.09523809523808, 40.38095238095238]","[114.57142857142856, 15.23809523809524]",UCSD
Enter a game,0,1st Ball,Successful,"[55.33333333333332, 16.38095238095238]","[-1, -1]",Adam
Enter a game,0,2nd Ball,Successful,"[68.66666666666666, 28.95238095238095]","[68.66666666666666, 28.95238095238095]",Opponent
Enter a game,0,Pass,Successful,"[53.04761904761903, 23.42857142857143]","[33.8095238095238, 16.0]",Jonah
Enter a game,0,Pass,Successful,"[33.61904761904761, 20.95238095238095]","[59.90476190476189, 30.285714285714292]",UCSD
Enter a game,0,Pass,Successful,"[66.95238095238093, 20.76190476190476]","[82.76190476190476, 8.57142857142857]",Quin
Enter a game,0,Pass,Successful,"[65.23809523809521, 4.0]","[82.38095238095238, 12.19047619047619]",UCSD
Enter a game,0,Tackle,Successful,"[82.95238095238093, 16.57142857142857]","[-1, -1]",Opponent
Enter a game,0,Pass,Successful,"[59.7142857142857, 29.33333333333333]","[87.9047619047619, 40.0]",Jonah
Enter a game,0,Pass,Successful,"[72.47619047619045, 67.80952380952381]","[91.7142857142857, 66.0952380952381]",UCSD
Enter a game,0,Pass,Successful,"[77.61904761904759, 72.95238095238095]","[89.8095238095238, 56.19047619047619]",UCSD
Enter a game,0,Tackle,Successful,"[92.09523809523807, 57.904761904761905]","[-1, -1]",Opponent
Enter a game,0,1st Ball,Successful,"[50.19047619047618, 73.71428571428572]","[50.19047619047618, 73.71428571428572]",UCSD
Enter a game,0,2nd Ball,Successful,"[45.8095238095238, 57.142857142857146]","[45.8095238095238, 57.142857142857146]",UCSD
Enter a game,0,Pass,Unsuccessful,"[48.28571428571427, 52.952380952380956]","[110.57142857142856, 61.142857142857146]",Jonah
Enter a game,0,1st Ball,Successful,"[61.6190476190476, 17.904761904761912]","[60.28571428571427, 45.333333333333336]",Opponent
Enter a game,0,2nd Ball,Successful,"[49.23809523809522, 16.76190476190476]","[49.23809523809522, 16.76190476190476]",Jonah
Enter a game,0,Tackle,Unsuccessful,"[58.76190476190475, 16.95238095238095]","[58.76190476190475, 16.95238095238095]",Quin
Enter a game,0,1st Ball,Successful,"[84.28571428571428, 1.7142857142857224]","[83.52380952380952, 1.7142857142857224]",Opponent
Enter a game,0,2nd Ball,Successful,"[72.28571428571428, 2.857142857142861]","[72.28571428571428, 2.857142857142861]",Opponent
Enter a game,0,1st Ball,Successful,"[19.52380952380951, 8.38095238095238]","[18.761904761904752, 8.76190476190476]",UCSD
Enter a game,0,2nd Ball,Successful,"[38.38095238095237, 2.095238095238102]","[38.38095238095237, 2.095238095238102]",Opponent
Enter a game,0,Tackle,Successful,"[27.14285714285713, 17.904761904761912]","[27.14285714285713, 17.904761904761912]",Quin
Enter a game,0,Pass,Unsuccessful,"[28.66666666666665, 62.095238095238095]","[71.7142857142857, 50.666666666666664]",UCSD
Enter a game,0,Pass,Unsuccessful,"[31.52380952380951, 23.61904761904762]","[91.7142857142857, 5.142857142857153]",UCSD
Enter a game,0,1st Ball,Successful,"[30.952380952380942, 11.42857142857143]","[-1, -1]",Adam
Enter a game,0,2nd Ball,Successful,"[50.95238095238094, 10.095238095238102]","[50.95238095238094, 10.095238095238102]",Opponent
Enter a game,0,1st Ball,Successful,"[21.238095238095227, 35.80952380952381]","[21.238095238095227, 35.80952380952381]",Evan
Enter a game,0,2nd Ball,Successful,"[36.85714285714284, 42.095238095238095]","[36.85714285714284, 42.095238095238095]",Cole
Enter a game,0,Pass,Unsuccessful,"[45.8095238095238, 24.95238095238095]","[86.38095238095238, 24.19047619047619]",Quin
Enter a game,0,Tackle,Successful,"[64.66666666666666, 14.857142857142861]","[-1, -1]",Quin
Enter a game,0,1st Ball,Successful,"[35.90476190476189, 4.0]","[35.33333333333332, 2.4761904761904816]",UCSD
Enter a game,0,2nd Ball,Successful,"[48.66666666666665, 3.4285714285714306]","[48.66666666666665, 3.4285714285714306]",UCSD
Enter a game,0,Pass,Successful,"[66.38095238095238, 13.333333333333343]","[79.33333333333331, 29.714285714285722]",Jonah
Enter a game,0,Pass,Successful,"[80.85714285714283, 35.42857142857143]","[94.57142857142856, 69.71428571428572]",Quin
Enter a game,0,Pass,Unsuccessful,"[94.38095238095238, 63.61904761904762]","[110.76190476190476, 43.23809523809524]",UCSD
Enter a game,0,1st Ball,Successful,"[110.76190476190476, 44.19047619047619]","[-1, -1]",Opponent
Enter a game,0,2nd Ball,Successful,"[97.04761904761904, 34.66666666666667]","[97.23809523809524, 34.66666666666667]",Opponent
Enter a game,0,1st Ball,Successful,"[64.28571428571428, 3.4285714285714306]","[64.28571428571428, 3.4285714285714306]",Opponent
Enter a game,0,2nd Ball,Successful,"[66.38095238095238, 6.857142857142861]","[66.38095238095238, 6.857142857142861]",UCSD
Enter a game,0,Pass,Successful,"[59.7142857142857, 8.57142857142857]","[85.99999999999997, 19.80952380952381]",UCSD
Enter a game,0,Pass,Successful,"[70.95238095238093, 7.61904761904762]","[44.47619047619046, 6.285714285714292]",Quin
Enter a game,0,Pass,Successful,"[39.90476190476189, 5.523809523809533]","[60.28571428571427, 19.80952380952381]",UCSD
Enter a game,0,Pass,Successful,"[66.0, 34.285714285714285]","[90.19047619047618, 34.095238095238095]",Jonah
Enter a game,0,Pass,Successful,"[67.14285714285714, 39.04761904761905]","[68.66666666666666, 65.71428571428572]",Jonah
Enter a game,0,Pass,Successful,"[61.99999999999999, 64.38095238095238]","[80.09523809523807, 75.80952380952381]",UCSD
Enter a game,0,Pass,Unsuccessful,"[88.09523809523807, 66.66666666666667]","[98.19047619047618, 79.23809523809524]",UCSD
Enter a game,0,Pass,Successful,"[36.66666666666665, 63.23809523809524]","[61.80952380952379, 50.095238095238095]",UCSD
Enter a game,0,Pass,Unsuccessful,"[63.14285714285713, 49.714285714285715]","[83.52380952380952, 31.23809523809524]",Jonah
