Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Santa Clara,0,1st Ball,Successful,"[31.52380952380951, 67.80952380952381]","[-1, -1]",Opponent
Santa Clara,0,1st Ball,Successful,"[80.85714285714283, 67.23809523809524]","[80.85714285714283, 67.23809523809524]",UCSD
Santa Clara,0,2nd Ball,Successful,"[91.14285714285714, 56.19047619047619]","[91.14285714285714, 56.19047619047619]",UCSD
Santa Clara,0,1st Ball,Successful,"[105.23809523809524, 65.33333333333333]","[105.04761904761904, 65.14285714285714]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[100.47619047619045, 63.61904761904762]","[73.42857142857142, 51.42857142857143]",UCSD
Santa Clara,0,Pass,Successful,"[87.33333333333331, 54.095238095238095]","[69.8095238095238, 40.952380952380956]",UCSD
Santa Clara,0,Pass,Successful,"[68.28571428571428, 40.57142857142857]","[84.47619047619045, 50.285714285714285]",Jonah
Santa Clara,0,Pass,Successful,"[80.28571428571428, 55.80952380952381]","[50.57142857142856, 70.66666666666666]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[81.61904761904759, 64.95238095238095]","[30.571428571428562, 51.61904761904762]",UCSD
Santa Clara,0,1st Ball,Successful,"[30.761904761904752, 52.76190476190476]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[38.19047619047618, 50.85714285714286]","[38.19047619047618, 50.666666666666664]",Opponent
Santa Clara,0,1st Ball,Successful,"[61.80952380952379, 51.23809523809524]","[63.33333333333332, 49.523809523809526]",Opponent
Santa Clara,0,2nd Ball,Successful,"[69.61904761904759, 37.904761904761905]","[69.61904761904759, 37.904761904761905]",UCSD
Santa Clara,0,1st Ball,Successful,"[14.952380952380942, 15.42857142857143]","[14.952380952380942, 15.61904761904762]",UCSD
Santa Clara,0,Pass,Successful,"[79.9047619047619, 47.23809523809524]","[53.23809523809522, 43.04761904761905]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[51.33333333333332, 43.80952380952381]","[55.7142857142857, 32.761904761904766]",Jonah
Santa Clara,0,Shot(foot),Unsuccessful,"[98.57142857142856, 39.80952380952381]","[110.19047619047618, 39.42857142857143]",Opponent
