Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
Santa Clara,0,Shot(foot),Unsuccessful,"[92.66666666666666, 30.47619047619048]","[119.33333333333331, 44.19047619047619]",Opponent
Santa Clara,0,1st Ball,Successful,"[37.04761904761903, 52.76190476190476]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[50.19047619047618, 50.285714285714285]","[49.99999999999999, 50.285714285714285]",Opponent
Santa Clara,0,1st Ball,Successful,"[61.6190476190476, 10.095238095238102]","[61.6190476190476, 10.095238095238102]",UCSD
Santa Clara,0,2nd Ball,Successful,"[69.42857142857142, 11.80952380952381]","[69.42857142857142, 11.80952380952381]",Opponent
Santa Clara,0,Pass,Successful,"[86.95238095238093, 17.904761904761912]","[112.09523809523807, 18.285714285714292]",Opponent
Santa Clara,0,Tackle,Successful,"[115.9047619047619, 29.33333333333333]","[-1, -1]",Jonah
Santa Clara,0,Pass,Successful,"[82.95238095238093, 24.76190476190476]","[61.23809523809522, 21.904761904761912]",UCSD
Santa Clara,0,Pass,Successful,"[61.04761904761903, 57.333333333333336]","[46.19047619047618, 39.42857142857143]",UCSD
Santa Clara,0,Pass,Successful,"[47.14285714285713, 37.714285714285715]","[55.90476190476189, 14.666666666666671]",Jonah
Santa Clara,0,Pass,Successful,"[56.66666666666665, 16.19047619047619]","[38.38095238095237, 4.19047619047619]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[20.857142857142847, 6.285714285714292]","[10.761904761904752, 34.476190476190474]",UCSD
Santa Clara,0,1st Ball,Successful,"[10.952380952380942, 35.23809523809524]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[43.7142857142857, 12.57142857142857]","[43.7142857142857, 12.57142857142857]",UCSD
Santa Clara,0,Pass,Successful,"[39.90476190476189, 21.523809523809533]","[49.04761904761903, 5.333333333333343]",Quin
Santa Clara,0,Pass,Successful,"[82.76190476190476, 17.523809523809533]","[113.04761904761904, 47.04761904761905]",Opponent
Santa Clara,0,Shot(foot),Unsuccessful,"[112.66666666666666, 48.19047619047619]","[118.95238095238093, 40.0]",Opponent
Santa Clara,0,1st Ball,Successful,"[110.57142857142856, 46.095238095238095]","[-1, -1]",UCSD
Santa Clara,0,2nd Ball,Successful,"[79.7142857142857, 44.952380952380956]","[79.7142857142857, 44.952380952380956]",Opponent
Santa Clara,0,1st Ball,Successful,"[114.57142857142856, 27.42857142857143]","[113.8095238095238, 26.47619047619048]",UCSD
Santa Clara,0,2nd Ball,Successful,"[100.85714285714286, 40.0]","[100.85714285714286, 40.0]",Opponent
Santa Clara,0,Shot(foot),Unsuccessful,"[100.28571428571428, 41.714285714285715]","[114.76190476190476, 39.80952380952381]",Opponent
Santa Clara,0,1st Ball,Successful,"[59.7142857142857, 7.80952380952381]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[73.23809523809521, 7.238095238095241]","[73.23809523809521, 7.238095238095241]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[89.42857142857142, 69.52380952380952]","[43.33333333333332, 61.714285714285715]",UCSD
Santa Clara,0,Pass,Successful,"[94.0, 45.333333333333336]","[115.14285714285714, 51.80952380952381]",Opponent
Santa Clara,0,Pass,Successful,"[116.85714285714286, 51.61904761904762]","[113.61904761904762, 40.0]",Opponent
Santa Clara,0,Shot(foot),Successful,"[112.66666666666666, 39.80952380952381]","[119.14285714285714, 38.476190476190474]",Opponent
Santa Clara,0,1st Ball,Successful,"[23.90476190476189, 71.42857142857143]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[33.42857142857141, 60.19047619047619]","[33.42857142857141, 60.19047619047619]",Opponent
Santa Clara,0,Pass,Unsuccessful,"[66.76190476190476, 21.33333333333333]","[13.238095238095227, 11.23809523809524]",Jonah
Santa Clara,0,1st Ball,Successful,"[45.6190476190476, 10.666666666666671]","[-1, -1]",UCSD
Santa Clara,0,2nd Ball,Successful,"[32.28571428571427, 12.76190476190476]","[31.90476190476189, 13.142857142857139]",Opponent
Santa Clara,0,Tackle,Successful,"[62.76190476190475, 8.38095238095238]","[62.76190476190475, 8.57142857142857]",Quin
Santa Clara,0,1st Ball,Successful,"[26.952380952380942, 52.57142857142857]","[26.952380952380942, 52.57142857142857]",Opponent
Santa Clara,0,2nd Ball,Successful,"[39.14285714285713, 67.04761904761905]","[39.14285714285713, 67.04761904761905]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[53.42857142857141, 52.0]","[30.190476190476183, 56.57142857142857]",Jonah
Santa Clara,0,Pass,Unsuccessful,"[74.19047619047618, 46.476190476190474]","[39.7142857142857, 31.80952380952381]",UCSD
Santa Clara,0,1st Ball,Successful,"[51.33333333333332, 68.57142857142857]","[-1, -1]",Opponent
Santa Clara,0,2nd Ball,Successful,"[59.7142857142857, 49.523809523809526]","[59.7142857142857, 49.523809523809526]",UCSD
Santa Clara,0,Pass,Unsuccessful,"[57.04761904761903, 33.904761904761905]","[29.999999999999993, 32.19047619047619]",Quin
