Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Enter a game,0,Set Piece,Successful,"[49.23809523809522, 58.857142857142854]","[33.04761904761903, 73.52380952380952]",Opponent
,,,,,,
Enter a game,0,Pass,Successful,"[36.28571428571427, 72.19047619047619]","[15.333333333333321, 75.61904761904762]",Opponent
,,,,,,
Enter a game,0,Pass,Unsuccessful,"[22.761904761904752, 57.904761904761905]","[3.904761904761891, 52.76190476190476]",Opponent
,,,,,,
Enter a game,0,Tackle,Successful,"[2.952380952380942, 52.38095238095238]","[14.380952380952372, 37.714285714285715]",UCSD
,,,,,,
Enter a game,0,Shot(foot),Unsuccessful,"[13.619047619047606, 37.714285714285715]","[0.857142857142847, 36.38095238095238]",Opponent
,,,,,,
Enter a game,1,Pass,Unsuccessful,"[52.47619047619046, 45.142857142857146]","[56.47619047619046, 33.142857142857146]",UCSD
,,,,,,
Enter a game,1,Pass,Successful,"[83.7142857142857, 30.66666666666667]","[93.61904761904762, 44.952380952380956]",Opponent
,,,,,,
Enter a game,1,Tackle,Successful,"[101.04761904761904, 48.952380952380956]","[99.9047619047619, 38.285714285714285]",UCSD
,,,,,,
Enter a game,1,Shot(foot),Unsuccessful,"[100.28571428571428, 39.61904761904762]","[113.42857142857142, 41.523809523809526]",Opponent
,,,,,,
Enter a game,2,Tackle,Successful,"[81.04761904761904, 45.714285714285715]","[81.04761904761904, 45.714285714285715]",Opponent
,,,,,,
Enter a game,2,Pass,Successful,"[85.42857142857142, 48.19047619047619]","[87.52380952380952, 36.19047619047619]",Opponent
,,,,,,
Enter a game,2,Shot(foot),Unsuccessful,"[91.14285714285714, 33.142857142857146]","[118.95238095238093, 43.61904761904762]",Opponent
,,,,,,
Enter a game,3,Set Piece,Successful,"[119.7142857142857, 79.42857142857143]","[109.61904761904762, 74.0952380952381]",Opponent
,,,,,,
Enter a game,3,Pass,Successful,"[108.85714285714286, 73.9047619047619]","[87.14285714285714, 61.714285714285715]",Opponent
,,,,,,
Enter a game,3,Pass,Successful,"[86.19047619047618, 62.857142857142854]","[103.9047619047619, 73.9047619047619]",Opponent
,,,,,,
Enter a game,3,Pass,Successful,"[99.7142857142857, 72.76190476190476]","[106.38095238095238, 45.142857142857146]",Opponent
,,,,,,
Enter a game,3,Pass,Unsuccessful,"[106.57142857142856, 44.19047619047619]","[113.23809523809524, 34.095238095238095]",Opponent
,,,,,,
Enter a game,3,Tackle,Successful,"[112.85714285714286, 34.095238095238095]","[93.8095238095238, 31.04761904761905]",UCSD
,,,,,,
Enter a game,3,Shot(foot),Unsuccessful,"[90.38095238095238, 32.952380952380956]","[119.14285714285714, 47.04761904761905]",Opponent
,,,,,,
Enter a game,4,Throw-in,Successful,"[108.85714285714286, 79.42857142857143]","[109.8095238095238, 50.666666666666664]",Opponent
,,,,,,
