Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
Cal Poly,0,Pass,Unsuccessful,"[66.19047619047618, 26.47619047619048]","[86.95238095238093, 38.66666666666667]",UCSD,17
,,,,,,,
Cal Poly,0,Pass,Successful,"[33.99999999999999, 47.42857142857143]","[30.190476190476183, 37.714285714285715]",Opponent,17
,,,,,,,
Cal Poly,0,Shot(foot),Unsuccessful,"[24.666666666666657, 32.19047619047619]","[3.1428571428571317, 35.80952380952381]",Opponent,17
,,,,,,,
Cal Poly,1,Pass,Unsuccessful,"[34.38095238095237, 67.42857142857143]","[46.95238095238094, 53.333333333333336]",UCSD,19
,,,,,,,
Cal Poly,1,Pass,Successful,"[28.47619047619046, 52.952380952380956]","[35.14285714285713, 31.61904761904762]",Opponent,19
,,,,,,,
Cal Poly,1,Shot(foot),Unsuccessful,"[27.14285714285713, 33.904761904761905]","[17.999999999999986, 33.142857142857146]",Opponent,19
,,,,,,,
Cal Poly,2,Tackle,Successful,"[32.66666666666665, 13.523809523809533]","[-1, -1]",Opponent,8
,,,,,,,
Cal Poly,2,Pass,Successful,"[11.523809523809511, 14.285714285714292]","[10.571428571428562, 32.761904761904766]",Opponent,8
,,,,,,,
Cal Poly,2,Shot(foot),Unsuccessful,"[10.571428571428562, 33.714285714285715]","[0.857142857142847, 46.095238095238095]",Opponent,8
,,,,,,,
Cal Poly,3,Pass,Successful,"[38.19047619047618, 28.95238095238095]","[49.23809523809522, 12.952380952380949]",Opponent,-1
,,,,,,,
Cal Poly,3,Pass,Successful,"[18.571428571428562, 9.523809523809533]","[26.380952380952372, 13.714285714285722]",Opponent,-1
,,,,,,,
Cal Poly,3,Shot(foot),Unsuccessful,"[24.28571428571427, 21.33333333333333]","[10.761904761904752, 31.23809523809524]",Opponent,-1
,,,,,,,
Cal Poly,4,Throw-in,Successful,"[91.52380952380952, 1.142857142857153]","[106.38095238095238, 30.285714285714292]",Opponent,-1
,,,,,,,
Cal Poly,4,Pass,Successful,"[106.76190476190476, 31.04761904761905]","[109.8095238095238, 42.285714285714285]",Opponent,-1
,,,,,,,
Cal Poly,4,Shot(foot),Unsuccessful,"[110.38095238095238, 43.80952380952381]","[118.95238095238093, 40.0]",Opponent,-1
,,,,,,,
Cal Poly,5,Tackle,Successful,"[66.57142857142856, 14.666666666666671]","[-1, -1]",Opponent,23
,,,,,,,
Cal Poly,5,Pass,Successful,"[66.76190476190476, 74.0952380952381]","[94.57142857142856, 64.95238095238095]",Opponent,23
,,,,,,,
Cal Poly,5,Shot(foot),Unsuccessful,"[104.47619047619045, 56.38095238095238]","[119.9047619047619, 44.76190476190476]",Opponent,23
,,,,,,,
Cal Poly,6,Pass,Unsuccessful,"[84.47619047619045, 28.38095238095238]","[34.38095238095237, 18.47619047619048]",UCSD,2
,,,,,,,
Cal Poly,6,Pass,Successful,"[93.42857142857142, 10.857142857142861]","[104.66666666666666, 34.476190476190474]",Opponent,2
,,,,,,,
Cal Poly,6,Shot(foot),Unsuccessful,"[105.42857142857142, 35.42857142857143]","[118.0, 38.285714285714285]",Opponent,2
