Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
Davis,0,Pass,Unsuccessful,"[17.428571428571416, 64.0]","[32.66666666666665, 66.85714285714286]",UCSD,12
,,,,,,,
Davis,0,Pass,Successful,"[5.238095238095227, 27.42857142857143]","[9.047619047619037, 37.904761904761905]",Opponent,12
,,,,,,,
Davis,0,Shot(foot),Unsuccessful,"[8.09523809523808, 37.523809523809526]","[0.6666666666666572, 39.04761904761905]",Opponent,12
,,,,,,,
Davis,1,Set Piece,Successful,"[0.857142857142847, 0.952380952380949]","[5.619047619047606, 41.142857142857146]",Opponent,-1
,,,,,,,
Davis,1,Shot(head),Unsuccessful,"[5.999999999999986, 41.333333333333336]","[1.2380952380952266, 40.952380952380956]",Opponent,-1
,,,,,,,
Davis,2,Pass,Unsuccessful,"[12.666666666666657, 17.714285714285722]","[44.85714285714284, 14.285714285714292]",UCSD,10
,,,,,,,
Davis,2,Pass,Successful,"[29.04761904761903, 34.095238095238095]","[23.7142857142857, 15.80952380952381]",Opponent,10
,,,,,,,
Davis,2,Shot(foot),Unsuccessful,"[12.09523809523808, 22.66666666666667]","[0.0952380952380878, 34.476190476190474]",Opponent,10
,,,,,,,
Davis,3,Pass,Unsuccessful,"[10.952380952380942, 46.85714285714286]","[72.47619047619045, 48.76190476190476]",UCSD,2
,,,,,,,
Davis,3,Pass,Successful,"[38.19047619047618, 28.57142857142857]","[27.90476190476189, 51.61904761904762]",Opponent,2
,,,,,,,
Davis,3,Shot(foot),Unsuccessful,"[22.190476190476176, 50.476190476190474]","[16.857142857142847, 46.85714285714286]",Opponent,2
,,,,,,,
Davis,4,Pass,Successful,"[37.23809523809522, 52.57142857142857]","[49.23809523809522, 26.66666666666667]",Opponent,-1
,,,,,,,
Davis,4,Pass,Successful,"[5.999999999999986, 54.666666666666664]","[7.3333333333333215, 43.23809523809524]",Opponent,-1
,,,,,,,
Davis,4,Shot(foot),Successful,"[7.523809523809511, 42.85714285714286]","[0.2857142857142776, 42.666666666666664]",Opponent,-1
,,,,,,,
Davis,5,Pass,Successful,"[104.47619047619045, 48.38095238095238]","[91.52380952380952, 19.42857142857143]",Opponent,-1
,,,,,,,
Davis,5,Pass,Successful,"[50.95238095238094, 21.14285714285714]","[33.99999999999999, 4.571428571428569]",Opponent,-1
,,,,,,,
Davis,5,Shot(foot),Unsuccessful,"[1.999999999999993, 30.85714285714286]","[0.857142857142847, 34.85714285714286]",Opponent,-1
,,,,,,,
Davis,6,Tackle,Successful,"[38.95238095238094, 56.19047619047619]","[-1, -1]",Opponent,8
,,,,,,,
Davis,6,Pass,Successful,"[20.666666666666657, 70.0952380952381]","[11.142857142857132, 38.85714285714286]",Opponent,8
,,,,,,,
Davis,6,Shot(head),Unsuccessful,"[11.523809523809511, 38.285714285714285]","[0.4761904761904674, 43.80952380952381]",Opponent,8
,,,,,,,
Davis,7,Pass,Successful,"[10.571428571428562, 42.666666666666664]","[35.14285714285713, 69.33333333333333]",Opponent,-1
,,,,,,,
Davis,7,Pass,Successful,"[72.28571428571428, 54.857142857142854]","[82.57142857142856, 38.66666666666667]",Opponent,-1
,,,,,,,
Davis,7,Shot(foot),Unsuccessful,"[100.47619047619045, 46.85714285714286]","[119.7142857142857, 36.761904761904766]",Opponent,-1
,,,,,,,
Davis,8,Tackle,Successful,"[78.19047619047618, 19.61904761904762]","[-1, -1]",Opponent,2
,,,,,,,
Davis,8,Pass,Successful,"[85.04761904761904, 32.0]","[92.85714285714286, 25.14285714285714]",Opponent,2
,,,,,,,
Davis,8,Shot(foot),Successful,"[107.52380952380952, 37.142857142857146]","[119.14285714285714, 37.333333333333336]",Opponent,2
,,,,,,,
Davis,9,Set Piece,Successful,"[119.14285714285714, 0.5714285714285694]","[113.8095238095238, 44.57142857142857]",Opponent,-1
,,,,,,,
Davis,9,Shot(head),Unsuccessful,"[112.66666666666666, 45.142857142857146]","[118.57142857142856, 39.61904761904762]",Opponent,-1
,,,,,,,
Davis,10,Throw-in,Successful,"[51.52380952380951, 0.0]","[82.38095238095238, 4.38095238095238]",Opponent,-1
,,,,,,,
Davis,10,Pass,Successful,"[91.14285714285714, 19.23809523809524]","[90.95238095238093, 28.38095238095238]",Opponent,-1
,,,,,,,
Davis,10,Shot(foot),Unsuccessful,"[98.76190476190476, 35.42857142857143]","[117.61904761904762, 39.23809523809524]",Opponent,-1
