Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
Fullerton,0,Pass,Unsuccessful,"[35.33333333333332, 66.28571428571428]","[91.7142857142857, 68.0]",UCSD,12
Fullerton,0,Pass,Successful,"[15.333333333333321, 50.666666666666664]","[20.476190476190467, 41.142857142857146]",Opponent,12
Fullerton,0,Shot(foot),Unsuccessful,"[21.809523809523796, 40.57142857142857]","[16.09523809523808, 40.57142857142857]",Opponent,12
Fullerton,1,Tackle,Successful,"[96.28571428571428, 19.61904761904762]","[-1, -1]",Opponent,17
Fullerton,1,Pass,Successful,"[68.28571428571428, 50.476190476190474]","[36.47619047619046, 69.71428571428572]",Opponent,17
Fullerton,1,Shot(foot),Unsuccessful,"[19.90476190476189, 53.142857142857146]","[0.4761904761904674, 43.42857142857143]",Opponent,17
Fullerton,2,Pass,Unsuccessful,"[8.666666666666657, 71.04761904761905]","[48.09523809523808, 68.57142857142857]",UCSD,2
Fullerton,2,Pass,Successful,"[47.7142857142857, 68.0]","[37.61904761904761, 50.476190476190474]",Opponent,2
Fullerton,2,Shot(foot),Unsuccessful,"[24.476190476190467, 43.61904761904762]","[1.0476190476190368, 38.66666666666667]",Opponent,2
Fullerton,3,Pass,Unsuccessful,"[24.28571428571427, 75.80952380952381]","[26.380952380952372, 61.714285714285715]",UCSD,8
Fullerton,3,Tackle,Successful,"[19.7142857142857, 33.904761904761905]","[-1, -1]",Opponent,19
Fullerton,3,Shot(foot),Unsuccessful,"[13.809523809523796, 28.0]","[1.2380952380952266, 37.142857142857146]",Opponent,19
Fullerton,4,Set Piece,Successful,"[0.4761904761904674, 79.23809523809524]","[6.3809523809523725, 40.38095238095238]",Opponent,-1
Fullerton,4,Shot(foot),Unsuccessful,"[6.3809523809523725, 39.23809523809524]","[1.0476190476190368, 38.476190476190474]",Opponent,-1
Fullerton,5,Set Piece,Successful,"[0.4761904761904674, 79.23809523809524]","[5.238095238095227, 53.142857142857146]",Opponent,-1
Fullerton,5,Pass,Successful,"[1.2380952380952266, 54.476190476190474]","[7.142857142857132, 42.666666666666664]",Opponent,-1
Fullerton,5,Shot(foot),Unsuccessful,"[6.571428571428562, 41.714285714285715]","[1.2380952380952266, 41.142857142857146]",Opponent,-1
Fullerton,6,Throw-in,Successful,"[37.23809523809522, 0.0]","[33.99999999999999, 11.61904761904762]",Opponent,-1
Fullerton,6,Pass,Successful,"[24.666666666666657, 63.04761904761905]","[25.619047619047606, 50.285714285714285]",Opponent,-1
Fullerton,6,Shot(foot),Unsuccessful,"[25.809523809523796, 38.476190476190474]","[18.571428571428562, 37.142857142857146]",Opponent,-1
Fullerton,7,Pass,Unsuccessful,"[6.190476190476183, 60.57142857142857]","[21.809523809523796, 54.476190476190474]",UCSD,19
Fullerton,7,Pass,Successful,"[84.47619047619045, 29.714285714285722]","[90.76190476190476, 17.904761904761912]",Opponent,19
Fullerton,7,Shot(foot),Unsuccessful,"[100.85714285714286, 28.0]","[113.04761904761904, 38.66666666666667]",Opponent,19
