Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
Irvine,0,Pass,Unsuccessful,"[45.99999999999999, 29.523809523809533]","[63.52380952380951, 51.23809523809524]",UCSD,6
,,,,,,,
Irvine,0,Pass,Successful,"[63.7142857142857, 51.80952380952381]","[47.90476190476189, 43.23809523809524]",Opponent,6
,,,,,,,
Irvine,0,Shot(foot),Unsuccessful,"[20.666666666666657, 49.904761904761905]","[1.0476190476190368, 40.0]",Opponent,6
,,,,,,,
Irvine,1,Tackle,Successful,"[52.66666666666665, 6.857142857142861]","[-1, -1]",Opponent,8
,,,,,,,
Irvine,1,Pass,Successful,"[45.23809523809522, 12.19047619047619]","[43.33333333333332, 24.95238095238095]",Opponent,8
,,,,,,,
Irvine,1,Shot(foot),Unsuccessful,"[29.999999999999993, 37.714285714285715]","[0.6666666666666572, 45.333333333333336]",Opponent,8
,,,,,,,
Irvine,2,Pass,Unsuccessful,"[15.523809523809511, 53.904761904761905]","[37.04761904761903, 32.19047619047619]",UCSD,7
,,,,,,,
Irvine,2,Shot(foot),Unsuccessful,"[31.52380952380951, 31.42857142857143]","[0.4761904761904674, 34.85714285714286]",Opponent,7
,,,,,,,
Irvine,3,Pass,Unsuccessful,"[0.4761904761904674, 79.61904761904762]","[5.999999999999986, 35.04761904761905]",Opponent,-1
,,,,,,,
Irvine,3,Tackle,Successful,"[7.3333333333333215, 34.66666666666667]","[20.09523809523808, 29.714285714285722]",UCSD,-1
,,,,,,,
Irvine,3,Shot(foot),Unsuccessful,"[21.238095238095227, 30.85714285714286]","[0.2857142857142776, 34.85714285714286]",Opponent,-1
,,,,,,,
Irvine,3,Pass,Successful,"[25.809523809523796, 36.0]","[12.666666666666657, 35.61904761904762]",Opponent,-1
,,,,,,,
Irvine,3,Shot(foot),Successful,"[11.523809523809511, 35.23809523809524]","[1.0476190476190368, 36.761904761904766]",Opponent,-1
,,,,,,,
Irvine,4,Tackle,Successful,"[29.809523809523803, 33.523809523809526]","[-1, -1]",Opponent,8
,,,,,,,
Irvine,4,Pass,Successful,"[21.428571428571416, 39.61904761904762]","[12.285714285714278, 50.85714285714286]",Opponent,8
,,,,,,,
Irvine,4,Shot(foot),Unsuccessful,"[7.3333333333333215, 49.333333333333336]","[0.0952380952380878, 35.42857142857143]",Opponent,8
,,,,,,,
Irvine,5,Throw-in,Successful,"[15.142857142857132, 79.80952380952381]","[6.190476190476183, 58.095238095238095]",Opponent,8
,,,,,,,
Irvine,5,Pass,Successful,"[31.33333333333332, 36.761904761904766]","[26.380952380952372, 44.0]",Opponent,-1
,,,,,,,
Irvine,5,Shot(foot),Unsuccessful,"[23.90476190476189, 44.38095238095238]","[18.380952380952372, 41.142857142857146]",Opponent,-1
,,,,,,,
Irvine,6,Pass,Successful,"[0.4761904761904674, 0.3809523809523796]","[7.523809523809511, 39.42857142857143]",Opponent,-1
,,,,,,,
Irvine,6,Shot(head),Unsuccessful,"[6.952380952380942, 40.57142857142857]","[0.2857142857142776, 36.57142857142857]",Opponent,-1
,,,,,,,
Irvine,7,Pass,Unsuccessful,"[87.9047619047619, 21.14285714285714]","[102.95238095238093, 37.523809523809526]",UCSD,8
,,,,,,,
Irvine,7,Pass,Unsuccessful,"[6.952380952380942, 21.33333333333333]","[23.7142857142857, 30.285714285714292]",UCSD,10
,,,,,,,
Irvine,7,Shot(head),Successful,"[22.190476190476176, 31.04761904761905]","[1.0476190476190368, 36.19047619047619]",Opponent,10
,,,,,,,
Irvine,8,Set Piece,Unsuccessful,"[84.09523809523807, 29.904761904761912]","[106.0, 44.952380952380956]",Opponent,-1
,,,,,,,
Irvine,8,Tackle,Successful,"[106.95238095238093, 45.142857142857146]","[91.52380952380952, 48.38095238095238]",UCSD,-1
,,,,,,,
Irvine,8,Shot(foot),Unsuccessful,"[92.47619047619048, 47.42857142857143]","[104.47619047619045, 43.23809523809524]",Opponent,-1
,,,,,,,
Irvine,9,Set Piece,Unsuccessful,"[119.9047619047619, 0.5714285714285694]","[114.95238095238093, 37.714285714285715]",Opponent,-1
,,,,,,,
Irvine,9,Tackle,Successful,"[97.8095238095238, 50.095238095238095]","[-1, -1]",Opponent,7
,,,,,,,
Irvine,9,Shot(foot),Unsuccessful,"[106.19047619047618, 37.142857142857146]","[119.7142857142857, 34.85714285714286]",Opponent,7
,,,,,,,
Irvine,10,Pass,Unsuccessful,"[9.619047619047606, 65.33333333333333]","[9.238095238095227, 55.80952380952381]",UCSD,10
,,,,,,,
Irvine,10,Pass,Successful,"[106.38095238095238, 64.57142857142857]","[106.0, 51.42857142857143]",Opponent,10
,,,,,,,
Irvine,10,Shot(foot),Unsuccessful,"[106.0, 50.476190476190474]","[113.23809523809524, 44.0]",Opponent,10
,,,,,,,
Irvine,10,Tackle,Successful,"[117.8095238095238, 50.476190476190474]","[118.95238095238093, 49.523809523809526]",Opponent,10
,,,,,,,
Irvine,10,Shot(foot),Unsuccessful,"[115.52380952380952, 46.285714285714285]","[119.33333333333331, 34.095238095238095]",Opponent,10
