Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
Sac State,0,Pass,Successful,"[114.76190476190476, 37.714285714285715]","[105.23809523809524, 13.904761904761912]",Opponent,-1
Sac State,0,Pass,Successful,"[59.52380952380951, 5.904761904761912]","[44.28571428571427, 20.0]",Opponent,-1
Sac State,0,Shot(foot),Unsuccessful,"[31.52380952380951, 38.476190476190474]","[0.857142857142847, 43.61904761904762]",Opponent,-1
Sac State,1,Pass,Unsuccessful,"[26.571428571428562, 17.904761904761912]","[47.90476190476189, 23.04761904761905]",UCSD,25
Sac State,1,Pass,Successful,"[25.619047619047606, 75.04761904761905]","[33.61904761904761, 59.04761904761905]",Opponent,25
Sac State,1,Shot(foot),Unsuccessful,"[24.666666666666657, 50.666666666666664]","[0.2857142857142776, 43.80952380952381]",Opponent,25
Sac State,2,Pass,Unsuccessful,"[102.95238095238093, 18.85714285714286]","[90.38095238095238, 9.714285714285722]",UCSD,8
Sac State,2,Pass,Successful,"[116.85714285714286, 54.857142857142854]","[110.19047619047618, 50.095238095238095]",Opponent,8
Sac State,2,Shot(foot),Unsuccessful,"[109.04761904761904, 49.523809523809526]","[115.33333333333331, 42.476190476190474]",Opponent,8
Sac State,3,Tackle,Successful,"[37.23809523809522, 58.285714285714285]","[37.23809523809522, 58.285714285714285]",Opponent,9
Sac State,3,Pass,Successful,"[115.9047619047619, 56.0]","[101.8095238095238, 48.19047619047619]",Opponent,9
Sac State,3,Shot(foot),Unsuccessful,"[106.19047619047618, 50.285714285714285]","[110.95238095238093, 46.666666666666664]",Opponent,9
Sac State,4,Set Piece,Successful,"[64.66666666666666, 9.142857142857139]","[75.52380952380952, 3.4285714285714306]",Opponent,-1
Sac State,4,Pass,Successful,"[100.85714285714286, 22.095238095238102]","[98.76190476190476, 31.61904761904762]",Opponent,-1
Sac State,4,Shot(foot),Unsuccessful,"[99.7142857142857, 36.57142857142857]","[118.95238095238093, 42.85714285714286]",Opponent,-1
Sac State,5,Set Piece,Unsuccessful,"[119.52380952380952, 0.1904761904761898]","[116.85714285714286, 32.952380952380956]",Opponent,-1
Sac State,5,Tackle,Successful,"[118.0, 34.285714285714285]","[100.28571428571428, 26.66666666666667]",UCSD,-1
Sac State,5,Shot(foot),Unsuccessful,"[100.66666666666666, 27.04761904761905]","[119.14285714285714, 34.66666666666667]",Opponent,-1
Sac State,6,Tackle,Successful,"[74.57142857142856, 48.19047619047619]","[-1, -1]",Opponent,19
Sac State,6,Pass,Successful,"[78.38095238095238, 26.66666666666667]","[93.61904761904762, 14.476190476190482]",Opponent,19
Sac State,6,Shot(foot),Unsuccessful,"[102.95238095238093, 22.66666666666667]","[119.52380952380952, 45.142857142857146]",Opponent,19
