Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
UCSB,0,Set Piece,Successful,"[119.14285714285714, 79.23809523809524]","[115.33333333333331, 32.38095238095238]",Opponent,-1
,,,,,,,
UCSB,0,Pass,Successful,"[114.57142857142856, 30.85714285714286]","[113.42857142857142, 36.0]",Opponent,-1
,,,,,,,
UCSB,0,Shot(foot),Unsuccessful,"[113.8095238095238, 37.523809523809526]","[119.52380952380952, 35.23809523809524]",Opponent,-1
,,,,,,,
UCSB,1,Tackle,Successful,"[43.90476190476189, 74.85714285714286]","[-1, -1]",Opponent,10
,,,,,,,
UCSB,1,Tackle,Successful,"[114.38095238095238, 38.476190476190474]","[100.85714285714286, 25.523809523809533]",UCSD,10
,,,,,,,
UCSB,1,Shot(foot),Unsuccessful,"[100.66666666666666, 23.04761904761905]","[112.09523809523807, 32.952380952380956]",Opponent,10
UCSB,2,Pass,Successful,"[7.714285714285701, 41.714285714285715]","[20.476190476190467, 29.714285714285722]",Opponent,-1
UCSB,2,Pass,Successful,"[99.33333333333331, 44.38095238095238]","[97.04761904761904, 32.761904761904766]",Opponent,-1
UCSB,2,Shot(foot),Unsuccessful,"[97.04761904761904, 33.142857142857146]","[117.8095238095238, 37.714285714285715]",Opponent,-1
UCSB,3,Tackle,Successful,"[66.95238095238093, 68.76190476190476]","[-1, -1]",Opponent,10
UCSB,3,Pass,Successful,"[98.95238095238093, 14.666666666666671]","[93.23809523809524, 26.095238095238102]",Opponent,10
UCSB,3,Shot(foot),Unsuccessful,"[93.61904761904762, 26.47619047619048]","[118.95238095238093, 39.23809523809524]",Opponent,10
UCSB,4,Throw-in,Successful,"[64.85714285714283, 0.7619047619047592]","[52.28571428571427, 14.476190476190482]",Opponent,-1
UCSB,4,Pass,Successful,"[87.33333333333331, 62.285714285714285]","[105.23809523809524, 62.857142857142854]",Opponent,-1
UCSB,4,Shot(foot),Unsuccessful,"[109.8095238095238, 47.80952380952381]","[119.52380952380952, 44.952380952380956]",Opponent,-1
UCSB,5,Pass,Unsuccessful,"[67.33333333333331, 18.095238095238102]","[37.23809523809522, 15.42857142857143]",UCSD,12
UCSB,5,Pass,Successful,"[71.52380952380952, 8.38095238095238]","[82.19047619047618, 21.904761904761912]",Opponent,12
UCSB,5,Shot(foot),Unsuccessful,"[88.47619047619045, 32.761904761904766]","[119.7142857142857, 36.38095238095238]",Opponent,12
UCSB,6,Pass,Unsuccessful,"[113.23809523809524, 67.23809523809524]","[86.76190476190476, 63.61904761904762]",UCSD,10
UCSB,6,Pass,Successful,"[108.47619047619045, 72.19047619047619]","[95.52380952380952, 65.52380952380952]",Opponent,10
UCSB,6,Shot(foot),Unsuccessful,"[95.33333333333331, 58.285714285714285]","[119.7142857142857, 38.095238095238095]",Opponent,10
UCSB,6,Pass,Successful,"[89.04761904761904, 52.952380952380956]","[96.28571428571428, 63.23809523809524]",Opponent,10
UCSB,6,Shot(foot),Unsuccessful,"[97.61904761904762, 56.38095238095238]","[119.9047619047619, 46.666666666666664]",Opponent,10
UCSB,7,Throw-in,Successful,"[50.38095238095237, 0.3809523809523796]","[67.14285714285714, 6.285714285714292]",Opponent,-1
UCSB,7,Pass,Successful,"[10.952380952380942, 12.0]","[10.571428571428562, 27.04761904761905]",Opponent,-1
UCSB,7,Shot(foot),Unsuccessful,"[7.142857142857132, 25.714285714285722]","[3.3333333333333215, 32.761904761904766]",Opponent,-1
UCSB,8,Set Piece,Successful,"[0.6666666666666572, 0.5714285714285694]","[5.809523809523796, 40.0]",Opponent,-1
UCSB,8,Shot(foot),Unsuccessful,"[6.3809523809523725, 40.19047619047619]","[1.0476190476190368, 40.19047619047619]",Opponent,-1
UCSB,9,Tackle,Successful,"[66.19047619047618, 36.19047619047619]","[-1, -1]",Opponent,23
UCSB,9,Pass,Successful,"[9.047619047619037, 41.142857142857146]","[13.809523809523796, 44.19047619047619]",Opponent,23
UCSB,9,Shot(foot),Successful,"[13.047619047619037, 42.285714285714285]","[1.4285714285714164, 37.523809523809526]",Opponent,23
UCSB,10,Pass,Successful,"[114.38095238095238, 32.761904761904766]","[107.9047619047619, 19.23809523809524]",Opponent,-1
UCSB,10,Pass,Successful,"[48.47619047619046, 8.76190476190476]","[24.857142857142847, 19.80952380952381]",Opponent,-1
UCSB,10,Shot(foot),Successful,"[9.999999999999986, 29.904761904761912]","[1.0476190476190368, 36.38095238095238]",Opponent,-1
UCSB,11,Throw-in,Successful,"[8.285714285714278, 0.3809523809523796]","[5.047619047619037, 9.904761904761912]",Opponent,-1
UCSB,11,Tackle,Successful,"[5.999999999999986, 38.095238095238095]","[17.238095238095227, 40.761904761904766]",UCSD,-1
UCSB,11,Shot(foot),Successful,"[14.571428571428562, 40.952380952380956]","[0.2857142857142776, 36.952380952380956]",Opponent,-1
UCSB,12,Tackle,Successful,"[87.52380952380952, 27.42857142857143]","[-1, -1]",Opponent,8
UCSB,12,Pass,Successful,"[82.95238095238093, 30.66666666666667]","[47.33333333333332, 37.714285714285715]",Opponent,8
UCSB,12,Shot(foot),Unsuccessful,"[16.857142857142847, 36.19047619047619]","[6.571428571428562, 36.19047619047619]",Opponent,8
UCSB,13,Pass,Successful,"[39.7142857142857, 9.523809523809533]","[55.33333333333332, 14.285714285714292]",Opponent,-1
