Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
UNLV,0,Pass,Unsuccessful,"[86.95238095238093, 36.761904761904766]","[28.66666666666665, 64.38095238095238]",Evan
,,,,,,
UNLV,0,1st Ball,Successful,"[29.999999999999993, 66.66666666666667]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[27.7142857142857, 55.61904761904762]","[27.14285714285713, 54.666666666666664]",Opponent
,,,,,,
UNLV,0,Pass,Unsuccessful,"[59.52380952380951, 9.523809523809533]","[31.7142857142857, 17.33333333333333]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[31.90476190476189, 16.95238095238095]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[49.8095238095238, 17.904761904761912]","[49.8095238095238, 17.904761904761912]",Jonah
,,,,,,
UNLV,0,Pass,Successful,"[51.52380952380951, 12.952380952380949]","[47.14285714285713, 6.285714285714292]",Jonah
,,,,,,
UNLV,0,Pass,Successful,"[47.33333333333332, 9.904761904761912]","[32.85714285714284, 13.333333333333343]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[33.23809523809522, 12.38095238095238]","[25.428571428571416, 19.42857142857143]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[30.190476190476183, 19.80952380952381]","[25.428571428571416, 25.33333333333333]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[47.7142857142857, 39.42857142857143]","[9.619047619047606, 70.0952380952381]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[65.61904761904759, 3.4285714285714306]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[79.33333333333331, 3.80952380952381]","[79.7142857142857, 5.333333333333343]",Matt
,,,,,,
UNLV,0,1st Ball,Successful,"[38.19047619047618, 4.19047619047619]","[38.19047619047618, 4.19047619047619]",UCSD
,,,,,,
UNLV,0,2nd Ball,Successful,"[31.52380952380951, 2.285714285714292]","[31.52380952380951, 2.6666666666666714]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[54.19047619047618, 22.85714285714286]","[15.523809523809511, 47.80952380952381]",Adam
,,,,,,
UNLV,0,1st Ball,Successful,"[15.523809523809511, 48.0]","[15.523809523809511, 48.0]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[25.238095238095227, 57.142857142857146]","[25.238095238095227, 57.142857142857146]",Woody
,,,,,,
UNLV,0,Pass,Successful,"[26.380952380952372, 57.333333333333336]","[11.904761904761891, 72.76190476190476]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[25.428571428571416, 64.38095238095238]","[1.4285714285714164, 29.14285714285714]",UCSD
,,,,,,
UNLV,0,1st Ball,Successful,"[67.52380952380952, 2.6666666666666714]","[-1, -1]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[77.42857142857142, 11.80952380952381]","[76.66666666666666, 11.23809523809524]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[78.19047619047618, 3.238095238095241]","[69.23809523809521, 10.285714285714292]",UCSD
,,,,,,
UNLV,0,Pass,Successful,"[70.57142857142856, 13.333333333333343]","[96.47619047619045, 5.523809523809533]",Jonah
,,,,,,
UNLV,0,Pass,Successful,"[107.33333333333331, 35.23809523809524]","[61.04761904761903, 40.0]",Nolan
,,,,,,
UNLV,0,1st Ball,Successful,"[61.04761904761903, 38.85714285714286]","[-1, -1]",UCSD
,,,,,,
UNLV,0,2nd Ball,Successful,"[67.33333333333331, 34.85714285714286]","[67.33333333333331, 35.04761904761905]",Opponent
,,,,,,
UNLV,0,1st Ball,Successful,"[83.14285714285714, 30.095238095238102]","[82.95238095238093, 30.47619047619048]",Opponent
,,,,,,
UNLV,0,2nd Ball,Successful,"[74.57142857142856, 44.0]","[74.57142857142856, 44.0]",UCSD
,,,,,,
UNLV,0,Pass,Unsuccessful,"[77.8095238095238, 66.47619047619048]","[36.85714285714284, 58.857142857142854]",UCSD
,,,,,,
