Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
USD,nan,1st Ball,Successful,"[79.7142857142857, 58.285714285714285]","[-1, -1]",USD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[69.04761904761904, 46.85714285714286]","[69.42857142857142, 46.85714285714286]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[61.23809523809522, 75.23809523809524]","[61.04761904761903, 74.0952380952381]",USD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[51.7142857142857, 60.0]","[51.7142857142857, 60.0]",UCSD,Enter a player
,,,,,,,
USD,0,Pass,Unsuccessful,"[64.66666666666666, 71.80952380952381]","[53.23809523809522, 63.61904761904762]",USD,Enter a player
,,,,,,,
USD,0,Pass,Successful,"[53.42857142857141, 62.857142857142854]","[82.19047619047618, 76.57142857142857]",UCSD,Enter a player
,,,,,,,
USD,0,Pass,Successful,"[85.8095238095238, 74.85714285714286]","[104.66666666666666, 60.76190476190476]",UCSD,Enter a player
,,,,,,,
USD,0,Pass,Successful,"[118.19047619047618, 54.285714285714285]","[113.23809523809524, 32.761904761904766]",UCSD,Enter a player
,,,,,,,
USD,0,Shot(foot),Unsuccessful,"[112.85714285714286, 32.761904761904766]","[118.76190476190476, 38.66666666666667]",UCSD,Enter a player
,,,,,,,
USD,1,Pass,Unsuccessful,"[81.99999999999997, 3.238095238095241]","[96.47619047619045, 16.38095238095238]",UCSD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[96.09523809523807, 16.57142857142857]","[104.47619047619045, 22.66666666666667]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[106.95238095238093, 22.66666666666667]","[108.28571428571428, 6.857142857142861]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[105.8095238095238, 10.857142857142861]","[64.66666666666666, 8.38095238095238]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[64.28571428571428, 8.0]","[61.99999999999999, 20.19047619047619]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[56.47619047619046, 18.66666666666667]","[40.85714285714284, 7.238095238095241]",USD,Enter a player
,,,,,,,
USD,1,Shot(foot),Unsuccessful,"[16.285714285714278, 19.61904761904762]","[1.809523809523796, 36.0]",USD,Enter a player
,,,,,,,
USD,2,Pass,Unsuccessful,"[34.38095238095237, 14.857142857142861]","[23.52380952380951, 17.523809523809533]",UCSD,Enter a player
,,,,,,,
USD,2,Pass,Successful,"[22.952380952380942, 27.04761904761905]","[11.714285714285701, 22.85714285714286]",USD,Enter a player
,,,,,,,
USD,2,Shot(foot),Unsuccessful,"[6.952380952380942, 22.47619047619048]","[1.2380952380952266, 35.61904761904762]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[20.476190476190467, 19.42857142857143]","[-1, -1]",UCSD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[78.19047619047618, 62.285714285714285]","[78.19047619047618, 62.095238095238095]",USD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[96.47619047619045, 69.33333333333333]","[96.47619047619045, 69.52380952380952]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[82.19047619047618, 20.38095238095238]","[81.42857142857142, 20.38095238095238]",USD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[62.57142857142856, 27.80952380952381]","[62.57142857142856, 27.80952380952381]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[89.04761904761904, 65.14285714285714]","[89.04761904761904, 65.14285714285714]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[50.19047619047618, 63.61904761904762]","[50.19047619047618, 63.61904761904762]",USD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[58.19047619047618, 54.857142857142854]","[58.38095238095237, 54.857142857142854]",USD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[34.95238095238094, 7.80952380952381]","[34.76190476190475, 7.428571428571431]",UCSD,Enter a player
,,,,,,,
USD,nan,1st Ball,Successful,"[83.7142857142857, 18.66666666666667]","[83.7142857142857, 18.66666666666667]",UCSD,Enter a player
,,,,,,,
USD,nan,2nd Ball,Successful,"[93.8095238095238, 11.80952380952381]","[93.61904761904762, 11.80952380952381]",USD,Enter a player
,,,,,,,
