Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
USD,0,1st Ball,Successful,"[32.28571428571427, 40.0]","[-1, -1]",UCSD,Enter a player
,,,,,,,
USD,0,1st Ball,Successful,"[8.666666666666657, 37.142857142857146]","[8.666666666666657, 37.142857142857146]",USD,Enter a player
,,,,,,,
USD,0,2nd Ball,Successful,"[35.33333333333332, 72.0]","[35.52380952380951, 70.47619047619048]",UCSD,Enter a player
,,,,,,,
USD,0,1st Ball,Successful,"[89.8095238095238, 17.14285714285714]","[89.8095238095238, 16.38095238095238]",USD,Enter a player
,,,,,,,
USD,0,2nd Ball,Successful,"[89.42857142857142, 17.14285714285714]","[89.61904761904759, 17.14285714285714]",USD,Enter a player
,,,,,,,
USD,0,1st Ball,Successful,"[29.42857142857141, 15.61904761904762]","[29.619047619047613, 15.047619047619051]",UCSD,Enter a player
,,,,,,,
USD,0,1st Ball,Successful,"[33.8095238095238, 13.714285714285722]","[33.8095238095238, 13.714285714285722]",USD,Enter a player
,,,,,,,
USD,0,2nd Ball,Successful,"[49.42857142857141, 15.23809523809524]","[49.42857142857141, 15.23809523809524]",USD,Enter a player
,,,,,,,
USD,0,Tackle,Successful,"[92.28571428571428, 68.19047619047619]","[92.28571428571428, 67.80952380952381]",USD,Enter a player
,,,,,,,
USD,0,Pass,Successful,"[95.52380952380952, 56.57142857142857]","[90.57142857142856, 43.23809523809524]",USD,Enter a player
,,,,,,,
USD,0,Pass,Successful,"[105.61904761904762, 59.42857142857143]","[106.19047619047618, 46.666666666666664]",USD,Enter a player
,,,,,,,
USD,0,Shot(foot),Unsuccessful,"[106.19047619047618, 46.285714285714285]","[111.7142857142857, 45.142857142857146]",USD,Enter a player
,,,,,,,
USD,1,Tackle,Successful,"[108.28571428571428, 69.33333333333333]","[-1, -1]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[96.28571428571428, 67.61904761904762]","[91.9047619047619, 76.38095238095238]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[93.8095238095238, 74.66666666666666]","[66.0, 72.57142857142857]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[72.85714285714283, 74.28571428571428]","[53.80952380952379, 56.0]",USD,Enter a player
,,,,,,,
USD,1,Pass,Successful,"[50.19047619047618, 56.19047619047619]","[53.6190476190476, 28.57142857142857]",USD,Enter a player
,,,,,,,
