Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
San Diego,0,Tackle,Successful,"[74.76190476190476, 48.19047619047619]","[58.19047619047618, 39.04761904761905]",USD,24
,,,,,,,
San Diego,0,Shot(foot),Unsuccessful,"[29.999999999999993, 29.904761904761912]","[13.428571428571416, 29.904761904761912]",USD,25
,,,,,,,
San Diego,1,Pass,Unsuccessful,"[25.428571428571416, 34.66666666666667]","[61.6190476190476, 19.80952380952381]",Opponent,4
,,,,,,,
San Diego,1,Pass,Successful,"[62.76190476190475, 19.61904761904762]","[43.33333333333332, 18.47619047619048]",USD,4
,,,,,,,
San Diego,1,Pass,Successful,"[42.38095238095237, 15.61904761904762]","[29.23809523809522, 27.61904761904762]",USD,7
,,,,,,,
San Diego,1,Pass,Successful,"[30.761904761904752, 27.04761904761905]","[15.333333333333321, 6.857142857142861]",USD,10
,,,,,,,
San Diego,1,Pass,Successful,"[12.857142857142847, 7.238095238095241]","[19.7142857142857, 56.95238095238095]",USD,11
,,,,,,,
San Diego,1,Shot(foot),Unsuccessful,"[19.52380952380951, 55.61904761904762]","[0.6666666666666572, 48.19047619047619]",USD,24
,,,,,,,
San Diego,2,Tackle,Successful,"[41.61904761904761, 19.23809523809524]","[-1, -1]",USD,30
,,,,,,,
San Diego,2,Shot(foot),Unsuccessful,"[29.04761904761903, 21.523809523809533]","[1.4285714285714164, 43.80952380952381]",USD,30
,,,,,,,
San Diego,3,Tackle,Successful,"[64.47619047619045, 45.714285714285715]","[-1, -1]",USD,4
,,,,,,,
San Diego,3,Pass,Successful,"[64.66666666666666, 45.523809523809526]","[91.52380952380952, 47.80952380952381]",USD,4
,,,,,,,
San Diego,3,Shot(foot),Successful,"[105.04761904761904, 53.333333333333336]","[118.95238095238093, 40.761904761904766]",USD,10
,,,,,,,
San Diego,4,Pass,Unsuccessful,"[74.38095238095238, 39.23809523809524]","[88.47619047619045, 35.23809523809524]",Opponent,11
,,,,,,,
San Diego,4,Shot(foot),Unsuccessful,"[113.23809523809524, 54.666666666666664]","[115.52380952380952, 48.76190476190476]",USD,11
,,,,,,,
San Diego,5,Set Piece,Successful,"[119.52380952380952, 79.80952380952381]","[92.09523809523807, 52.57142857142857]",USD,24
,,,,,,,
San Diego,5,Shot(foot),Unsuccessful,"[91.14285714285714, 51.61904761904762]","[119.52380952380952, 40.0]",USD,11
,,,,,,,
San Diego,6,Throw-in,Successful,"[92.85714285714286, 0.3809523809523796]","[69.42857142857142, 7.238095238095241]",USD,24
,,,,,,,
San Diego,6,Pass,Successful,"[65.23809523809521, 17.904761904761912]","[67.9047619047619, 60.0]",USD,35
,,,,,,,
San Diego,6,Pass,Successful,"[87.52380952380952, 78.47619047619048]","[107.9047619047619, 72.76190476190476]",USD,4
,,,,,,,
San Diego,6,Shot(foot),Unsuccessful,"[103.9047619047619, 56.0]","[119.33333333333331, 34.476190476190474]",USD,7
USD,7,Tackle,Successful,"[62.95238095238094, 56.38095238095238]","[53.80952380952379, 64.19047619047619]",USD,25
,,,,,,,
USD,7,Pass,Successful,"[41.99999999999999, 44.952380952380956]","[6.190476190476183, 72.95238095238095]",USD,10
,,,,,,,
USD,7,Pass,Unsuccessful,"[9.619047619047606, 69.14285714285714]","[11.714285714285701, 30.47619047619048]",USD,11
,,,,,,,
USD,7,Tackle,Successful,"[11.714285714285701, 29.14285714285714]","[31.90476190476189, 24.95238095238095]",Opponent,11
,,,,,,,
USD,7,Shot(foot),Unsuccessful,"[31.90476190476189, 25.523809523809533]","[0.4761904761904674, 25.714285714285722]",USD,4
,,,,,,,
USD,8,Pass,Unsuccessful,"[31.7142857142857, 2.095238095238102]","[28.66666666666665, 27.80952380952381]",Opponent,11
,,,,,,,
USD,8,Shot(foot),Successful,"[13.809523809523796, 24.95238095238095]","[1.0476190476190368, 36.761904761904766]",USD,11
,,,,,,,
USD,9,Pass,Successful,"[113.04761904761904, 18.47619047619048]","[100.28571428571428, 31.61904761904762]",USD,33
,,,,,,,
USD,9,Pass,Successful,"[98.76190476190476, 29.33333333333333]","[88.09523809523807, 44.57142857142857]",USD,18
,,,,,,,
USD,9,Pass,Successful,"[87.7142857142857, 42.285714285714285]","[77.61904761904759, 28.19047619047619]",USD,6
,,,,,,,
USD,9,Pass,Successful,"[76.85714285714283, 21.714285714285722]","[89.99999999999997, 8.19047619047619]",USD,17
,,,,,,,
USD,9,Pass,Successful,"[92.09523809523807, 9.142857142857139]","[100.47619047619045, 24.19047619047619]",USD,4
,,,,,,,
USD,9,Pass,Successful,"[97.8095238095238, 25.14285714285714]","[75.9047619047619, 7.61904761904762]",USD,18
,,,,,,,
USD,9,Pass,Successful,"[57.6190476190476, 5.142857142857153]","[23.90476190476189, 29.14285714285714]",USD,5
,,,,,,,
USD,9,Shot(foot),Unsuccessful,"[10.952380952380942, 27.04761904761905]","[0.0952380952380878, 48.19047619047619]",USD,11
,,,,,,,
USD,10,Pass,Unsuccessful,"[49.42857142857141, 30.66666666666667]","[74.57142857142856, 17.523809523809533]",Opponent,4
,,,,,,,
USD,10,Pass,Successful,"[61.42857142857141, 22.285714285714292]","[50.95238095238094, 38.285714285714285]",USD,4
,,,,,,,
USD,10,Pass,Successful,"[37.23809523809522, 36.761904761904766]","[21.809523809523796, 56.0]",USD,25
,,,,,,,
USD,10,Shot(foot),Successful,"[16.09523809523808, 43.04761904761905]","[1.4285714285714164, 43.04761904761905]",USD,11
USD,11,Tackle,Successful,"[87.14285714285714, 47.23809523809524]","[77.23809523809521, 44.19047619047619]",USD,25
,,,,,,,
USD,11,Pass,Successful,"[76.09523809523807, 40.0]","[92.09523809523807, 7.238095238095241]",USD,8
,,,,,,,
USD,11,Pass,Successful,"[88.09523809523807, 11.80952380952381]","[108.47619047619045, 5.333333333333343]",USD,24
,,,,,,,
USD,11,Pass,Successful,"[113.23809523809524, 4.38095238095238]","[92.28571428571428, 17.714285714285722]",USD,6
,,,,,,,
USD,11,Shot(foot),Successful,"[91.14285714285714, 20.95238095238095]","[119.9047619047619, 42.85714285714286]",USD,24
,,,,,,,
USD,12,Pass,Unsuccessful,"[119.33333333333331, 49.904761904761905]","[86.95238095238093, 60.57142857142857]",Opponent,7
,,,,,,,
USD,12,Pass,Successful,"[97.23809523809524, 55.61904761904762]","[95.52380952380952, 41.523809523809526]",USD,7
,,,,,,,
USD,12,Shot(foot),Unsuccessful,"[110.76190476190476, 24.57142857142857]","[119.52380952380952, 35.04761904761905]",USD,11
,,,,,,,
USD,13,Tackle,Successful,"[53.23809523809522, 49.523809523809526]","[-1, -1]",USD,10
,,,,,,,
USD,13,Pass,Successful,"[50.76190476190475, 50.095238095238095]","[75.52380952380952, 50.476190476190474]",USD,10
,,,,,,,
USD,13,Shot(foot),Successful,"[104.28571428571428, 46.476190476190474]","[119.14285714285714, 41.714285714285715]",USD,11
,,,,,,,
USD,14,Pass,Unsuccessful,"[39.33333333333332, 15.61904761904762]","[20.666666666666657, 26.285714285714292]",Opponent,25
,,,,,,,
USD,14,Tackle,Successful,"[21.999999999999986, 25.904761904761912]","[30.952380952380942, 49.333333333333336]",USD,25
,,,,,,,
USD,14,Pass,Successful,"[33.04761904761903, 51.23809523809524]","[82.38095238095238, 67.04761904761905]",USD,8
,,,,,,,
USD,14,Pass,Successful,"[85.23809523809521, 63.04761904761905]","[106.76190476190476, 47.04761904761905]",USD,11
,,,,,,,
USD,14,Shot(foot),Successful,"[117.8095238095238, 52.952380952380956]","[119.52380952380952, 41.142857142857146]",USD,10
,,,,,,,
USD,15,Tackle,Successful,"[55.14285714285713, 68.0]","[-1, -1]",USD,5
,,,,,,,
USD,15,Pass,Successful,"[75.33333333333331, 76.19047619047619]","[96.85714285714286, 70.0952380952381]",USD,5
,,,,,,,
USD,15,Shot(foot),Unsuccessful,"[106.57142857142856, 55.04761904761905]","[111.7142857142857, 48.38095238095238]",USD,30
,,,,,,,
USD,16,Pass,Unsuccessful,"[103.33333333333331, 29.904761904761912]","[87.7142857142857, 38.85714285714286]",Opponent,8
,,,,,,,
USD,16,Shot(foot),Unsuccessful,"[85.8095238095238, 40.952380952380956]","[104.85714285714286, 40.952380952380956]",USD,8
,,,,,,,
