Game,numOpportunity,Event,Result,Start Pos,End Pos,Team
,,,,,,
Irvine,0,Pass,Unsuccessful,"[26.380952380952372, 51.42857142857143]","[33.04761904761903, 29.714285714285722]",UCSD
,,,,,,
Irvine,0,Pass,Successful,"[16.857142857142847, 19.80952380952381]","[19.14285714285713, 30.285714285714292]",Opponent
,,,,,,
Irvine,0,Shot(foot),Unsuccessful,"[19.33333333333332, 28.0]","[1.4285714285714164, 37.333333333333336]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[91.7142857142857, 2.857142857142861]","[116.28571428571428, 20.0]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[110.57142857142856, 26.85714285714286]","[92.47619047619048, 61.714285714285715]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[77.23809523809521, 62.095238095238095]","[85.23809523809521, 44.952380952380956]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[87.7142857142857, 46.85714285714286]","[85.42857142857142, 31.23809523809524]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[82.95238095238093, 28.19047619047619]","[67.9047619047619, 6.285714285714292]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[68.85714285714283, 5.714285714285722]","[71.7142857142857, 15.23809523809524]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[72.09523809523807, 17.523809523809533]","[80.66666666666666, 13.142857142857139]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[79.9047619047619, 17.714285714285722]","[89.42857142857142, 50.095238095238095]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[59.33333333333332, 54.666666666666664]","[51.33333333333332, 43.42857142857143]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[48.47619047619046, 41.333333333333336]","[37.42857142857141, 50.285714285714285]",Opponent
,,,,,,
Irvine,1,Pass,Successful,"[29.23809523809522, 49.333333333333336]","[22.380952380952372, 38.85714285714286]",Opponent
,,,,,,
Irvine,1,Shot(foot),Successful,"[18.571428571428562, 32.0]","[0.4761904761904674, 43.61904761904762]",Opponent
,,,,,,
Irvine,2,Throw-in,Successful,"[21.999999999999986, 80.0]","[32.47619047619046, 76.76190476190476]",Opponent
,,,,,,
Irvine,2,Pass,Successful,"[31.7142857142857, 74.28571428571428]","[29.809523809523803, 59.80952380952381]",Opponent
,,,,,,
Irvine,2,Pass,Successful,"[27.14285714285713, 60.76190476190476]","[17.238095238095227, 74.85714285714286]",Opponent
,,,,,,
Irvine,2,Pass,Successful,"[9.047619047619037, 71.04761904761905]","[9.619047619047606, 44.57142857142857]",Opponent
,,,,,,
Irvine,2,Tackle,Successful,"[10.952380952380942, 40.19047619047619]","[-1, -1]",UCSD
,,,,,,
Irvine,2,Pass,Unsuccessful,"[16.476190476190467, 46.285714285714285]","[23.7142857142857, 34.095238095238095]",UCSD
,,,,,,
Irvine,2,Shot(foot),Unsuccessful,"[21.809523809523796, 34.476190476190474]","[0.4761904761904674, 33.333333333333336]",Opponent
,,,,,,
Irvine,3,Set Piece,Successful,"[0.2857142857142776, 79.42857142857143]","[5.428571428571416, 76.57142857142857]",Opponent
,,,,,,
Irvine,3,Pass,Successful,"[7.904761904761891, 75.80952380952381]","[24.09523809523808, 60.38095238095238]",Opponent
,,,,,,
Irvine,3,Pass,Successful,"[22.952380952380942, 60.0]","[5.809523809523796, 59.04761904761905]",Opponent
,,,,,,
Irvine,3,Pass,Successful,"[3.5238095238095113, 55.42857142857143]","[13.047619047619037, 47.42857142857143]",Opponent
,,,,,,
Irvine,3,Shot(foot),Unsuccessful,"[13.619047619047606, 48.57142857142857]","[0.2857142857142776, 46.095238095238095]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[32.28571428571427, 59.42857142857143]","[13.047619047619037, 61.333333333333336]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[13.999999999999986, 58.476190476190474]","[2.1904761904761827, 50.666666666666664]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[2.761904761904752, 51.23809523809524]","[11.333333333333321, 24.0]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[36.09523809523808, 23.04761904761905]","[21.047619047619037, 59.23809523809524]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[31.90476190476189, 54.476190476190474]","[81.04761904761904, 43.42857142857143]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[82.95238095238093, 41.523809523809526]","[78.76190476190476, 44.38095238095238]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[79.52380952380952, 47.80952380952381]","[99.7142857142857, 69.9047619047619]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[106.57142857142856, 63.23809523809524]","[113.42857142857142, 63.23809523809524]",Opponent
,,,,,,
Irvine,4,Pass,Successful,"[116.66666666666666, 60.95238095238095]","[110.0, 52.952380952380956]",Opponent
,,,,,,
Irvine,4,Shot(foot),Successful,"[109.61904761904762, 50.285714285714285]","[119.7142857142857, 37.904761904761905]",Opponent
,,,,,,
Irvine,5,Pass,Unsuccessful,"[97.04761904761904, 46.666666666666664]","[69.42857142857142, 44.76190476190476]",UCSD
,,,,,,
Irvine,5,Pass,Successful,"[70.76190476190476, 44.57142857142857]","[64.47619047619045, 39.42857142857143]",Opponent
,,,,,,
