index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player,startX,startY,endX,endY,Side
1,AF,0.0,Tackle,Successful,"[39.33333333333332, 52.76190476190476]","[-1, -1]",AF,Enter a player,39.33333333333332,52.76190476190476,-1.0,-1.0,left
3,AF,0.0,Shot(foot),Unsuccessful,"[32.09523809523808, 43.80952380952381]","[17.619047619047606, 40.952380952380956]",AF,Enter a player,32.09523809523808,43.80952380952381,17.619047619047606,40.952380952380956,left
4,AF,1.0,Pass,Unsuccessful,"[82.38095238095238, 46.476190476190474]","[64.85714285714283, 41.523809523809526]",UCSD,Enter a player,82.38095238095238,46.476190476190474,64.85714285714283,41.523809523809526,left
5,AF,1.0,Pass,Successful,"[50.38095238095237, 21.714285714285722]","[39.7142857142857, 8.38095238095238]",AF,Enter a player,50.38095238095237,21.714285714285722,39.7142857142857,8.38095238095238,left
6,AF,1.0,Shot(foot),Unsuccessful,"[15.142857142857132, 20.38095238095238]","[2.1904761904761827, 36.761904761904766]",AF,Enter a player,15.142857142857132,20.38095238095238,2.1904761904761827,36.761904761904766,left
7,AF,2.0,Set Piece,Successful,"[0.857142857142847, 0.5714285714285694]","[8.476190476190467, 8.19047619047619]",AF,Enter a player,0.857142857142847,0.5714285714285694,8.476190476190467,8.19047619047619,left
8,AF,2.0,Pass,Successful,"[10.571428571428562, 4.38095238095238]","[24.666666666666657, 23.23809523809524]",AF,Enter a player,10.571428571428562,4.38095238095238,24.666666666666657,23.23809523809524,left
9,AF,2.0,Shot(foot),Unsuccessful,"[24.09523809523808, 26.095238095238102]","[9.428571428571416, 36.19047619047619]",AF,Enter a player,24.09523809523808,26.095238095238102,9.428571428571416,36.19047619047619,left
10,AF,3.0,Tackle,Successful,"[67.52380952380952, 16.19047619047619]","[-1, -1]",AF,Enter a player,52.47619047619048,63.80952380952381,121.0,81.0,right
11,AF,3.0,Pass,Successful,"[101.23809523809524, 37.714285714285715]","[99.9047619047619, 26.47619047619048]",AF,Enter a player,18.76190476190476,42.285714285714285,20.095238095238102,53.52380952380952,right
12,AF,3.0,Shot(foot),Unsuccessful,"[99.7142857142857, 25.523809523809533]","[119.33333333333331, 38.66666666666667]",AF,Enter a player,20.285714285714306,54.47619047619047,0.6666666666666856,41.33333333333333,right
13,AF,4.0,Set Piece,Successful,"[119.9047619047619, 79.80952380952381]","[114.0, 43.80952380952381]",AF,Enter a player,0.095238095238102,0.1904761904761898,6.0,36.19047619047619,right
14,AF,4.0,Shot(head),Unsuccessful,"[113.04761904761904, 45.523809523809526]","[118.76190476190476, 39.80952380952381]",AF,Enter a player,6.952380952380963,34.476190476190474,1.2380952380952408,40.19047619047619,right
15,AF,5.0,Tackle,Successful,"[92.28571428571428, 19.80952380952381]","[-1, -1]",AF,Enter a player,27.714285714285722,60.19047619047619,121.0,81.0,right
16,AF,5.0,Shot(foot),Unsuccessful,"[97.42857142857142, 25.523809523809533]","[119.9047619047619, 43.61904761904762]",AF,Enter a player,22.571428571428584,54.47619047619047,0.095238095238102,36.38095238095238,right
17,AF,5.0,Throw-in,Successful,"[16.09523809523808, 0.1904761904761898]","[33.61904761904761, 8.76190476190476]",AF,Enter a player,103.90476190476193,79.80952380952381,86.38095238095238,71.23809523809524,right
18,AF,5.0,Pass,Successful,"[117.04761904761904, 15.61904761904762]","[105.23809523809524, 26.66666666666667]",AF,Enter a player,2.952380952380963,64.38095238095238,14.76190476190476,53.33333333333333,right
19,AF,5.0,Shot(foot),Unsuccessful,"[105.8095238095238, 27.61904761904762]","[118.19047619047618, 38.476190476190474]",AF,Enter a player,14.190476190476204,52.38095238095238,1.8095238095238244,41.523809523809526,right
