,index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
0,1,Lipscomb,0.0,Pass,Unsuccessful,"[25.238095238095227, 56.95238095238095]","[44.47619047619046, 30.47619047619048]",UCSD,25.238095238095227,56.95238095238095,44.47619047619046,30.47619047619048,left
1,3,Lipscomb,0.0,Pass,Successful,"[41.61904761904761, 28.57142857142857]","[30.571428571428562, 43.42857142857143]",Lipscomb,41.61904761904761,28.57142857142857,30.571428571428562,43.42857142857143,left
2,5,Lipscomb,0.0,Pass,Successful,"[24.476190476190467, 44.952380952380956]","[22.190476190476176, 56.57142857142857]",Lipscomb,24.476190476190467,44.952380952380956,22.190476190476176,56.57142857142857,left
3,7,Lipscomb,0.0,Shot(foot),Unsuccessful,"[22.190476190476176, 56.95238095238095]","[1.2380952380952266, 37.523809523809526]",Lipscomb,22.190476190476176,56.95238095238095,1.2380952380952266,37.523809523809526,left
4,9,Lipscomb,1.0,2nd Ball,Successful,"[104.28571428571428, 47.80952380952381]","[81.8095238095238, 57.714285714285715]",Opponent,38.190476190476204,22.285714285714285,-1,-1,right
5,11,Lipscomb,1.0,Pass,Successful,"[81.8095238095238, 59.23809523809524]","[103.52380952380952, 57.142857142857146]",Lipscomb,38.190476190476204,20.76190476190476,16.47619047619048,22.857142857142854,right
6,13,Lipscomb,1.0,Pass,Successful,"[103.9047619047619, 49.333333333333336]","[105.23809523809524, 27.23809523809524]",Lipscomb,16.095238095238102,30.666666666666664,14.76190476190476,52.76190476190476,right
7,15,Lipscomb,1.0,Tackle,Successful,"[105.42857142857142, 27.80952380952381]","[95.9047619047619, 38.285714285714285]",UCSD,14.571428571428584,52.19047619047619,24.095238095238102,41.714285714285715,right
8,17,Lipscomb,1.0,Shot(foot),Unsuccessful,"[93.8095238095238, 40.761904761904766]","[119.9047619047619, 45.333333333333336]",Lipscomb,26.190476190476204,39.238095238095234,0.095238095238102,34.666666666666664,right
9,19,Lipscomb,2.0,2nd Ball,Successful,"[49.23809523809522, 30.47619047619048]","[62.95238095238094, 23.61904761904762]",Lipscomb,70.76190476190479,49.52380952380952,57.04761904761906,56.38095238095238,right
10,21,Lipscomb,2.0,Pass,Successful,"[77.42857142857142, 23.04761904761905]","[92.28571428571428, 5.714285714285722]",Lipscomb,42.571428571428584,56.95238095238095,27.714285714285722,74.28571428571428,right
11,23,Lipscomb,2.0,Shot(foot),Unsuccessful,"[104.66666666666666, 20.19047619047619]","[114.95238095238093, 32.38095238095238]",Lipscomb,15.333333333333343,59.80952380952381,5.047619047619065,47.61904761904762,right
12,25,Lipscomb,3.0,Tackle,Successful,"[86.38095238095238, 38.66666666666667]","[-1, -1]",Lipscomb,33.61904761904762,41.33333333333333,121.0,81.0,right
