index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player,startX,startY,endX,endY,Side
1,Navy,0.0,2nd Ball,Successful,"[91.9047619047619, 22.095238095238102]","[-1, -1]",Navy,2.0,28.095238095238102,57.9047619047619,121.0,81.0,right
3,Navy,0.0,Tackle,Successful,"[91.33333333333331, 33.714285714285715]","[110.57142857142856, 24.0]",Navy,2.0,28.666666666666686,46.285714285714285,9.428571428571445,56.0,right
5,Navy,0.0,Shot(foot),Unsuccessful,"[110.95238095238093, 23.23809523809524]","[119.9047619047619, 48.0]",Navy,2.0,9.047619047619065,56.76190476190476,0.095238095238102,32.0,right
7,Navy,1.0,2nd Ball,Successful,"[49.23809523809522, 47.80952380952381]","[-1, -1]",Navy,23.0,70.76190476190479,32.19047619047619,121.0,81.0,right
9,Navy,1.0,Pass,Successful,"[96.85714285714286, 20.57142857142857]","[100.28571428571428, 11.61904761904762]",Navy,23.0,23.14285714285714,59.42857142857143,19.714285714285722,68.38095238095238,right
11,Navy,1.0,Shot(foot),Unsuccessful,"[100.28571428571428, 24.95238095238095]","[119.9047619047619, 37.333333333333336]",Navy,23.0,19.714285714285722,55.04761904761905,0.095238095238102,42.666666666666664,right
13,Navy,2.0,Set Piece,Successful,"[88.85714285714283, 10.666666666666671]","[111.14285714285714, 44.76190476190476]",Navy,23.0,31.142857142857167,69.33333333333333,8.857142857142861,35.23809523809524,right
15,Navy,2.0,Shot(foot),Unsuccessful,"[110.76190476190476, 44.952380952380956]","[119.33333333333331, 39.04761904761905]",Navy,23.0,9.23809523809524,35.047619047619044,0.6666666666666856,40.95238095238095,right
17,Navy,3.0,2nd Ball,Successful,"[66.38095238095238, 46.666666666666664]","[42.38095238095237, 40.952380952380956]",Navy,19.0,53.61904761904762,33.333333333333336,77.61904761904762,39.047619047619044,right
19,Navy,3.0,Pass,Successful,"[109.04761904761904, 14.095238095238102]","[94.57142857142856, 38.285714285714285]",Navy,19.0,10.952380952380963,65.9047619047619,25.428571428571445,41.714285714285715,right
21,Navy,3.0,Shot(foot),Unsuccessful,"[94.76190476190476, 38.66666666666667]","[118.95238095238093, 36.57142857142857]",Navy,19.0,25.23809523809524,41.33333333333333,1.0476190476190652,43.42857142857143,right
23,Navy,4.0,2nd Ball,Successful,"[8.857142857142847, 43.23809523809524]","[8.476190476190467, 67.42857142857143]",Navy,2.0,8.857142857142847,43.23809523809524,8.476190476190467,67.42857142857143,left
25,Navy,4.0,Pass,Successful,"[27.33333333333332, 44.57142857142857]","[24.857142857142847, 52.952380952380956]",Navy,2.0,27.33333333333332,44.57142857142857,24.857142857142847,52.952380952380956,left
27,Navy,4.0,Shot(foot),Unsuccessful,"[26.571428571428562, 52.952380952380956]","[2.5714285714285623, 32.0]",Navy,2.0,26.571428571428562,52.952380952380956,2.5714285714285623,32.0,left
29,Navy,5.0,Pass,Unsuccessful,"[22.952380952380942, 29.33333333333333]","[42.57142857142856, 25.904761904761912]",UCSD,6.0,22.952380952380942,29.33333333333333,42.57142857142856,25.904761904761912,left
31,Navy,5.0,Pass,Successful,"[40.28571428571427, 21.904761904761912]","[29.999999999999993, 32.19047619047619]",Navy,6.0,40.28571428571427,21.904761904761912,29.999999999999993,32.19047619047619,left
33,Navy,5.0,Shot(foot),Unsuccessful,"[29.999999999999993, 35.23809523809524]","[21.619047619047606, 34.85714285714286]",Navy,6.0,29.999999999999993,35.23809523809524,21.619047619047606,34.85714285714286,left
35,Navy,6.0,Tackle,Successful,"[38.38095238095237, 19.42857142857143]","[-1, -1]",Navy,31.0,38.38095238095237,19.42857142857143,-1.0,-1.0,left
37,Navy,6.0,Shot(foot),Unsuccessful,"[20.476190476190467, 24.38095238095238]","[13.619047619047606, 28.57142857142857]",Navy,31.0,20.476190476190467,24.38095238095238,13.619047619047606,28.57142857142857,left
39,Navy,7.0,Tackle,Successful,"[52.66666666666665, 15.80952380952381]","[-1, -1]",Navy,11.0,52.66666666666665,15.80952380952381,-1.0,-1.0,left
41,Navy,7.0,Pass,Successful,"[37.61904761904761, 49.142857142857146]","[33.8095238095238, 26.85714285714286]",Navy,11.0,37.61904761904761,49.142857142857146,33.8095238095238,26.85714285714286,left
43,Navy,7.0,Shot(foot),Unsuccessful,"[34.57142857142856, 26.47619047619048]","[1.0476190476190368, 35.23809523809524]",Navy,11.0,34.57142857142856,26.47619047619048,1.0476190476190368,35.23809523809524,left
45,Navy,8.0,Pass,Successful,"[114.76190476190476, 43.04761904761905]","[105.23809523809524, 29.14285714285714]",Navy,11.0,114.76190476190476,43.04761904761905,105.23809523809524,29.14285714285714,left
47,Navy,8.0,Pass,Successful,"[24.666666666666657, 37.523809523809526]","[14.571428571428562, 26.85714285714286]",Navy,11.0,24.666666666666657,37.523809523809526,14.571428571428562,26.85714285714286,left
49,Navy,8.0,Shot(foot),Unsuccessful,"[10.761904761904752, 31.61904761904762]","[1.4285714285714164, 37.904761904761905]",Navy,11.0,10.761904761904752,31.61904761904762,1.4285714285714164,37.904761904761905,left
51,Navy,9.0,Throw-in,Unsuccessful,"[34.38095238095237, 79.61904761904762]","[60.28571428571427, 72.38095238095238]",UCSD,12.0,34.38095238095237,79.61904761904762,60.28571428571427,72.38095238095238,left
