index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,startX,startY,endX,endY,Side
1,Santa Clara,0.0,Set Piece,Successful,"[49.23809523809522, 58.857142857142854]","[33.04761904761903, 73.52380952380952]",Opponent,49.23809523809522,58.857142857142854,33.04761904761903,73.52380952380952,left
3,Santa Clara,0.0,Pass,Successful,"[36.28571428571427, 72.19047619047619]","[15.333333333333321, 75.61904761904762]",Opponent,36.28571428571427,72.19047619047619,15.333333333333321,75.61904761904762,left
5,Santa Clara,0.0,Pass,Unsuccessful,"[22.761904761904752, 57.904761904761905]","[3.904761904761891, 52.76190476190476]",Opponent,22.761904761904752,57.904761904761905,3.904761904761891,52.76190476190476,left
7,Santa Clara,0.0,Tackle,Successful,"[2.952380952380942, 52.38095238095238]","[14.380952380952372, 37.714285714285715]",UCSD,2.952380952380942,52.38095238095238,14.380952380952372,37.714285714285715,left
9,Santa Clara,0.0,Shot(foot),Unsuccessful,"[13.619047619047606, 37.714285714285715]","[0.857142857142847, 36.38095238095238]",Opponent,13.619047619047606,37.714285714285715,0.857142857142847,36.38095238095238,left
11,Santa Clara,1.0,Pass,Unsuccessful,"[52.47619047619046, 45.142857142857146]","[56.47619047619046, 33.142857142857146]",UCSD,67.52380952380955,34.857142857142854,63.52380952380954,46.857142857142854,right
13,Santa Clara,1.0,Pass,Successful,"[83.7142857142857, 30.66666666666667]","[93.61904761904762, 44.952380952380956]",Opponent,36.285714285714306,49.33333333333333,26.38095238095238,35.047619047619044,right
15,Santa Clara,1.0,Tackle,Successful,"[101.04761904761904, 48.952380952380956]","[99.9047619047619, 38.285714285714285]",UCSD,18.952380952380963,31.047619047619044,20.095238095238102,41.714285714285715,right
17,Santa Clara,1.0,Shot(foot),Unsuccessful,"[100.28571428571428, 39.61904761904762]","[113.42857142857142, 41.523809523809526]",Opponent,19.714285714285722,40.38095238095238,6.571428571428584,38.476190476190474,right
19,Santa Clara,2.0,Tackle,Successful,"[81.04761904761904, 45.714285714285715]","[81.04761904761904, 45.714285714285715]",Opponent,38.95238095238096,34.285714285714285,38.95238095238096,34.285714285714285,right
21,Santa Clara,2.0,Pass,Successful,"[85.42857142857142, 48.19047619047619]","[87.52380952380952, 36.19047619047619]",Opponent,34.571428571428584,31.80952380952381,32.47619047619048,43.80952380952381,right
23,Santa Clara,2.0,Shot(foot),Unsuccessful,"[91.14285714285714, 33.142857142857146]","[118.95238095238093, 43.61904761904762]",Opponent,28.85714285714286,46.857142857142854,1.0476190476190652,36.38095238095238,right
25,Santa Clara,3.0,Set Piece,Successful,"[119.7142857142857, 79.42857142857143]","[109.61904761904762, 74.0952380952381]",Opponent,0.285714285714306,0.5714285714285694,10.38095238095238,5.904761904761898,right
27,Santa Clara,3.0,Pass,Successful,"[108.85714285714286, 73.9047619047619]","[87.14285714285714, 61.714285714285715]",Opponent,11.142857142857139,6.095238095238102,32.85714285714286,18.285714285714285,right
29,Santa Clara,3.0,Pass,Successful,"[86.19047619047618, 62.857142857142854]","[103.9047619047619, 73.9047619047619]",Opponent,33.809523809523824,17.142857142857146,16.095238095238102,6.095238095238102,right
31,Santa Clara,3.0,Pass,Successful,"[99.7142857142857, 72.76190476190476]","[106.38095238095238, 45.142857142857146]",Opponent,20.285714285714306,7.238095238095241,13.61904761904762,34.857142857142854,right
33,Santa Clara,3.0,Pass,Unsuccessful,"[106.57142857142856, 44.19047619047619]","[113.23809523809524, 34.095238095238095]",Opponent,13.428571428571445,35.80952380952381,6.761904761904759,45.904761904761905,right
35,Santa Clara,3.0,Tackle,Successful,"[112.85714285714286, 34.095238095238095]","[93.8095238095238, 31.04761904761905]",UCSD,7.142857142857139,45.904761904761905,26.190476190476204,48.95238095238095,right
37,Santa Clara,3.0,Shot(foot),Unsuccessful,"[90.38095238095238, 32.952380952380956]","[119.14285714285714, 47.04761904761905]",Opponent,29.61904761904762,47.047619047619044,0.8571428571428612,32.95238095238095,right
