index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player,startX,startY,endX,endY,Side
1,Cal Poly,0.0,Pass,Unsuccessful,"[66.19047619047618, 26.47619047619048]","[86.95238095238093, 38.66666666666667]",UCSD,17.0,66.19047619047618,26.47619047619048,86.95238095238093,38.66666666666667,left
3,Cal Poly,0.0,Pass,Successful,"[33.99999999999999, 47.42857142857143]","[30.190476190476183, 37.714285714285715]",Opponent,17.0,33.99999999999999,47.42857142857143,30.190476190476183,37.714285714285715,left
5,Cal Poly,0.0,Shot(foot),Unsuccessful,"[24.666666666666657, 32.19047619047619]","[3.1428571428571317, 35.80952380952381]",Opponent,17.0,24.666666666666657,32.19047619047619,3.1428571428571317,35.80952380952381,left
7,Cal Poly,1.0,Pass,Unsuccessful,"[34.38095238095237, 67.42857142857143]","[46.95238095238094, 53.333333333333336]",UCSD,19.0,34.38095238095237,67.42857142857143,46.95238095238094,53.333333333333336,left
9,Cal Poly,1.0,Pass,Successful,"[28.47619047619046, 52.952380952380956]","[35.14285714285713, 31.61904761904762]",Opponent,19.0,28.47619047619046,52.952380952380956,35.14285714285713,31.61904761904762,left
11,Cal Poly,1.0,Shot(foot),Unsuccessful,"[27.14285714285713, 33.904761904761905]","[17.999999999999986, 33.142857142857146]",Opponent,19.0,27.14285714285713,33.904761904761905,17.999999999999986,33.142857142857146,left
13,Cal Poly,2.0,Tackle,Successful,"[32.66666666666665, 13.523809523809533]","[-1, -1]",Opponent,8.0,32.66666666666665,13.523809523809533,-1.0,-1.0,left
15,Cal Poly,2.0,Pass,Successful,"[11.523809523809511, 14.285714285714292]","[10.571428571428562, 32.761904761904766]",Opponent,8.0,11.523809523809511,14.285714285714292,10.571428571428562,32.761904761904766,left
17,Cal Poly,2.0,Shot(foot),Unsuccessful,"[10.571428571428562, 33.714285714285715]","[0.857142857142847, 46.095238095238095]",Opponent,8.0,10.571428571428562,33.714285714285715,0.857142857142847,46.095238095238095,left
19,Cal Poly,3.0,Pass,Successful,"[38.19047619047618, 28.95238095238095]","[49.23809523809522, 12.952380952380949]",Opponent,-1.0,38.19047619047618,28.95238095238095,49.23809523809522,12.952380952380949,left
21,Cal Poly,3.0,Pass,Successful,"[18.571428571428562, 9.523809523809533]","[26.380952380952372, 13.714285714285722]",Opponent,-1.0,18.571428571428562,9.523809523809533,26.380952380952372,13.714285714285722,left
23,Cal Poly,3.0,Shot(foot),Unsuccessful,"[24.28571428571427, 21.33333333333333]","[10.761904761904752, 31.23809523809524]",Opponent,-1.0,24.28571428571427,21.33333333333333,10.761904761904752,31.23809523809524,left
25,Cal Poly,4.0,Throw-in,Successful,"[91.52380952380952, 1.142857142857153]","[106.38095238095238, 30.285714285714292]",Opponent,-1.0,28.47619047619048,78.85714285714285,13.61904761904762,49.71428571428571,right
27,Cal Poly,4.0,Pass,Successful,"[106.76190476190476, 31.04761904761905]","[109.8095238095238, 42.285714285714285]",Opponent,-1.0,13.23809523809524,48.95238095238095,10.190476190476204,37.714285714285715,right
29,Cal Poly,4.0,Shot(foot),Unsuccessful,"[110.38095238095238, 43.80952380952381]","[118.95238095238093, 40.0]",Opponent,-1.0,9.61904761904762,36.19047619047619,1.0476190476190652,40.0,right
31,Cal Poly,5.0,Tackle,Successful,"[66.57142857142856, 14.666666666666671]","[-1, -1]",Opponent,23.0,53.428571428571445,65.33333333333333,121.0,81.0,right
33,Cal Poly,5.0,Pass,Successful,"[66.76190476190476, 74.0952380952381]","[94.57142857142856, 64.95238095238095]",Opponent,23.0,53.23809523809524,5.904761904761898,25.428571428571445,15.047619047619051,right
35,Cal Poly,5.0,Shot(foot),Unsuccessful,"[104.47619047619045, 56.38095238095238]","[119.9047619047619, 44.76190476190476]",Opponent,23.0,15.523809523809547,23.61904761904762,0.095238095238102,35.23809523809524,right
37,Cal Poly,6.0,Pass,Unsuccessful,"[84.47619047619045, 28.38095238095238]","[34.38095238095237, 18.47619047619048]",UCSD,2.0,35.52380952380955,51.61904761904762,85.61904761904762,61.52380952380952,right
39,Cal Poly,6.0,Pass,Successful,"[93.42857142857142, 10.857142857142861]","[104.66666666666666, 34.476190476190474]",Opponent,2.0,26.571428571428584,69.14285714285714,15.333333333333343,45.523809523809526,right
41,Cal Poly,6.0,Shot(foot),Unsuccessful,"[105.42857142857142, 35.42857142857143]","[118.0, 38.285714285714285]",Opponent,2.0,14.571428571428584,44.57142857142857,2.0,41.714285714285715,right
