index,Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player,startX,startY,endX,endY,Side
0,Irvine,0.0,Pass,Unsuccessful,"[45.99999999999999, 29.523809523809533]","[63.52380952380951, 51.23809523809524]",UCSD,6.0,45.99999999999999,29.523809523809533,63.52380952380951,51.23809523809524,left
2,Irvine,0.0,Pass,Successful,"[63.7142857142857, 51.80952380952381]","[47.90476190476189, 43.23809523809524]",Opponent,6.0,63.7142857142857,51.80952380952381,47.90476190476189,43.23809523809524,left
4,Irvine,0.0,Shot(foot),Unsuccessful,"[20.666666666666657, 49.904761904761905]","[1.0476190476190368, 40.0]",Opponent,6.0,20.666666666666657,49.904761904761905,1.0476190476190368,40.0,left
6,Irvine,1.0,Tackle,Successful,"[52.66666666666665, 6.857142857142861]","[-1, -1]",Opponent,8.0,52.66666666666665,6.857142857142861,-1.0,-1.0,left
8,Irvine,1.0,Pass,Successful,"[45.23809523809522, 12.19047619047619]","[43.33333333333332, 24.95238095238095]",Opponent,8.0,45.23809523809522,12.19047619047619,43.33333333333332,24.95238095238095,left
10,Irvine,1.0,Shot(foot),Unsuccessful,"[29.999999999999993, 37.714285714285715]","[0.6666666666666572, 45.333333333333336]",Opponent,8.0,29.999999999999993,37.714285714285715,0.6666666666666572,45.333333333333336,left
12,Irvine,2.0,Pass,Unsuccessful,"[15.523809523809511, 53.904761904761905]","[37.04761904761903, 32.19047619047619]",UCSD,7.0,15.523809523809511,53.904761904761905,37.04761904761903,32.19047619047619,left
14,Irvine,2.0,Shot(foot),Unsuccessful,"[31.52380952380951, 31.42857142857143]","[0.4761904761904674, 34.85714285714286]",Opponent,7.0,31.52380952380951,31.42857142857143,0.4761904761904674,34.85714285714286,left
16,Irvine,3.0,Pass,Unsuccessful,"[0.4761904761904674, 79.61904761904762]","[5.999999999999986, 35.04761904761905]",Opponent,-1.0,0.4761904761904674,79.61904761904762,5.999999999999986,35.04761904761905,left
18,Irvine,3.0,Tackle,Successful,"[7.3333333333333215, 34.66666666666667]","[20.09523809523808, 29.714285714285722]",UCSD,-1.0,7.3333333333333215,34.66666666666667,20.09523809523808,29.714285714285722,left
20,Irvine,3.0,Shot(foot),Unsuccessful,"[21.238095238095227, 30.85714285714286]","[0.2857142857142776, 34.85714285714286]",Opponent,-1.0,21.238095238095227,30.85714285714286,0.2857142857142776,34.85714285714286,left
22,Irvine,3.0,Pass,Successful,"[25.809523809523796, 36.0]","[12.666666666666657, 35.61904761904762]",Opponent,-1.0,25.809523809523796,36.0,12.666666666666657,35.61904761904762,left
24,Irvine,3.0,Shot(foot),Successful,"[11.523809523809511, 35.23809523809524]","[1.0476190476190368, 36.761904761904766]",Opponent,-1.0,11.523809523809511,35.23809523809524,1.0476190476190368,36.761904761904766,left
26,Irvine,4.0,Tackle,Successful,"[29.809523809523803, 33.523809523809526]","[-1, -1]",Opponent,8.0,29.809523809523803,33.523809523809526,-1.0,-1.0,left
28,Irvine,4.0,Pass,Successful,"[21.428571428571416, 39.61904761904762]","[12.285714285714278, 50.85714285714286]",Opponent,8.0,21.428571428571416,39.61904761904762,12.285714285714278,50.85714285714286,left
30,Irvine,4.0,Shot(foot),Unsuccessful,"[7.3333333333333215, 49.333333333333336]","[0.0952380952380878, 35.42857142857143]",Opponent,8.0,7.3333333333333215,49.333333333333336,0.0952380952380878,35.42857142857143,left
32,Irvine,5.0,Throw-in,Successful,"[15.142857142857132, 79.80952380952381]","[6.190476190476183, 58.095238095238095]",Opponent,8.0,15.142857142857132,79.80952380952381,6.190476190476183,58.095238095238095,left
34,Irvine,5.0,Pass,Successful,"[31.33333333333332, 36.761904761904766]","[26.380952380952372, 44.0]",Opponent,-1.0,31.33333333333332,36.761904761904766,26.380952380952372,44.0,left
36,Irvine,5.0,Shot(foot),Unsuccessful,"[23.90476190476189, 44.38095238095238]","[18.380952380952372, 41.142857142857146]",Opponent,-1.0,23.90476190476189,44.38095238095238,18.380952380952372,41.142857142857146,left
38,Irvine,6.0,Pass,Successful,"[0.4761904761904674, 0.3809523809523796]","[7.523809523809511, 39.42857142857143]",Opponent,-1.0,0.4761904761904674,0.3809523809523796,7.523809523809511,39.42857142857143,left
40,Irvine,6.0,Shot(head),Unsuccessful,"[6.952380952380942, 40.57142857142857]","[0.2857142857142776, 36.57142857142857]",Opponent,-1.0,6.952380952380942,40.57142857142857,0.2857142857142776,36.57142857142857,left
42,Irvine,7.0,Pass,Unsuccessful,"[87.9047619047619, 21.14285714285714]","[102.95238095238093, 37.523809523809526]",UCSD,8.0,87.9047619047619,21.14285714285714,102.95238095238093,37.523809523809526,left
44,Irvine,7.0,Pass,Unsuccessful,"[6.952380952380942, 21.33333333333333]","[23.7142857142857, 30.285714285714292]",UCSD,10.0,6.952380952380942,21.33333333333333,23.7142857142857,30.285714285714292,left
46,Irvine,7.0,Shot(head),Successful,"[22.190476190476176, 31.04761904761905]","[1.0476190476190368, 36.19047619047619]",Opponent,10.0,22.190476190476176,31.04761904761905,1.0476190476190368,36.19047619047619,left
48,Irvine,8.0,Set Piece,Unsuccessful,"[84.09523809523807, 29.904761904761912]","[106.0, 44.952380952380956]",Opponent,-1.0,35.904761904761926,50.09523809523809,14.0,35.047619047619044,right
50,Irvine,8.0,Tackle,Successful,"[106.95238095238093, 45.142857142857146]","[91.52380952380952, 48.38095238095238]",UCSD,-1.0,13.047619047619065,34.857142857142854,28.47619047619048,31.61904761904762,right
52,Irvine,8.0,Shot(foot),Unsuccessful,"[92.47619047619048, 47.42857142857143]","[104.47619047619045, 43.23809523809524]",Opponent,-1.0,27.52380952380952,32.57142857142857,15.523809523809547,36.76190476190476,right
54,Irvine,9.0,Set Piece,Unsuccessful,"[119.9047619047619, 0.5714285714285694]","[114.95238095238093, 37.714285714285715]",Opponent,-1.0,0.095238095238102,79.42857142857143,5.047619047619065,42.285714285714285,right
56,Irvine,9.0,Tackle,Successful,"[97.8095238095238, 50.095238095238095]","[-1, -1]",Opponent,7.0,22.190476190476204,29.904761904761905,121.0,81.0,right
58,Irvine,9.0,Shot(foot),Unsuccessful,"[106.19047619047618, 37.142857142857146]","[119.7142857142857, 34.85714285714286]",Opponent,7.0,13.809523809523824,42.857142857142854,0.285714285714306,45.14285714285714,right
60,Irvine,10.0,Pass,Unsuccessful,"[9.619047619047606, 65.33333333333333]","[9.238095238095227, 55.80952380952381]",UCSD,10.0,110.3809523809524,14.666666666666671,110.76190476190477,24.19047619047619,right
62,Irvine,10.0,Pass,Successful,"[106.38095238095238, 64.57142857142857]","[106.0, 51.42857142857143]",Opponent,10.0,13.61904761904762,15.42857142857143,14.0,28.57142857142857,right
64,Irvine,10.0,Shot(foot),Unsuccessful,"[106.0, 50.476190476190474]","[113.23809523809524, 44.0]",Opponent,10.0,14.0,29.523809523809526,6.761904761904759,36.0,right
66,Irvine,10.0,Tackle,Successful,"[117.8095238095238, 50.476190476190474]","[118.95238095238093, 49.523809523809526]",Opponent,10.0,2.190476190476204,29.523809523809526,1.0476190476190652,30.476190476190474,right
68,Irvine,10.0,Shot(foot),Unsuccessful,"[115.52380952380952, 46.285714285714285]","[119.33333333333331, 34.095238095238095]",Opponent,10.0,4.476190476190482,33.714285714285715,0.6666666666666856,45.904761904761905,right
