Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,20,CSU Bakersfield Roadrunners,4-1-4-1 (0.0%),0,0.05,2,0,0,69,54,78.26,61.87,35,4,14,17,20,5,14,1,63,37,58.73,1,0,0,5,2,40,1,0,0,0,0,0,3,0,0,0,0,0,4,2,50,1,1,3,1,2,3,18,4,22.22,0,0,0,0,0,19,19,100,23,12,52.17,1,1,100,8,3,5,1,0,34,24,70.59,12,12,100,17,13,76.47,18,12,66.67,15,11,73.33,19,15,78.95,0,0,0,9,7,77.78,2,13.51,2.56,26.09,23.58,22.49,1.27
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,20,Cal Poly Mustangs,4-4-2 (100.0%),0,0,0,0,0,27,12,44.44,38.13,30,5,17,8,22,9,13,0,63,25,39.68,0,0,0,4,0,0,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,0,1,5,0,2,1,19,0,0,0,0,0,0,0,18,14,77.78,23,11,47.83,1,1,100,2,3,6,2,0,18,8,44.44,0,0,0,8,4,50,5,2,40,6,3,50,13,4,30.77,1,0,0,7,4,57.14,1,8.58,1.17,18.52,0,24.13,7.83
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,26,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),1,0.12,4,1,25,105,80,76.19,60.16,38,2,10,26,24,7,13,4,73,37,50.68,3,0,0,16,4,25,0,0,0,0,0,0,2,0,0,0,0,0,8,1,12.5,1,2,11,2,7,5,25,7,28,0,2,2,2,100,21,14,66.67,13,9,69.23,2,1,50,8,1,2,0,0,48,37,77.08,9,9,100,38,27,71.05,14,10,71.43,21,16,76.19,31,28,90.32,0,0,0,10,9,90,2,15.31,2.92,13.33,22.73,21.93,3.58
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,26,UC Riverside Highlanders,3-4-1-2 (0.0%),2,0.18,2,2,100,55,35,63.64,39.84,30,5,12,13,28,19,7,2,73,35,47.95,1,1,100,4,1,25,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,1,21,7,33.33,0,1,1,1,100,25,18,72,13,4,30.77,3,2,66.67,14,10,3,1,0,29,14,48.28,7,6,85.71,14,10,71.43,17,6,35.29,12,7,58.33,17,9,52.94,0,0,0,7,6,85.71,1,12.11,1.57,30.91,24.82,25.59,8.75
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,22,CSU Bakersfield Roadrunners,4-2-3-1 (0.0%),0,0.95,3,0,0,103,85,82.52,51.57,32,6,14,12,21,11,8,2,45,21,46.67,1,0,0,7,1,14.29,0,0,0,1,0,0,2,0,0,1,0,0,4,2,50,3,1,6,1,2,3,17,9,52.94,2,0,0,0,0,16,7,43.75,9,3,33.33,0,0,0,12,4,1,0,0,44,32,72.73,13,13,100,37,33,89.19,13,7,53.85,12,9,75,23,19,82.61,0,0,0,6,6,100,1,16.27,3.81,12.62,15.03,22.38,37
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,22,UC Davis Aggies,4-4-2 (35.63%),0,0.13,3,0,0,76,57,75,48.43,23,4,6,13,15,7,4,4,45,23,51.11,3,0,0,7,3,42.86,0,0,0,1,0,0,0,0,0,0,0,0,9,4,44.44,1,1,5,0,5,0,16,9,56.25,0,0,0,0,0,17,8,47.06,9,5,55.56,1,0,0,3,4,6,0,0,39,27,69.23,9,9,100,21,17,80.95,11,8,72.73,10,7,70,17,14,82.35,0,0,0,2,2,100,3,12.78,2.92,14.47,25.5,19.74,12
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.15,3,1,33.33,122,102,83.61,65.26,32,2,18,12,24,12,12,0,58,38,65.52,1,0,0,5,1,20,0,0,0,1,1,100,1,0,0,0,0,0,2,1,50,1,0,4,2,1,7,16,12,75,0,1,3,3,100,19,16,84.21,13,3,23.08,2,1,50,6,2,3,1,0,45,33,73.33,12,12,100,52,49,94.23,7,6,85.71,13,10,76.92,21,17,80.95,0,0,0,3,3,100,4,14.11,3.49,5.74,17.5,18.69,8.33
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),1,0.71,5,3,60,84,68,80.95,34.74,24,1,11,12,26,10,15,1,58,18,31.03,3,1,33.33,13,3,23.08,2,1,50,0,0,0,1,1,100,0,0,0,9,3,33.33,3,2,12,2,7,7,19,3,15.79,1,0,1,1,100,16,4,25,13,8,61.54,2,0,0,12,1,9,2,0,39,31,79.49,10,8,80,26,21,80.77,13,8,61.54,14,13,92.86,18,16,88.89,1,1,100,3,3,100,1,18.24,3.11,15.48,18.11,20.47,6.38
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (0.0%),1,0.26,2,1,50,17,12,70.59,30.67,21,7,5,9,14,9,2,3,59,24,40.68,1,0,0,4,2,50,1,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,1,3,1,0,1,23,7,30.43,0,0,0,0,0,23,15,65.22,9,1,11.11,2,2,100,10,10,5,0,0,8,4,50,2,2,100,5,4,80,3,1,33.33,4,2,50,5,4,80,0,0,0,3,3,100,2,7.18,0.85,17.65,18.03,19.08,5.33
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,17,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.25,6,0,0,76,64,84.21,69.33,18,3,5,10,8,3,2,3,59,34,57.63,5,0,0,8,3,37.5,0,0,0,2,0,0,1,0,0,0,0,0,5,2,40,2,0,6,0,5,3,23,8,34.78,0,1,1,1,100,23,16,69.57,9,7,77.78,0,0,0,3,2,4,1,0,28,24,85.71,12,12,100,26,23,88.46,8,7,87.5,12,11,91.67,16,13,81.25,0,0,0,4,4,100,1,14.21,3.45,10.53,23.27,20.18,1.57
2023-10-08,CSU Bakersfield Roadrunners - Cal State Fullerton Titans 1:2,United States. NCAA D1 Big West,22,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),0,0.42,3,2,66.67,64,48,75,44.41,31,2,16,13,20,11,8,1,65,35,53.85,2,1,50,5,2,40,0,0,0,1,0,0,2,1,50,0,0,0,3,2,66.67,1,1,4,0,2,3,21,8,38.1,0,0,2,2,100,23,17,73.91,14,7,50,4,2,50,8,4,3,0,0,31,21,67.74,4,4,100,15,13,86.67,10,5,50,13,9,69.23,19,11,57.89,1,1,100,4,4,100,4,14.31,2.67,15.63,20.03,22.91,5.86
2023-10-08,CSU Bakersfield Roadrunners - Cal State Fullerton Titans 1:2,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,3-5-2 (100.0%),0,0.03,4,2,50,76,55,72.37,55.59,34,5,11,18,28,10,15,3,65,28,43.08,3,2,66.67,9,2,22.22,0,0,0,4,1,25,2,0,0,0,0,0,4,2,50,2,1,7,0,3,2,23,6,26.09,0,0,2,2,100,21,13,61.9,14,6,42.86,0,0,0,7,2,6,0,0,40,25,62.5,12,11,91.67,19,15,78.95,10,6,60,19,11,57.89,17,15,88.24,0,0,0,8,8,100,2,13.58,2.62,13.16,26.21,19.76,4.4
2023-10-04,CSU Bakersfield Roadrunners - UC Irvine Anteaters 2:0,United States. NCAA D1 Big West,22,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),1,0.82,3,1,33.33,39,28,71.79,35.76,24,5,6,13,13,6,4,3,55,23,41.82,1,0,0,12,1,8.33,0,0,0,0,0,0,1,0,0,1,1,100,5,1,20,0,1,4,3,1,6,29,10,34.48,0,0,1,1,100,12,6,50,10,5,50,0,0,0,9,4,4,0,0,13,10,76.92,5,4,80,16,12,75,9,5,55.56,7,5,71.43,12,10,83.33,0,0,0,11,11,100,3,10.03,1.39,23.08,19.89,26.99,8.57
2023-10-04,CSU Bakersfield Roadrunners - UC Irvine Anteaters 2:0,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.04,2,1,50,97,82,84.54,64.24,20,3,6,11,21,9,8,4,55,32,58.18,2,1,50,9,1,11.11,1,0,0,1,0,0,2,0,0,0,0,0,3,2,66.67,2,2,6,0,2,1,12,6,50,0,1,1,1,100,29,19,65.52,10,5,50,1,0,0,6,5,2,2,0,37,28,75.68,10,10,100,42,37,88.1,9,4,44.44,11,7,63.64,12,11,91.67,2,1,50,3,3,100,3,13.89,3.73,9.28,23.82,19.65,7.33
2023-10-01,CSUN Matadors - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,18,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),1,1.05,3,3,100,49,28,57.14,40.67,28,4,12,12,17,8,8,1,50,21,42,1,1,100,3,2,66.67,0,0,0,1,0,0,0,0,0,1,1,100,1,1,100,1,1,4,0,1,3,14,4,28.57,0,0,0,0,0,18,10,55.56,17,7,41.18,0,0,0,15,7,3,1,0,24,11,45.83,6,6,100,15,8,53.33,12,3,25,12,3,25,11,5,45.45,0,0,0,3,2,66.67,4,13.72,2.33,24.49,15.2,23.41,15.25
2023-10-01,CSUN Matadors - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,18,CSUN Matadors,4-2-3-1 (100.0%),0,0.45,4,0,0,80,61,76.25,59.33,33,2,15,16,20,9,10,1,50,28,56,1,0,0,10,3,30,0,0,0,1,0,0,2,1,50,0,0,0,4,0,0,1,0,3,1,1,5,18,8,44.44,0,1,3,3,100,14,10,71.43,17,9,52.94,2,0,0,5,2,3,0,0,32,23,71.88,11,11,100,29,22,75.86,12,8,66.67,11,7,63.64,11,9,81.82,0,0,0,9,8,88.89,0,15.36,3.48,15,18.59,23.67,5.13
2023-09-28,Sacramento State Hornets - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Big West,18,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.11,2,1,50,58,48,82.76,47.8,16,6,2,8,20,9,9,2,51,21,41.18,2,1,50,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,20,4,20,1,0,1,1,100,21,13,61.9,7,3,42.86,1,0,0,7,2,3,0,0,20,13,65,7,6,85.71,18,17,94.44,5,2,40,9,5,55.56,13,9,69.23,1,0,0,2,2,100,4,14.52,2.52,8.62,27.32,20.46,4.86
2023-09-28,Sacramento State Hornets - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Big West,18,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.82,5,1,20,64,51,79.69,52.2,21,4,8,9,16,6,8,2,51,30,58.82,1,1,100,9,2,22.22,0,0,0,2,2,100,0,0,0,0,0,0,2,0,0,0,4,7,2,1,7,21,8,38.1,0,0,1,1,100,20,16,80,7,4,57.14,3,2,66.67,2,2,3,1,0,24,15,62.5,9,9,100,19,18,94.74,10,4,40,10,6,60,16,12,75,2,1,50,5,5,100,2,14.67,2.67,15.63,16.68,23.35,5.11
2023-09-22,Santa Clara Broncos - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Non-conference matches,21,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),0,0.09,3,3,100,92,72,78.26,62.03,23,3,12,8,24,16,5,3,61,35,57.38,2,2,100,4,1,25,1,1,100,3,1,33.33,0,0,0,0,0,0,3,0,0,0,0,5,3,1,3,18,11,61.11,0,0,1,1,100,15,10,66.67,15,8,53.33,5,3,60,11,10,3,0,0,30,18,60,11,10,90.91,36,34,94.44,6,2,33.33,10,7,70,11,7,63.64,2,0,0,3,3,100,1,13.85,3.17,6.52,27.51,17.87,6.29
2023-09-22,Santa Clara Broncos - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Non-conference matches,21,Santa Clara Broncos,3-4-1-2 (100.0%),0,0.7,3,1,33.33,61,50,81.97,37.97,30,5,7,18,22,5,16,1,61,19,31.15,0,0,0,8,1,12.5,0,0,0,3,2,66.67,1,0,0,0,0,0,3,2,66.67,2,1,6,1,3,4,15,5,33.33,0,0,3,3,100,18,7,38.89,15,4,26.67,1,1,100,15,4,5,1,0,24,17,70.83,12,11,91.67,18,18,100,12,9,75,12,7,58.33,16,14,87.5,0,0,0,8,5,62.5,0,15,2.1,19.67,9.02,20.72,5.31
