Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,103,CSU Bakersfield Roadrunners,4-1-4-1 (75.22%),1,1.07,6,1,16.67,302,224,74.17,50.57,140,19,49,72,93,36,45,12,268,138,51.49,3,0,0,25,4,16,2,0,0,5,0,0,7,1,14.29,0,0,0,15,6,40,4,4,17,4,9,12,92,33,35.87,0,1,8,1,12.5,74,58,78.38,71,34,47.89,5,4,80,53,24,17,1,0,127,82,64.57,55,49,89.09,82,64,78.05,61,37,60.66,48,29,60.42,68,47,69.12,1,0,0,29,25,86.21,11,13.48,2.31,20.2,19.2,21.19,4.6
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,103,Cal Poly Mustangs,4-4-2 (100.0%),1,0.91,8,1,12.5,268,175,65.3,49.43,130,18,52,60,93,45,40,8,268,123,45.9,2,0,0,30,3,10,0,0,0,10,5,50,3,0,0,0,0,0,15,2,13.33,2,8,16,0,7,14,74,16,21.62,2,1,6,1,16.67,92,59,64.13,71,37,52.11,4,3,75,16,18,21,4,0,124,64,51.61,38,34,89.47,76,60,78.95,48,19,39.58,49,19,38.78,62,33,53.23,1,0,0,35,23,65.71,5,12.24,2.14,17.91,16.15,22.74,7.26
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,109,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),1,0.65,14,4,28.57,430,364,84.65,54.89,111,9,45,57,85,34,42,9,281,148,52.67,9,2,22.22,34,10,29.41,0,0,0,4,0,0,5,2,40,0,0,0,14,4,28.57,4,6,24,7,10,19,102,37,36.27,0,2,7,5,71.43,89,67,75.28,48,27,56.25,6,4,66.67,36,20,13,2,0,159,120,75.47,67,67,100,163,144,88.34,54,35,64.81,61,44,72.13,88,76,86.36,0,0,0,24,22,91.67,2,14.31,3.39,12.56,20.67,21.49,6.5
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,109,UC Riverside Highlanders,3-4-1-2 (21.34%),2,1.42,7,5,71.43,359,288,80.22,45.11,113,13,53,47,87,46,30,11,281,121,43.06,1,1,100,18,3,16.67,1,1,100,2,0,0,3,3,100,0,0,0,5,2,40,1,4,10,2,2,7,89,22,24.72,0,1,14,4,28.57,102,65,63.73,48,17,35.42,4,3,75,28,21,18,3,1,143,95,66.43,65,62,95.38,117,103,88.03,52,22,42.31,33,15,45.45,57,35,61.4,1,1,100,29,25,86.21,12,14.54,2.87,14.48,16.94,22.72,11.78
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,99,CSU Bakersfield Roadrunners,4-2-3-1 (68.37%),0,1.85,12,4,33.33,504,420,83.33,62.01,139,21,56,62,90,39,38,13,208,102,49.04,6,3,50,35,6,17.14,0,0,0,11,0,0,5,0,0,1,0,0,21,6,28.57,6,4,32,4,16,12,81,41,50.62,3,2,12,2,16.67,52,30,57.69,48,21,43.75,0,0,0,29,13,9,0,0,176,125,71.02,83,77,92.77,193,174,90.16,55,31,56.36,61,41,67.21,84,67,79.76,2,0,0,35,32,91.43,7,15.39,4,10.91,19.55,21.03,21.33
2023-10-19,CSU Bakersfield Roadrunners - UC Davis Aggies 0:2,United States. NCAA D1 Big West,99,UC Davis Aggies,4-4-2 (85.53%),2,1.07,12,2,16.67,281,209,74.38,37.99,99,23,30,46,76,34,31,11,208,94,45.19,7,0,0,21,8,38.1,1,0,0,1,0,0,5,1,20,0,0,0,18,7,38.89,3,4,17,1,12,11,52,22,42.31,1,0,12,4,33.33,81,40,49.38,48,23,47.92,3,1,33.33,33,27,21,1,0,117,73,62.39,38,38,100,89,72,80.9,45,25,55.56,49,31,63.27,61,43,70.49,0,0,0,11,10,90.91,11,14,2.65,16.01,21.46,21.22,13.07
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,102,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.43,7,2,28.57,520,435,83.65,58.74,120,26,59,35,84,39,40,5,213,110,51.64,2,1,50,20,3,15,1,0,0,4,2,50,4,0,0,0,0,0,11,2,18.18,2,2,17,7,5,19,60,28,46.67,0,1,12,3,25,79,49,62.03,39,15,38.46,5,2,40,37,11,17,3,0,164,116,70.73,59,54,91.53,244,230,94.26,36,16,44.44,39,28,71.79,75,45,60,0,0,0,17,13,76.47,10,16.25,4.44,6.92,17.59,19.22,6.17
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,102,UC San Diego Tritons,4-4-2 (100.0%),1,1.65,12,3,25,336,271,80.65,41.26,101,12,41,48,91,31,45,15,213,93,43.66,6,1,16.67,44,7,15.91,3,1,33.33,6,0,0,4,2,50,0,0,0,22,3,13.64,3,8,37,13,15,26,79,30,37.97,2,0,7,2,28.57,60,32,53.33,39,19,48.72,4,1,25,59,3,20,3,0,136,100,73.53,49,47,95.92,100,81,81,35,18,51.43,58,47,81.03,66,53,80.3,1,1,100,24,19,79.17,4,14.95,3.05,10.42,16.93,20.53,9.29
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,94,CSU Bakersfield Roadrunners,4-2-3-1 (50.13%),1,0.62,3,1,33.33,369,297,80.49,44.9,126,17,45,64,94,33,47,14,293,129,44.03,1,0,0,36,3,8.33,1,0,0,2,1,50,3,1,33.33,0,0,0,10,4,40,3,7,25,5,4,11,119,40,33.61,2,0,12,1,8.33,110,69,62.73,38,9,23.68,9,9,100,44,21,16,1,0,133,91,68.42,66,62,93.94,119,103,86.55,44,24,54.55,55,36,65.45,68,52,76.47,1,1,100,25,22,88,8,14.93,3.27,11.92,15.45,19.63,7.25
2023-10-12,UC Santa Barbara Gauchos - CSU Bakersfield Roadrunners 0:1,United States. NCAA D1 Big West,94,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.67,12,1,8.33,500,418,83.6,55.1,106,21,52,33,86,47,32,7,293,156,53.24,8,1,12.5,34,8,23.53,0,0,0,2,0,0,1,0,0,0,0,0,16,9,56.25,10,2,18,1,11,9,110,41,37.27,1,1,3,1,33.33,119,79,66.39,38,24,63.16,1,1,100,34,11,18,2,0,172,129,75,75,71,94.67,188,170,90.43,50,31,62,48,40,83.33,79,58,73.42,0,0,0,20,20,100,11,16.49,4.17,10,20.94,18.74,7.41
