Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0,0,0,0,0,36,30,83.33,35,16,2,8,6,13,8,5,0,68,33,48.53,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,50,1,1,4,0,2,2,27,9,33.33,0,0,0,0,0,27,18,66.67,9,4,44.44,0,0,0,5,10,1,1,0,19,16,84.21,6,5,83.33,10,9,90,6,4,66.67,7,6,85.71,9,7,77.78,0,0,0,3,2,66.67,3,9.53,1.5,16.67,0,24.3,36
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,19,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0.26,2,0,0,106,96,90.57,65,20,2,4,14,14,4,8,2,68,31,45.59,1,0,0,9,1,11.11,0,0,0,1,1,100,0,0,0,0,0,0,5,1,20,1,1,6,0,5,2,27,9,33.33,0,0,0,0,0,27,18,66.67,9,2,22.22,1,0,0,6,2,2,0,0,37,32,86.49,9,9,100,53,48,90.57,8,6,75,14,11,78.57,20,20,100,0,0,0,5,4,80,3,15.1,4.82,7.55,14.13,20.81,3
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,21,CSUN Matadors,4-2-3-1 (17.87%),0,0,0,0,0,65,51,78.46,27.59,22,8,9,5,16,11,4,1,41,20,48.78,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,13,5,38.46,0,0,1,1,100,19,11,57.89,6,4,66.67,2,2,100,6,6,3,0,0,23,16,69.57,7,6,85.71,25,22,88,6,3,50,7,5,71.43,15,9,60,0,0,0,3,2,66.67,2,20.21,2.71,9.23,0,20.23,14.86
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,21,UC Santa Barbara Gauchos,4-4-2 (100.0%),0,0.43,3,1,33.33,146,124,84.93,72.41,24,1,7,16,25,6,11,8,41,21,51.22,2,1,50,9,1,11.11,1,1,100,1,0,0,1,1,100,0,0,0,5,0,0,1,2,7,2,4,4,19,8,42.11,0,0,0,0,0,13,8,61.54,6,2,33.33,0,0,0,10,0,4,2,0,54,43,79.63,17,14,82.35,61,57,93.44,11,2,18.18,19,10,52.63,20,15,75,0,0,0,6,5,83.33,1,17.3,5.84,7.53,18.6,19.63,4.31
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0,0.58,4,3,75,84,66,78.57,52.05,20,7,5,8,15,8,5,2,48,27,56.25,2,1,50,5,3,60,3,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,2,0,7,3,2,3,16,9,56.25,1,0,0,0,0,12,9,75,9,6,66.67,1,0,0,7,6,1,0,0,32,18,56.25,11,9,81.82,32,31,96.88,11,3,27.27,13,6,46.15,17,10,58.82,1,0,0,5,5,100,2,14.12,3.36,13.1,18.22,19.32,26.5
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,0.04,1,0,0,75,55,73.33,47.95,26,6,6,14,20,11,5,4,48,18,37.5,1,0,0,5,1,20,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,4,1,2,3,12,3,25,0,0,3,3,100,16,7,43.75,9,3,33.33,0,0,0,8,1,3,0,0,29,18,62.07,8,6,75,26,23,88.46,13,7,53.85,12,7,58.33,17,10,58.82,0,0,0,7,6,85.71,2,13.68,2.78,17.33,28.13,21.52,14.4
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,18,CSUN Matadors,4-2-3-1 (74.3%),0,0.03,1,1,100,65,49,75.38,49.09,19,3,9,7,15,8,5,2,36,19,52.78,1,1,100,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,50,0,0,1,1,100,16,10,62.5,4,1,25,3,1,33.33,2,2,5,1,1,20,12,60,15,12,80,22,20,90.91,14,9,64.29,5,3,60,13,7,53.85,0,0,0,3,3,100,1,15.06,3.25,21.54,25.4,20.67,6.13
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.05,1,1,100,71,59,83.1,50.91,19,0,7,12,20,8,7,5,36,15,41.67,1,1,100,6,1,16.67,0,0,0,0,0,0,1,0,0,0,0,0,4,2,50,1,0,3,0,3,1,16,6,37.5,1,0,1,1,100,6,3,50,4,2,50,0,0,0,7,3,2,1,0,32,22,68.75,7,7,100,27,26,96.3,8,4,50,15,8,53.33,17,14,82.35,0,0,0,4,4,100,1,15.86,3.09,11.27,26.39,21.81,8
2023-10-12,UC Davis Aggies - CSUN Matadors 1:1,United States. NCAA D1 Big West,17,CSUN Matadors,4-2-3-1 (100.0%),0,0.19,1,0,0,108,84,77.78,50.57,33,5,18,10,24,15,7,2,72,39,54.17,0,0,0,6,0,0,0,0,0,2,1,50,0,0,0,0,0,0,5,2,40,1,1,5,0,2,3,34,16,47.06,0,1,2,2,100,24,15,62.5,9,7,77.78,0,0,0,10,4,1,0,0,39,26,66.67,13,13,100,40,33,82.5,12,7,58.33,10,6,60,18,10,55.56,0,0,0,5,5,100,0,16.56,4,11.11,8.76,19.11,13.4
2023-10-12,UC Davis Aggies - CSUN Matadors 1:1,United States. NCAA D1 Big West,17,UC Davis Aggies,4-2-3-1 (0.0%),1,0.09,3,2,66.67,100,78,78,49.43,29,2,8,19,25,7,15,3,73,31,42.47,2,1,50,10,3,30,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,6,1,2,3,25,9,36,0,0,0,0,0,34,18,52.94,9,2,22.22,0,0,0,13,3,1,0,0,31,23,74.19,20,18,90,37,30,81.08,12,6,50,20,11,55,16,14,87.5,1,1,100,5,5,100,1,15.69,4.17,12,23.35,21.84,8.09
