Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,105,CSUN Matadors,4-2-3-1 (100.0%),0,1.02,12,2,16.67,257,199,77.43,42.77,123,18,46,59,81,34,35,12,288,144,50,6,1,16.67,27,6,22.22,0,0,0,7,4,57.14,4,0,0,0,0,0,17,7,41.18,6,4,24,2,11,15,117,44,37.61,0,0,10,1,10,97,64,65.98,54,28,51.85,3,1,33.33,22,24,19,6,0,117,78,66.67,18,16,88.89,104,93,89.42,42,27,64.29,47,33,70.21,73,55,75.34,1,0,0,21,17,80.95,10,12.15,2.2,16.34,18.62,23.18,9.61
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,105,UC Riverside Highlanders,3-4-1-2 (100.0%),0,1.1,10,1,10,368,292,79.35,57.23,124,20,48,56,92,44,35,13,288,134,46.53,6,1,16.67,29,6,20.69,0,0,0,3,1,33.33,5,2,40,0,0,0,9,2,22.22,2,5,22,2,8,10,97,33,34.02,1,0,12,2,16.67,117,73,62.39,54,19,35.19,4,0,0,54,22,15,4,0,149,101,67.79,49,45,91.84,141,122,86.52,41,18,43.9,54,30,55.56,69,48,69.57,1,1,100,15,12,80,10,13,3.07,11.14,18.94,21.53,4.43
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,104,CSUN Matadors,4-2-3-1 (83.33%),2,0.85,9,5,55.56,250,185,74,30.57,108,27,42,39,77,50,20,7,231,107,46.32,4,1,25,26,7,26.92,0,0,0,3,1,33.33,4,1,25,0,0,0,4,1,25,0,2,9,3,1,7,81,24,29.63,0,2,13,8,61.54,85,49,57.65,44,22,50,2,2,100,26,27,14,1,0,105,67,63.81,26,24,92.31,92,75,81.52,40,20,50,34,24,70.59,63,37,58.73,0,0,0,19,15,78.95,7,14.07,2.14,16,22.65,22.15,25.94
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,104,UC Santa Barbara Gauchos,4-4-2 (90.17%),2,2.38,13,8,61.54,642,544,84.74,69.43,111,10,25,76,95,35,41,19,231,118,51.08,7,5,71.43,40,7,17.5,1,1,100,6,1,16.67,2,1,50,0,0,0,22,1,4.55,2,10,33,5,16,16,85,36,42.35,0,2,9,5,55.56,81,57,70.37,44,18,40.91,7,5,71.43,30,9,16,5,0,216,170,78.7,114,104,91.23,230,199,86.52,54,22,40.74,96,66,68.75,106,88,83.02,3,0,0,26,25,96.15,8,15.9,5.06,8.41,17.06,20.16,4.83
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,103,CSUN Matadors,4-2-3-1 (100.0%),2,2.74,15,5,33.33,413,340,82.32,55.46,108,25,36,47,99,52,34,13,249,124,49.8,8,1,12.5,30,12,40,6,2,33.33,3,0,0,0,0,0,0,0,0,14,6,42.86,6,9,31,5,9,17,79,32,40.51,1,1,7,2,28.57,77,51,66.23,48,24,50,7,6,85.71,30,19,13,1,0,150,100,66.67,45,43,95.56,171,155,90.64,57,26,45.61,59,35,59.32,74,53,71.62,1,0,0,21,20,95.24,7,13.77,3.75,13.8,19.03,20.14,10.27
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,103,UC San Diego Tritons,4-4-2 (100.0%),1,1.44,7,2,28.57,333,257,77.18,44.54,126,21,41,64,90,36,37,17,249,114,45.78,3,0,0,23,4,17.39,0,0,0,4,0,0,3,1,33.33,0,0,0,15,6,40,8,4,23,4,12,12,77,26,33.77,0,2,15,5,33.33,79,47,59.49,48,21,43.75,6,4,66.67,29,9,11,3,0,139,92,66.19,43,38,88.37,108,94,87.04,55,28,50.91,59,37,62.71,66,48,72.73,3,1,33.33,30,26,86.67,9,13.83,3.03,16.52,17.74,21.36,10.83
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,97,CSUN Matadors,4-2-3-1 (45.1%),1,0.25,6,2,33.33,282,211,74.82,36.88,130,44,47,39,87,47,29,11,213,117,54.93,5,1,20,8,2,25,1,1,100,2,2,100,3,0,0,0,0,0,7,2,28.57,0,2,12,2,4,4,56,25,44.64,0,0,14,4,28.57,87,60,68.97,29,14,48.28,6,2,33.33,52,20,12,1,1,99,63,63.64,40,35,87.5,104,88,84.62,48,28,58.33,29,18,62.07,63,34,53.97,0,0,0,15,11,73.33,13,13.55,2.82,17.02,28.4,19.96,12.12
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,97,UC Irvine Anteaters,4-2-3-1 (100.0%),0,1.73,14,4,28.57,577,488,84.58,63.12,117,14,32,71,108,34,43,31,213,87,40.85,7,2,28.57,50,14,28,0,0,0,5,0,0,2,0,0,0,0,0,26,11,42.31,9,17,52,4,18,26,87,27,31.03,2,1,6,3,50,56,31,55.36,29,11,37.93,5,2,40,40,17,13,2,0,196,149,76.02,88,82,93.18,237,215,90.72,31,16,51.61,82,66,80.49,105,88,83.81,12,3,25,17,17,100,1,16.2,5.39,5.37,19.26,19.73,5.55
2023-10-12,UC Davis Aggies - CSUN Matadors 1:1,United States. NCAA D1 Big West,94,CSUN Matadors,4-2-3-1 (100.0%),1,1.55,8,3,37.5,373,294,78.82,48.28,132,23,61,48,103,52,40,11,317,170,53.63,0,0,0,36,5,13.89,1,0,0,8,1,12.5,3,0,0,0,0,0,21,12,57.14,10,8,30,6,12,25,125,55,44,3,1,10,4,40,97,69,71.13,50,29,58,2,2,100,37,15,11,0,0,145,98,67.59,54,50,92.59,121,103,85.12,60,36,60,52,35,67.31,86,55,63.95,2,1,50,35,28,80,5,13.83,2.91,16.09,12.51,20.17,7.18
2023-10-12,UC Davis Aggies - CSUN Matadors 1:1,United States. NCAA D1 Big West,94,UC Davis Aggies,4-2-3-1 (29.33%),1,0.7,10,4,40,405,321,79.26,51.72,124,17,45,62,101,32,51,18,317,135,42.59,3,2,66.67,34,7,20.59,0,0,0,3,1,33.33,1,0,0,0,0,0,13,4,30.77,4,4,18,2,9,15,97,28,28.87,0,1,8,3,37.5,125,70,56,50,17,34,1,1,100,52,20,13,0,0,127,85,66.93,67,62,92.54,161,138,85.71,53,26,49.06,74,43,58.11,81,59,72.84,4,2,50,23,22,95.65,9,14.02,3.16,13.09,17.62,21.93,6.21
