Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.02,1,0,0,54,34,62.96,32.89,25,3,10,12,15,8,5,2,58,23,39.66,1,0,0,8,0,0,1,1,100,0,0,0,0,0,0,0,0,0,4,2,50,2,1,4,0,3,1,12,5,41.67,1,0,2,2,100,23,12,52.17,12,2,16.67,0,0,0,5,1,0,0,0,26,12,46.15,14,11,78.57,12,10,83.33,12,6,50,9,3,33.33,12,7,58.33,1,0,0,8,8,100,2,21.18,2.84,22.22,25.43,21.07,20.5
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,15,UC Davis Aggies,4-2-3-1 (100.0%),0,0.09,3,2,66.67,56,43,76.79,67.11,18,1,6,11,20,8,10,2,58,32,55.17,2,1,50,5,2,40,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,2,2,2,0,5,23,11,47.83,0,0,0,0,0,12,7,58.33,12,9,75,1,0,0,8,4,0,0,0,26,19,73.08,10,10,100,16,12,75,12,6,50,11,7,63.64,18,13,72.22,0,0,0,6,6,100,2,10.76,2.55,21.43,22.89,22.32,7.6
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.3,2,0,0,46,32,69.57,52.57,23,2,8,13,17,10,4,3,47,21,44.68,0,0,0,8,1,12.5,0,0,0,2,1,50,1,0,0,0,0,0,2,1,50,1,4,2,0,0,5,13,2,15.38,0,1,1,1,100,15,9,60,14,8,57.14,0,0,0,1,5,4,0,0,19,12,63.16,11,9,81.82,10,8,80,8,5,62.5,11,6,54.55,9,7,77.78,0,0,0,8,7,87.5,0,14.69,1.7,17.39,12.73,19.37,6.6
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),1,0.69,1,1,100,41,32,78.05,47.43,21,4,8,9,19,9,7,3,47,26,55.32,0,0,0,6,1,16.67,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,1,0,1,1,0,2,15,6,40,0,0,0,0,0,13,11,84.62,14,6,42.86,0,0,0,13,6,2,0,0,18,12,66.67,7,5,71.43,11,11,100,6,4,66.67,6,3,50,9,6,66.67,0,0,0,5,5,100,1,14.51,1.86,14.63,3.22,18.71,4.6
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.29,1,0,0,53,37,69.81,51.61,22,1,14,7,22,8,13,1,51,22,43.14,0,0,0,2,0,0,0,0,0,3,1,33.33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13,7,53.85,1,0,1,1,100,14,8,57.14,10,4,40,0,0,0,9,1,4,0,0,26,16,61.54,4,4,100,12,10,83.33,4,0,0,6,1,16.67,6,3,50,0,0,0,8,7,87.5,2,16.09,2.21,7.55,8.83,18.88,4.55
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.06,2,1,50,58,36,62.07,48.39,23,2,13,8,16,4,11,1,51,24,47.06,1,1,100,5,2,40,0,0,0,0,0,0,1,0,0,0,0,0,2,1,50,1,0,3,1,2,3,14,6,42.86,0,0,0,0,0,13,6,46.15,10,3,30,0,0,0,3,2,2,0,0,27,11,40.74,8,8,100,14,13,92.86,9,2,22.22,7,1,14.29,10,6,60,1,0,0,7,6,85.71,0,18.78,2.23,15.52,23.58,19.57,15.33
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,3-4-3 (100.0%),0,0.3,2,2,100,54,37,68.52,48.55,21,3,9,9,16,4,11,1,28,14,50,1,1,100,5,2,40,0,0,0,1,0,0,0,0,0,0,0,0,3,3,100,3,1,5,1,3,5,6,1,16.67,0,0,0,0,0,4,3,75,10,6,60,0,0,0,2,0,1,0,0,20,11,55,8,7,87.5,13,9,69.23,9,4,44.44,7,4,57.14,12,9,75,0,0,0,6,4,66.67,1,16.45,2.84,16.67,19.73,20,18
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0,0,0,0,63,48,76.19,51.45,23,7,9,7,15,6,7,2,28,13,46.43,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,1,25,1,0,2,2,100,6,5,83.33,10,4,40,0,0,0,7,6,0,0,0,20,13,65,10,10,100,20,15,75,7,2,28.57,3,0,0,12,4,33.33,1,0,0,4,4,100,0,18.11,3.94,11.11,0,19.12,12
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.14,3,0,0,42,25,59.52,48.47,18,4,5,9,20,8,10,2,40,23,57.5,2,0,0,6,2,33.33,0,0,0,2,1,50,1,0,0,0,0,0,2,0,0,0,1,4,0,1,1,8,3,37.5,0,0,0,0,0,11,7,63.64,15,8,53.33,0,0,0,7,2,2,0,0,20,9,45,8,6,75,9,7,77.78,12,5,41.67,8,3,37.5,11,7,63.64,0,0,0,4,4,100,1,10.42,1.68,28.57,20.06,27.58,10
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-4-2 (100.0%),0,0.33,2,0,0,72,52,72.22,51.53,26,6,11,9,17,6,8,3,40,16,40,1,0,0,5,2,40,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,2,0,4,0,3,1,11,4,36.36,1,0,0,0,0,8,5,62.5,15,6,40,1,1,100,8,4,1,0,0,27,19,70.37,11,7,63.64,26,22,84.62,14,8,57.14,10,6,60,23,13,56.52,0,0,0,7,7,100,5,16.8,2.88,19.44,14.19,21.29,7
