Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,96,Cal Poly Mustangs,4-4-2 (88.82%),0,0.97,10,1,10,292,204,69.86,43.53,129,21,41,67,93,42,34,17,302,137,45.36,4,1,25,41,4,9.76,4,3,75,10,3,30,1,0,0,0,0,0,19,6,31.58,7,9,32,5,11,18,75,31,41.33,1,1,11,6,54.55,107,62,57.94,75,27,36,3,1,33.33,32,27,7,1,0,134,79,58.96,50,46,92,75,58,77.33,56,25,44.64,61,30,49.18,70,53,75.71,6,1,16.67,36,33,91.67,12,14.82,2.3,19.18,17.03,22.45,7.26
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,96,UC Davis Aggies,4-2-3-1 (63.24%),1,1.42,11,6,54.55,308,226,73.38,56.47,123,26,38,59,95,48,32,15,302,147,48.68,7,3,42.86,31,6,19.35,1,0,0,5,1,20,0,1,0,0,0,0,18,4,22.22,5,6,22,8,8,18,107,45,42.06,0,0,10,1,10,75,44,58.67,75,41,54.67,6,3,50,44,34,9,0,0,132,91,68.94,52,46,88.46,87,64,73.56,79,43,54.43,61,36,59.02,83,58,69.88,0,0,0,36,35,97.22,12,12.05,2.35,25.65,19.27,23.26,7.52
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,103,Cal Poly Mustangs,4-4-2 (100.0%),1,0.91,8,1,12.5,268,175,65.3,49.43,130,18,52,60,93,45,40,8,268,123,45.9,2,0,0,30,3,10,0,0,0,10,5,50,3,0,0,0,0,0,15,2,13.33,2,8,16,0,7,14,74,16,21.62,2,1,6,1,16.67,92,59,64.13,71,37,52.11,4,3,75,16,18,21,4,0,124,64,51.61,38,34,89.47,76,60,78.95,48,19,39.58,49,19,38.78,62,33,53.23,1,0,0,35,23,65.71,5,12.24,2.14,17.91,16.15,22.74,7.26
2023-10-29,CSU Bakersfield Roadrunners - Cal Poly Mustangs 1:1,United States. NCAA D1 Big West,103,CSU Bakersfield Roadrunners,4-1-4-1 (75.22%),1,1.07,6,1,16.67,302,224,74.17,50.57,140,19,49,72,93,36,45,12,268,138,51.49,3,0,0,25,4,16,2,0,0,5,0,0,7,1,14.29,0,0,0,15,6,40,4,4,17,4,9,12,92,33,35.87,0,1,8,1,12.5,74,58,78.38,71,34,47.89,5,4,80,53,24,17,1,0,127,82,64.57,55,49,89.09,82,64,78.05,61,37,60.66,48,29,60.42,68,47,69.12,1,0,0,29,25,86.21,11,13.48,2.31,20.2,19.2,21.19,4.6
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,100,Cal Poly Mustangs,4-4-2 (100.0%),5,3.79,18,7,38.89,287,197,68.64,40.88,145,20,81,44,120,48,64,8,262,105,40.08,3,0,0,24,10,41.67,1,1,100,6,2,33.33,2,0,0,1,1,100,6,1,16.67,1,12,15,5,1,26,51,15,29.41,6,0,12,4,33.33,85,46,54.12,51,20,39.22,4,2,50,58,29,21,3,0,131,75,57.25,30,28,93.33,75,61,81.33,60,28,46.67,47,24,51.06,70,38,54.29,0,0,0,32,27,84.38,8,15.15,2.11,20.91,13.84,21.74,6.06
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,100,Cal State Fullerton Titans,4-2-3-1 (50.23%),0,0.63,12,3,25,423,306,72.34,59.12,146,13,66,67,113,32,70,11,262,137,52.29,6,2,33.33,38,10,26.32,1,0,0,6,0,0,5,0,0,0,0,0,15,4,26.67,4,8,25,6,9,20,85,39,45.88,3,5,18,7,38.89,51,36,70.59,51,25,49.02,4,3,75,31,7,10,0,0,166,104,62.65,47,45,95.74,139,110,79.14,59,24,40.68,61,31,50.82,73,47,64.38,2,1,50,40,34,85,11,15.44,2.82,13.95,21.81,18.55,8.08
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,101,Cal Poly Mustangs,3-4-3 (100.0%),0,1.01,8,4,50,356,263,73.88,47.34,149,26,60,63,102,46,46,10,218,96,44.04,1,1,100,28,5,17.86,0,0,0,2,1,50,3,1,33.33,0,0,0,9,6,66.67,6,3,17,1,8,14,54,17,31.48,1,2,16,5,31.25,69,38,55.07,53,26,49.06,4,2,50,43,21,15,1,0,147,90,61.22,53,47,88.68,110,87,79.09,73,39,53.42,55,25,45.45,79,53,67.09,0,0,0,42,37,88.1,7,15.38,2.8,20.51,15.11,22.18,9.57
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,101,UC Irvine Anteaters,4-2-3-1 (100.0%),2,1.58,16,5,31.25,448,344,76.79,52.66,138,19,54,65,122,45,55,22,218,111,50.92,5,2,40,40,13,32.5,0,0,0,6,3,50,2,0,0,0,0,0,17,8,47.06,8,10,31,6,8,30,69,31,44.93,4,0,8,4,50,54,37,68.52,53,22,41.51,5,4,80,34,28,7,1,0,154,101,65.58,69,63,91.3,147,116,78.91,61,27,44.26,65,43,66.15,76,48,63.16,4,0,0,29,23,79.31,5,17.4,3.42,13.62,19.23,18.8,12.26
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,98,Cal Poly Mustangs,4-4-2 (100.0%),0,1.52,12,2,16.67,331,228,68.88,43.19,134,14,54,66,109,35,58,16,325,160,49.23,6,1,16.67,36,6,16.67,0,0,0,3,1,33.33,7,2,28.57,0,0,0,22,5,22.73,7,3,31,4,12,17,89,35,39.33,0,1,10,3,30,105,71,67.62,92,38,41.3,4,0,0,35,4,12,2,0,147,83,56.46,49,45,91.84,100,77,77,73,33,45.21,65,33,50.77,78,53,67.95,0,0,0,27,25,92.59,12,14.69,2.59,22.05,18.23,25.23,11.12
2023-10-16,Cal Poly Mustangs - UC Santa Barbara Gauchos 0:1,United States. NCAA D1 Big West,98,UC Santa Barbara Gauchos,4-4-2 (45.9%),1,1.27,10,3,30,483,394,81.57,56.81,149,32,69,48,119,54,57,8,325,145,44.62,4,0,0,31,8,25.81,0,0,0,2,0,0,3,0,0,0,0,0,13,5,38.46,4,5,19,3,9,10,105,34,32.38,2,0,12,2,16.67,89,54,60.67,92,43,46.74,2,2,100,40,25,18,3,0,166,117,70.48,81,71,87.65,174,156,89.66,60,35,58.33,59,39,66.1,104,73,70.19,0,0,0,26,22,84.62,14,16.29,3.93,12.42,18.43,21.2,7.35
