Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-1-3-2 (100.0%),0,0.1,2,1,50,80,66,82.5,67.49,14,1,6,7,15,5,9,1,43,19,44.19,1,0,0,7,1,14.29,1,0,0,2,1,50,0,0,0,0,0,0,4,0,0,0,2,5,0,3,2,12,4,33.33,1,0,0,0,0,15,8,53.33,6,3,50,0,0,0,5,5,1,0,0,27,22,81.48,17,16,94.12,31,24,77.42,8,5,62.5,10,9,90,17,16,94.12,0,0,0,4,4,100,1,13.9,3.81,10,20.31,22.08,9
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,15,UC Davis Aggies,4-2-3-1 (100.0%),0,0.17,2,0,0,48,37,77.08,32.51,15,2,7,6,11,4,7,0,43,20,46.51,1,0,0,6,1,16.67,0,0,0,2,1,50,0,0,0,0,0,0,1,0,0,0,1,2,1,1,3,15,7,46.67,1,0,1,1,100,12,8,66.67,6,2,33.33,1,1,100,5,5,1,0,0,11,7,63.64,11,11,100,14,11,78.57,8,4,50,4,1,25,10,8,80,1,0,0,4,4,100,2,17.31,2.53,16.67,15.6,18.33,17
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.18,2,1,50,64,51,79.69,57.08,13,1,7,5,17,11,6,0,41,17,41.46,0,0,0,2,2,100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,1,0,3,19,4,21.05,2,0,1,1,100,14,9,64.29,5,3,60,3,0,0,8,1,3,0,0,23,17,73.91,9,6,66.67,24,20,83.33,4,2,50,7,4,57.14,15,8,53.33,0,0,0,4,3,75,0,14.24,3.05,6.25,17.49,19.2,7.33
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-1-4-1 (100.0%),0,0.01,1,0,0,66,50,75.76,42.92,21,1,8,12,18,5,10,3,41,23,56.1,1,0,0,7,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,1,100,1,0,5,0,1,1,14,5,35.71,0,0,1,1,100,19,15,78.95,5,1,20,1,1,100,5,2,1,0,0,23,13,56.52,5,3,60,31,28,90.32,9,7,77.78,11,9,81.82,16,13,81.25,2,0,0,2,2,100,1,19.53,2.87,13.64,26.71,21.41,8.67
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.33,3,0,0,60,48,80,55.78,24,4,10,10,15,5,8,2,46,26,56.52,0,0,0,6,3,50,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,0,0,7,19,9,47.37,0,1,3,3,100,8,6,75,8,6,75,1,0,0,3,1,3,0,0,25,16,64,5,5,100,19,18,94.74,8,3,37.5,11,4,36.36,8,7,87.5,1,1,100,8,7,87.5,3,14.8,3,13.33,15.91,16.94,7.2
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),1,1.04,5,3,60,47,36,76.6,44.22,21,4,11,6,19,10,8,1,46,18,39.13,0,0,0,4,2,50,0,0,0,1,1,100,0,0,0,0,0,0,1,0,0,0,3,6,2,1,6,8,2,25,1,0,0,0,0,19,10,52.63,8,2,25,1,1,100,9,5,2,1,0,25,17,68,4,4,100,12,10,83.33,9,7,77.78,9,5,55.56,10,7,70,0,0,0,0,0,0,2,14.62,2.35,19.15,11.68,22.18,5.71
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.01,1,0,0,53,40,75.47,43.26,18,1,8,9,15,4,7,4,29,13,44.83,1,0,0,4,1,25,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,1,1,5,1,1,3,14,4,28.57,0,0,0,0,0,13,9,69.23,0,0,0,0,0,0,6,3,4,1,0,18,15,83.33,9,6,66.67,17,12,70.59,7,3,42.86,3,3,100,6,5,83.33,0,0,0,3,3,100,2,17.97,2.52,13.21,32.39,19.49,6.25
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0.03,1,0,0,66,50,75.76,56.74,18,3,10,5,18,8,8,2,29,16,55.17,1,0,0,5,1,20,2,0,0,0,0,0,1,0,0,0,0,0,1,1,100,1,0,2,0,1,1,13,4,30.77,2,0,0,0,0,14,10,71.43,0,0,0,2,2,100,9,4,0,0,0,22,13,59.09,11,8,72.73,21,19,90.48,3,2,66.67,5,3,60,14,7,50,2,0,0,5,5,100,1,17.06,3.14,4.55,30.03,18.64,5.33
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),1,0.57,2,2,100,47,34,72.34,27.48,12,1,5,6,12,6,4,2,33,18,54.55,1,1,100,6,1,16.67,2,1,50,1,0,0,0,0,0,0,0,0,3,2,66.67,2,1,4,0,2,2,10,4,40,2,0,0,0,0,13,11,84.62,3,1,33.33,1,1,100,8,2,1,0,0,23,16,69.57,3,3,100,17,12,70.59,5,2,40,7,5,71.43,17,11,64.71,0,0,0,1,1,100,0,19.5,3.36,10.64,25.01,20.93,14.6
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.02,2,0,0,84,74,88.1,72.52,16,4,7,5,11,6,5,0,33,13,39.39,2,0,0,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,13,2,15.38,0,1,2,2,100,10,6,60,3,2,66.67,1,1,100,3,1,1,0,0,22,14,63.64,14,13,92.86,43,42,97.67,10,6,60,6,2,33.33,10,6,60,0,0,0,5,4,80,1,13.2,4.67,11.9,25.02,22.53,15.5
