Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,131,Cal State Fullerton Titans,4-1-3-2 (73.14%),1,1.16,19,5,26.32,560,442,78.93,64.5,142,12,57,73,130,62,48,20,326,164,50.31,10,3,30,55,14,25.45,3,1,33.33,13,3,23.08,1,0,0,0,0,0,32,12,37.5,14,13,40,4,19,26,113,43,38.05,3,2,13,3,23.08,102,71,69.61,68,33,48.53,8,1,12.5,33,21,18,3,0,196,134,68.37,77,70,90.91,223,193,86.55,82,39,47.56,69,40,57.97,102,76,74.51,2,1,50,41,41,100,6,13.54,3.31,14.64,20.95,21.74,9.09
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,131,UC Davis Aggies,4-2-3-1 (63.33%),2,1.97,13,3,23.08,300,214,71.33,35.5,140,37,42,61,98,44,42,12,326,146,44.79,5,0,0,34,8,23.53,0,0,0,6,2,33.33,4,0,0,1,0,0,9,2,22.22,2,8,25,3,6,15,102,31,30.39,1,1,19,5,26.32,113,70,61.95,68,28,41.18,5,3,60,57,35,13,1,0,133,82,61.65,46,45,97.83,83,62,74.7,61,25,40.98,62,31,50,71,51,71.83,5,3,60,30,27,90,19,13.18,1.91,20.33,20.63,22.31,11.22
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,101,Cal State Fullerton Titans,4-2-3-1 (100.0%),2,1.66,8,6,75,330,232,70.3,45.42,132,32,40,60,95,52,36,7,282,127,45.04,2,1,50,32,7,21.88,0,0,0,2,0,0,2,0,0,1,1,100,4,1,25,1,9,17,4,3,12,94,27,28.72,3,0,8,4,50,101,57,56.44,46,22,47.83,10,4,40,52,18,14,1,0,149,85,57.05,47,39,82.98,94,78,82.98,49,20,40.82,48,23,47.92,81,51,62.96,1,1,100,33,26,78.79,4,14.45,2.56,14.85,18.52,20.39,8.45
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,101,UC Santa Barbara Gauchos,4-1-4-1 (89.92%),0,0.64,8,2,25,470,372,79.15,54.58,129,14,45,70,99,39,40,20,282,143,50.71,5,1,20,42,7,16.67,0,0,0,7,0,0,3,1,33.33,0,0,0,28,10,35.71,11,5,33,2,20,16,101,44,43.56,2,2,8,6,75,94,67,71.28,46,18,39.13,5,2,40,41,17,11,1,0,172,120,69.77,58,51,87.93,193,164,84.97,61,38,62.3,76,53,69.74,91,67,73.63,3,0,0,25,25,100,6,17.13,3.53,12.98,24.39,21.62,7.41
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,100,Cal State Fullerton Titans,4-2-3-1 (50.23%),0,0.63,12,3,25,423,306,72.34,59.12,146,13,66,67,113,32,70,11,262,137,52.29,6,2,33.33,38,10,26.32,1,0,0,6,0,0,5,0,0,0,0,0,15,4,26.67,4,8,25,6,9,20,85,39,45.88,3,5,18,7,38.89,51,36,70.59,51,25,49.02,4,3,75,31,7,10,0,0,166,104,62.65,47,45,95.74,139,110,79.14,59,24,40.68,61,31,50.82,73,47,64.38,2,1,50,40,34,85,11,15.44,2.82,13.95,21.81,18.55,8.08
2023-10-22,Cal Poly Mustangs - Cal State Fullerton Titans 5:0,United States. NCAA D1 Big West,100,Cal Poly Mustangs,4-4-2 (100.0%),5,3.79,18,7,38.89,287,197,68.64,40.88,145,20,81,44,120,48,64,8,262,105,40.08,3,0,0,24,10,41.67,1,1,100,6,2,33.33,2,0,0,1,1,100,6,1,16.67,1,12,15,5,1,26,51,15,29.41,6,0,12,4,33.33,85,46,54.12,51,20,39.22,4,2,50,58,29,21,3,0,131,75,57.25,30,28,93.33,75,61,81.33,60,28,46.67,47,24,51.06,70,38,54.29,0,0,0,32,27,84.38,8,15.15,2.11,20.91,13.84,21.74,6.06
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,104,Cal State Fullerton Titans,4-2-3-1 (94.86%),1,0.66,10,5,50,322,244,75.78,37.97,117,19,48,50,93,28,48,17,258,126,48.84,6,3,50,32,5,15.63,5,3,60,2,0,0,5,0,0,0,0,0,14,6,42.86,6,10,26,4,7,17,85,42,49.41,1,1,7,2,28.57,100,60,60,40,10,25,4,1,25,37,13,25,3,1,135,96,71.11,52,45,86.54,90,71,78.89,43,23,53.49,40,33,82.5,71,54,76.06,3,1,33.33,20,20,100,6,16.59,2.71,13.35,22.51,19.16,6.47
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,104,UC Riverside Highlanders,3-4-1-2 (94.92%),1,0.62,7,2,28.57,479,400,83.51,62.03,118,19,60,39,101,43,46,12,258,126,48.84,4,1,25,26,3,11.54,2,0,0,3,1,33.33,7,1,14.29,0,0,0,7,2,28.57,2,5,16,2,4,13,100,40,40,4,1,10,5,50,85,43,50.59,40,29,72.5,8,4,50,46,23,13,3,0,159,117,73.58,75,69,92,182,167,91.76,38,21,55.26,37,23,62.16,65,34,52.31,4,0,0,24,23,95.83,6,15.1,3.74,7.93,25.94,18.49,6.27
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,97,Cal State Fullerton Titans,4-2-3-1 (100.0%),1,1.8,17,5,29.41,311,231,74.28,36.66,99,19,38,42,66,34,25,7,236,118,50,7,4,57.14,35,9,25.71,10,4,40,8,4,50,0,0,0,0,0,0,15,3,20,3,7,26,6,8,20,62,24,38.71,5,0,19,5,26.32,99,71,71.72,40,13,32.5,6,3,50,56,23,9,1,0,141,97,68.79,43,38,88.37,97,76,78.35,41,22,53.66,47,32,68.09,85,59,69.41,4,1,25,14,13,92.86,9,15.63,2.66,13.18,19.4,21.21,12.34
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,97,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.81,19,5,26.32,487,403,82.75,63.34,112,18,39,55,85,38,35,12,236,101,42.8,5,2,40,40,14,35,1,0,0,10,3,30,4,1,25,0,0,0,9,3,33.33,3,11,25,4,2,29,99,28,28.28,3,1,17,5,29.41,62,38,61.29,40,19,47.5,2,2,100,36,13,6,1,0,165,117,70.91,76,71,93.42,205,187,91.22,63,36,57.14,65,33,50.77,77,58,75.32,4,1,25,35,29,82.86,10,14.17,3.58,12.94,17.48,22.3,9.5
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,104,Cal State Fullerton Titans,3-5-2 (41.43%),1,0.93,18,4,22.22,482,367,76.14,61.03,140,15,38,87,105,43,37,25,257,116,45.14,9,1,11.11,43,12,27.91,2,0,0,11,1,9.09,3,1,33.33,0,0,0,21,6,28.57,5,15,38,7,14,30,77,24,31.17,1,2,9,6,66.67,89,58,65.17,45,17,37.78,7,2,28.57,33,2,22,2,0,188,129,68.62,54,44,81.48,182,157,86.26,62,29,46.77,77,47,61.04,93,65,69.89,3,1,33.33,30,30,100,9,16.08,3.92,12.86,21.89,20.79,5.58
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,104,UC Irvine Anteaters,4-2-3-1 (81.97%),2,0.4,9,5,55.56,312,247,79.17,38.97,130,35,43,52,117,62,39,16,257,124,48.25,7,5,71.43,26,6,23.08,1,0,0,0,0,0,8,1,12.5,0,0,0,5,3,60,3,9,12,2,4,16,89,31,34.83,1,1,18,4,22.22,77,53,68.83,45,20,44.44,4,2,50,67,23,9,1,0,132,93,70.45,51,45,88.24,81,72,88.89,48,23,47.92,49,32,65.31,76,45,59.21,3,2,66.67,17,17,100,13,16.3,2.6,15.38,23.25,18.38,9.13
2023-10-08,CSU Bakersfield Roadrunners - Cal State Fullerton Titans 1:2,United States. NCAA D1 Big West,105,Cal State Fullerton Titans,3-5-2 (100.0%),2,0.5,10,5,50,401,300,74.81,55.94,125,22,42,61,101,46,42,13,219,101,46.12,7,3,42.86,27,6,22.22,0,0,0,7,1,14.29,4,0,0,0,0,0,13,6,46.15,5,4,18,1,8,14,78,26,33.33,5,1,10,6,60,76,44,57.89,46,18,39.13,0,0,0,32,11,20,2,0,162,107,66.05,59,56,94.92,137,111,81.02,47,25,53.19,67,35,52.24,86,58,67.44,0,0,0,17,15,88.24,6,13.96,3.31,11.72,21.96,20.93,5.54
