Date,Match,Competition,Duration,Team,Scheme,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Minute,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),3,0.6666666666666666,2,19.69,3.12,20.08,12,1.0,12,0.27906976744186046,1,0,2,0,0.0,0,0,,2,1,0.5,1,1,17,0.7058823529411765,12,-0.12,42,0.5238095238095238,22,18,0.6666666666666666,12,0.27906976744186046,2,1,0,0,1,0,4,13,0.8461538461538461,11,0.2558139534883721,13.21,7,0.42857142857142855,3,0.06976744186046512,15,7,2,6,16.59,1,16,0.375,6,0,5.33,53,0.8113207547169812,43,7,0.5714285714285714,4,0.09302325581395349,0,0,5,2,,8,2,0.25,49.95,10,0.9,9,0.20930232558139536,11,0,4,7,0,2,0,0,,1,1,1.0,1.0,1,0.5,0.75,4,3,1,1.0,1,0.023255813953488372,1.0,5,5,4,1,0.12
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),5,0.6,3,22.86,4.21,14.95,13,1.0,13,0.18571428571428572,2,1,2,0,0.0,0,0,,5,1,0.2,1,1,13,0.3076923076923077,4,0.48,43,0.4883720930232558,21,22,0.8636363636363636,19,0.2714285714285714,4,0,0,0,0,1,6,35,0.9142857142857143,32,0.45714285714285713,7.5,6,0.5,3,0.04285714285714286,13,9,1,3,17.78,61,21,0.5714285714285714,12,0,4.22,80,0.875,70,10,0.8,8,0.11428571428571428,0,0,5,2,,9,3,0.3333333333333333,62.64,12,0.9166666666666666,11,0.15714285714285714,11,2,1,8,0,3,1,1,1.0,1,0,0.0,0.0,1,0.3333333333333333,,0,0,1,1.0,1,0.014285714285714285,1.0,1,1,6,0,0.52
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),7,0.8571428571428571,6,22.36,4.19,19.22,8,1.0,8,0.14285714285714285,1,0,1,0,0.0,1,1,1.0,3,0,0.0,0,4,15,0.5333333333333333,8,0.41000000000000003,46,0.6086956521739131,28,22,0.7272727272727273,16,0.2857142857142857,3,0,0,1,0,1,6,29,0.896551724137931,26,0.4642857142857143,5.97,4,0.5,2,0.03571428571428571,18,15,1,2,15.04,46,19,0.631578947368421,12,1,3.15,67,0.835820895522388,56,11,0.8181818181818182,9,0.16071428571428573,0,0,9,3,,10,1,0.1,56.25,12,1.0,12,0.21428571428571427,13,3,4,6,0,4,0,0,,3,1,0.3333333333333333,0.5,2,0.5,0.0,3,0,3,0.6666666666666666,2,0.03571428571428571,0.75,4,3,6,0,0.59
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),1,0.0,0,22.26,3.0,18.29,8,0.75,6,0.16666666666666666,4,0,1,1,1.0,0,0,,0,0,,0,1,12,0.5833333333333334,7,0.13,25,0.4,10,22,0.6818181818181818,15,0.4166666666666667,0,0,0,1,0,1,6,15,0.8,12,0.3333333333333333,12.5,6,0.16666666666666666,1,0.027777777777777776,15,7,2,6,18.86,16,6,0.5,3,1,30.0,48,0.75,36,8,0.5,4,0.1111111111111111,1,1,4,1,1.0,5,1,0.2,33.82,11,0.6363636363636364,7,0.19444444444444445,11,0,6,5,0,3,0,0,,1,0,0.0,0.0,2,0.6666666666666666,1.0,1,1,1,1.0,1,0.027777777777777776,1.0,2,2,2,0,0.87
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,Westmont Warriors,4-1-4-1 (100.0%),7,0.0,0,18.94,2.26,0.0,6,1.0,6,0.17142857142857143,7,1,0,0,,1,0,0.0,0,0,,0,0,19,0.3684210526315789,7,0.0,46,0.34782608695652173,16,19,0.6842105263157895,13,0.37142857142857144,3,1,0,-1,1,0,9,14,1.0,14,0.4,9.3,4,0.25,1,0.02857142857142857,17,3,8,6,12.41,46,15,0.4666666666666667,7,0,8.0,43,0.813953488372093,35,2,1.0,2,0.05714285714285714,0,0,0,0,,0,0,,43.75,9,0.4444444444444444,4,0.11428571428571428,17,1,16,0,0,0,2,2,1.0,0,0,,,0,,,0,0,0,,0,0.0,0.75,4,3,0,0,0.0
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,Westmont Warriors,4-1-4-1 (100.0%),1,1.0,1,19.67,3.75,0.0,10,0.9,9,0.14754098360655737,1,1,3,0,0.0,0,0,,3,0,0.0,0,2,6,0.5,3,0.0,25,0.48,12,32,0.78125,25,0.4098360655737705,1,0,0,-1,0,0,3,25,0.88,22,0.36065573770491804,5.33,4,0.5,2,0.03278688524590164,15,11,1,3,15.06,16,12,0.4166666666666667,5,0,18.5,75,0.8133333333333334,61,8,0.375,3,0.04918032786885246,0,0,6,2,,7,0,0.0,66.18,10,0.8,8,0.13114754098360656,11,1,5,5,0,0,2,2,1.0,0,0,,,0,,0.0,1,0,1,0.0,0,0.0,1.0,4,4,4,0,0.0
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,Westmont Warriors,4-1-4-1 (100.0%),3,0.3333333333333333,1,17.14,3.93,25.56,8,1.0,8,0.1702127659574468,2,0,1,0,0.0,0,0,,0,0,,0,0,16,0.625,10,0.0,42,0.47619047619047616,20,15,0.7333333333333333,11,0.23404255319148937,2,1,0,0,4,0,2,21,0.9047619047619048,19,0.40425531914893614,9.09,5,0.4,2,0.0425531914893617,16,6,1,9,17.18,1,17,0.29411764705882354,5,0,13.5,55,0.8545454545454545,47,2,0.5,1,0.02127659574468085,0,0,0,0,,1,0,0.0,50.05,5,0.4,2,0.0425531914893617,10,3,4,3,0,1,1,1,1.0,1,0,0.0,,0,0.0,0.6666666666666666,3,2,1,0.0,0,0.0,1.0,2,2,0,0,0.0
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,15,Westmont Warriors,4-1-4-1 (44.22%),5,0.2,1,19.78,2.0,20.37,10,0.8,8,0.24242424242424243,6,1,0,0,,0,0,,0,0,,0,0,21,0.42857142857142855,9,0.8200000000000001,43,0.4883720930232558,21,20,0.75,15,0.45454545454545453,1,0,0,0,3,1,9,7,0.8571428571428571,6,0.18181818181818182,16.67,7,0.5714285714285714,4,0.12121212121212122,16,2,4,10,15.65,61,13,0.6923076923076923,9,1,27.0,42,0.7857142857142857,33,4,0.5,2,0.06060606060606061,0,0,1,1,,3,2,0.6666666666666666,37.36,11,0.45454545454545453,5,0.15151515151515152,10,1,7,2,0,2,1,1,1.0,1,0,0.0,0.0,1,0.5,,0,0,0,,0,0.0,0.5,4,2,1,0,0.18
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,18,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),4,0.25,1,20.44,2.52,16.97,8,0.75,6,0.15,1,0,2,0,0.0,0,0,,1,1,1.0,1,0,18,0.6666666666666666,12,-0.68,58,0.3448275862068966,20,28,0.5714285714285714,16,0.4,4,0,1,0,2,0,5,15,0.8,12,0.3,15.52,9,0.2222222222222222,2,0.05,24,13,1,10,13.91,31,19,0.15789473684210525,3,0,7.44,58,0.6896551724137931,40,13,0.46153846153846156,6,0.15,0,0,2,1,,8,2,0.25,42.66,13,0.6923076923076923,9,0.225,16,5,7,4,0,3,1,1,1.0,1,1,1.0,0.5,2,0.6666666666666666,0.5,2,1,1,0.0,0,0.0,1.0,4,4,5,0,0.68
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,18,Westmont Warriors,4-1-4-1 (100.0%),4,0.5,2,18.28,3.91,17.46,14,1.0,14,0.1891891891891892,5,0,0,0,,0,0,,1,0,0.0,0,3,19,0.8421052631578947,16,-0.05,58,0.5689655172413793,33,31,0.8709677419354839,27,0.36486486486486486,2,0,0,0,0,0,7,26,0.8076923076923077,21,0.28378378378378377,8.14,7,0.5714285714285714,4,0.05405405405405406,22,7,4,11,15.35,31,18,0.3333333333333333,6,0,8.6,86,0.8604651162790697,74,11,0.7272727272727273,8,0.10810810810810811,0,0,5,3,,6,3,0.5,57.34,15,0.7333333333333333,11,0.14864864864864866,22,2,12,8,0,3,2,2,1.0,0,0,,0.0,1,0.3333333333333333,1.0,1,1,0,,0,0.0,0.5,4,2,6,0,0.05
