Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,17,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.45,6,1,16.67,33,22,66.67,28.26,19,4,2,13,15,6,5,4,48,20,41.67,4,1,25,7,5,71.43,0,0,0,3,0,0,0,0,0,0,0,0,2,1,50,1,4,5,0,1,4,13,4,30.77,0,0,0,0,0,15,8,53.33,11,6,54.55,2,1,50,10,4,3,4,0,17,12,70.59,4,2,50,6,6,100,8,3,37.5,8,5,62.5,10,7,70,1,1,100,5,2,40,0,15.32,1.5,24.24,25.54,19.4,7.5
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,17,UC Davis Aggies,4-4-2 (0.0%),0,0.07,2,0,0,71,56,78.87,71.74,24,5,7,12,16,12,2,2,48,24,50,0,0,0,7,2,28.57,0,0,0,4,1,25,1,0,0,0,0,0,4,1,25,1,1,5,1,3,5,15,7,46.67,1,0,1,1,100,13,9,69.23,11,4,36.36,0,0,0,11,2,3,1,0,28,21,75,8,6,75,27,22,81.48,11,4,36.36,12,9,75,19,13,68.42,0,0,0,6,5,83.33,3,12.98,2.84,15.49,13.29,21.77,3
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,26,Sacramento State Hornets,4-3-1-2 (0.0%),0,0.09,1,1,100,115,94,81.74,46.55,32,4,5,23,22,6,11,5,56,32,57.14,1,1,100,8,1,12.5,0,0,0,0,0,0,1,0,0,0,0,0,4,1,25,1,0,9,1,4,3,21,11,52.38,0,1,2,2,100,24,16,66.67,6,4,66.67,1,1,100,9,4,5,0,0,45,35,77.78,17,16,94.12,45,36,80,20,14,70,25,19,76,22,19,86.36,1,0,0,3,2,66.67,5,13.85,4.26,17.39,21.48,21.71,9.33
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,26,UC Irvine Anteaters,4-2-3-1 (100.0%),1,0.29,3,2,66.67,165,143,86.67,53.45,29,8,11,10,29,21,5,3,56,24,42.86,1,1,100,8,3,37.5,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,1,0,4,1,2,3,24,8,33.33,1,0,1,1,100,21,10,47.62,6,2,33.33,0,0,0,13,6,2,0,0,50,37,74,25,25,100,67,65,97.01,11,8,72.73,13,7,53.85,18,11,61.11,2,1,50,3,3,100,1,17.31,5.69,6.67,19.03,18.84,15
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,20,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.27,1,1,100,90,75,83.33,58.78,22,2,10,10,19,8,9,2,64,21,32.81,0,0,0,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,6,2,33.33,2,1,6,1,2,5,25,10,40,0,0,3,3,100,15,4,26.67,7,3,42.86,2,2,100,7,0,2,0,0,29,24,82.76,6,6,100,42,40,95.24,6,5,83.33,15,13,86.67,22,18,81.82,2,1,50,6,4,66.67,1,12.84,3.1,6.67,16.2,20.91,7.5
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,20,UC Santa Barbara Gauchos,3-5-2 (53.49%),0,0.23,5,3,60,75,57,76,41.22,21,4,10,7,23,13,9,1,64,39,60.94,2,1,50,5,3,60,2,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,0,5,15,11,73.33,3,0,1,1,100,25,15,60,7,4,57.14,1,0,0,10,4,3,0,0,34,19,55.88,5,5,100,21,20,95.24,10,5,50,9,3,33.33,15,10,66.67,4,1,25,4,4,100,1,15.25,3.13,13.33,20.46,19.11,7.75
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.26,6,3,50,88,72,81.82,65.87,24,6,6,12,18,8,8,2,65,29,44.62,2,1,50,11,4,36.36,0,0,0,4,2,50,1,0,0,0,0,0,3,1,33.33,1,4,5,2,1,11,25,7,28,0,0,1,1,100,19,11,57.89,14,7,50,0,0,0,7,1,2,1,0,35,26,74.29,16,15,93.75,30,28,93.33,11,6,54.55,15,11,73.33,21,15,71.43,1,0,0,10,8,80,0,13.95,2.93,12.5,16.7,23.79,5.6
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,19,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.3,4,1,25,47,35,74.47,34.13,21,4,7,10,17,9,5,3,65,33,50.77,1,1,100,6,2,33.33,3,2,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,0,4,19,8,42.11,1,0,3,3,100,25,18,72,14,5,35.71,2,1,50,13,4,1,0,0,25,17,68,2,2,100,18,16,88.89,12,8,66.67,11,7,63.64,13,11,84.62,1,0,0,0,0,0,2,14.38,2.24,25.53,18.02,22.74,10
2023-10-12,Sacramento State Hornets - Cal Poly Mustangs 0:0,United States. NCAA D1 Big West,20,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.51,2,1,50,61,43,70.49,47.18,26,3,11,12,21,10,7,4,56,27,48.21,0,0,0,6,1,16.67,0,0,0,1,1,100,2,0,0,0,0,0,3,2,66.67,2,0,6,1,1,4,15,6,40,0,0,1,1,100,11,6,54.55,25,12,48,1,0,0,12,4,4,0,0,30,19,63.33,4,3,75,17,15,88.24,9,4,44.44,12,8,66.67,14,10,71.43,0,0,0,5,3,60,3,16.83,2.26,14.75,7.2,21.43,7
2023-10-12,Sacramento State Hornets - Cal Poly Mustangs 0:0,United States. NCAA D1 Big West,20,Cal Poly Mustangs,4-4-2 (100.0%),0,0.84,4,1,25,69,51,73.91,52.82,29,7,8,14,22,12,9,1,56,26,46.43,0,0,0,7,2,28.57,1,1,100,2,1,50,2,0,0,0,0,0,8,3,37.5,2,1,7,2,3,8,11,5,45.45,1,0,2,2,100,15,9,60,25,11,44,0,0,0,6,5,4,1,0,33,25,75.76,4,4,100,21,15,71.43,11,7,63.64,12,7,58.33,18,12,66.67,0,0,0,4,4,100,4,17,2.56,15.94,11.38,19.41,6.75
2023-10-08,CSUN Matadors - Sacramento State Hornets 1:1,United States. NCAA D1 Big West,23,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.21,2,1,50,75,64,85.33,49.91,22,4,6,12,20,9,6,5,51,29,56.86,1,1,100,5,2,40,0,0,0,1,1,100,0,0,0,0,0,0,2,1,50,1,1,5,1,1,6,18,8,44.44,0,1,2,2,100,21,13,61.9,10,6,60,2,1,50,11,8,2,1,0,22,17,77.27,12,11,91.67,29,26,89.66,11,7,63.64,10,6,60,13,13,100,2,1,50,2,1,50,4,16.16,2.88,14.67,15.42,21.76,6.2
2023-10-08,CSUN Matadors - Sacramento State Hornets 1:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-4-2 (100.0%),1,1,4,2,50,61,46,75.41,50.09,21,5,6,10,15,8,5,2,51,21,41.18,1,1,100,12,3,25,0,0,0,2,1,50,0,0,0,0,0,0,9,4,44.44,5,3,11,2,5,10,21,8,38.1,0,0,1,1,100,18,10,55.56,10,3,30,4,1,25,8,6,4,3,0,22,17,77.27,9,8,88.89,21,14,66.67,8,5,62.5,7,6,85.71,19,15,78.95,1,1,100,6,5,83.33,1,13.1,2.18,13.11,17.29,24.88,4.36
2023-10-05,UC Riverside Highlanders - Sacramento State Hornets 2:0,United States. NCAA D1 Big West,26,Sacramento State Hornets,4-3-3 (72.17%),0,0.41,3,2,66.67,85,67,78.82,55.03,27,4,9,14,20,9,9,2,74,36,48.65,0,0,0,9,3,33.33,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,3,0,8,1,4,4,31,10,32.26,1,1,2,2,100,28,19,67.86,11,5,45.45,1,0,0,6,4,6,0,1,40,31,77.5,5,5,100,24,18,75,10,4,40,16,10,62.5,24,19,79.17,0,0,0,6,4,66.67,3,13.25,2.58,11.76,13.09,21.12,6.25
2023-10-05,UC Riverside Highlanders - Sacramento State Hornets 2:0,United States. NCAA D1 Big West,26,UC Riverside Highlanders,3-5-2 (100.0%),1,0.49,4,2,50,67,52,77.61,44.97,24,2,7,15,26,13,7,6,74,35,47.3,3,1,33.33,11,1,9.09,0,0,0,1,0,0,2,0,0,0,0,0,1,1,100,1,1,3,1,0,3,28,9,32.14,2,0,2,2,100,31,21,67.74,11,4,36.36,2,1,50,14,7,6,0,0,37,26,70.27,10,10,100,10,8,80,13,9,69.23,16,10,62.5,22,19,86.36,1,0,0,5,5,100,1,12.79,2.03,19.4,21,22.06,4.57
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.4,3,1,33.33,86,71,82.56,59.03,26,5,4,17,22,9,8,5,47,28,59.57,0,0,0,10,3,30,0,0,0,0,0,0,1,0,0,0,0,0,3,2,66.67,1,1,7,1,1,6,21,14,66.67,1,0,1,1,100,7,4,57.14,9,5,55.56,0,0,0,5,7,3,2,0,37,30,81.08,10,10,100,32,29,90.63,10,6,60,19,15,78.95,18,17,94.44,0,0,0,5,3,60,0,14.59,3.58,11.63,16.8,21.09,15
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,0.3,2,1,50,63,47,74.6,40.97,20,5,6,9,21,12,5,4,47,19,40.43,1,1,100,4,2,50,0,0,0,1,0,0,1,0,0,0,0,0,3,2,66.67,2,1,3,0,2,3,7,3,42.86,0,0,1,1,100,21,7,33.33,9,4,44.44,2,0,0,11,5,3,2,0,26,19,73.08,7,5,71.43,19,16,84.21,9,4,44.44,9,4,44.44,16,10,62.5,0,0,0,2,1,50,1,15.4,2.63,14.29,19.33,21.88,9.6
2023-09-28,Sacramento State Hornets - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Big West,18,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.82,5,1,20,64,51,79.69,52.2,21,4,8,9,16,6,8,2,51,30,58.82,1,1,100,9,2,22.22,0,0,0,2,2,100,0,0,0,0,0,0,2,0,0,0,4,7,2,1,7,21,8,38.1,0,0,1,1,100,20,16,80,7,4,57.14,3,2,66.67,2,2,3,1,0,24,15,62.5,9,9,100,19,18,94.74,10,4,40,10,6,60,16,12,75,2,1,50,5,5,100,2,14.67,2.67,15.63,16.68,23.35,5.11
2023-09-28,Sacramento State Hornets - CSU Bakersfield Roadrunners 1:1,United States. NCAA D1 Big West,18,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.11,2,1,50,58,48,82.76,47.8,16,6,2,8,20,9,9,2,51,21,41.18,2,1,50,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,20,4,20,1,0,1,1,100,21,13,61.9,7,3,42.86,1,0,0,7,2,3,0,0,20,13,65,7,6,85.71,18,17,94.44,5,2,40,9,5,55.56,13,9,69.23,1,0,0,2,2,100,4,14.52,2.52,8.62,27.32,20.46,4.86
2023-09-23,Sacramento State Hornets - San Jose State Spartans 1:4,United States. NCAA D1 Non-conference matches,18,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.84,5,1,20,127,109,85.83,70.78,17,0,4,13,19,2,10,7,47,29,61.7,0,0,0,7,0,0,0,0,0,4,3,75,1,1,100,0,0,0,7,0,0,1,4,10,4,3,12,22,12,54.55,0,0,0,0,0,10,7,70,10,8,80,2,0,0,4,0,3,1,0,30,23,76.67,26,26,100,49,44,89.8,10,7,70,13,12,92.31,12,10,83.33,0,0,0,5,5,100,1,17.58,5.08,7.87,10.41,19.93,5.1
2023-09-23,Sacramento State Hornets - San Jose State Spartans 1:4,United States. NCAA D1 Non-conference matches,18,San Jose State Spartans,4-4-1-1 (100.0%),0,0,0,0,0,53,41,77.36,29.22,26,13,10,3,11,8,3,0,47,17,36.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,10,3,30,0,0,1,1,100,22,10,45.45,10,1,10,3,2,66.67,13,7,5,0,0,19,11,57.89,7,7,100,20,17,85,9,4,44.44,4,2,50,11,3,27.27,0,0,0,4,4,100,4,17.77,3.31,16.98,0,17.67,8.63
2023-09-18,San Francisco Dons - Sacramento State Hornets 1:0,United States. NCAA D1 Non-conference matches,19,Sacramento State Hornets,4-2-3-1 (0.0%),0,0.47,5,2,40,75,57,76,66.09,22,4,7,11,17,7,8,2,69,41,59.42,1,0,0,8,3,37.5,0,0,0,1,1,100,0,0,0,0,0,0,2,2,100,2,2,5,0,1,4,26,13,50,0,0,0,0,0,12,9,75,23,15,65.22,1,0,0,4,1,1,0,0,34,22,64.71,6,6,100,25,22,88,16,12,75,14,8,57.14,15,13,86.67,0,0,0,10,9,90,1,12.92,2.68,21.33,18.39,22.68,6
2023-09-18,San Francisco Dons - Sacramento State Hornets 1:0,United States. NCAA D1 Non-conference matches,19,San Francisco Dons,3-5-2 (100.0%),0,0,0,0,0,29,19,65.52,33.91,19,4,7,8,12,7,5,0,69,25,36.23,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,3,25,2,0,2,2,100,26,13,50,23,8,34.78,2,0,0,7,9,4,0,0,20,11,55,3,3,100,6,5,83.33,9,5,55.56,8,2,25,9,7,77.78,0,0,0,3,1,33.33,4,9.74,1.21,31.03,0,25.6,5.3
2023-09-15,Sacramento State Hornets - St. Mary's College of CA Gaels 2:3,United States. NCAA D1 Non-conference matches,25,Sacramento State Hornets,4-2-3-1 (52.45%),1,0.08,3,2,66.67,100,84,84,65.17,22,3,5,14,15,7,5,3,68,30,44.12,3,2,66.67,11,1,9.09,0,0,0,2,1,50,2,0,0,0,0,0,3,0,0,0,4,6,1,0,4,28,7,25,1,0,0,0,0,17,13,76.47,11,5,45.45,1,0,0,5,1,1,0,0,36,27,75,16,15,93.75,33,29,87.88,13,4,30.77,15,10,66.67,21,16,76.19,1,1,100,10,8,80,1,12.46,3.57,13,25.72,21.35,6
2023-09-15,Sacramento State Hornets - St. Mary's College of CA Gaels 2:3,United States. NCAA D1 Non-conference matches,25,St. Mary's College of CA Gaels,4-2-3-1 (0.0%),0,0,0,0,0,57,46,80.7,34.83,26,8,7,11,16,10,6,0,68,35,51.47,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,1,0,17,4,23.53,3,1,2,2,100,28,21,75,11,5,45.45,0,0,0,10,12,5,1,0,24,19,79.17,13,12,92.31,12,9,75,10,7,70,11,6,54.55,16,12,75,0,0,0,11,8,72.73,1,13.29,2.19,17.54,0,23.83,6.86
2023-09-11,LMU Lions - Sacramento State Hornets 2:1,United States. NCAA D1 Non-conference matches,25,Sacramento State Hornets,4-2-3-1 (100.0%),0,0.29,3,0,0,64,44,68.75,47.88,30,6,9,15,21,11,8,2,55,33,60,1,0,0,5,2,40,1,0,0,1,0,0,3,1,33.33,0,0,0,1,1,100,1,2,4,0,1,5,12,7,58.33,0,1,2,2,100,23,17,73.91,16,7,43.75,0,0,0,10,7,1,0,0,28,18,64.29,9,6,66.67,15,12,80,9,5,55.56,9,5,55.56,10,6,60,2,0,0,3,2,66.67,6,13.78,1.83,14.06,18.57,17.32,9.5
