Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,94,Sacramento State Hornets,4-3-1-2 (100.0%),1,1.64,15,5,33.33,320,224,70,45.72,128,25,46,57,108,42,47,19,281,129,45.91,8,2,25,38,12,31.58,2,1,50,6,1,16.67,3,0,0,0,0,0,17,6,35.29,7,10,35,4,11,17,86,32,37.21,4,0,13,8,61.54,87,55,63.22,65,28,43.08,3,2,66.67,59,22,16,4,0,132,85,64.39,49,37,75.51,92,74,80.43,58,24,41.38,45,27,60,77,47,61.04,8,2,25,23,18,78.26,2,14.76,2.44,18.13,21.54,20.16,6.63
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,94,UC Davis Aggies,4-4-2 (44.5%),0,1.33,13,7,53.85,358,265,74.02,54.28,148,23,61,64,96,40,37,19,281,138,49.11,3,2,66.67,36,8,22.22,0,0,0,10,4,40,1,0,0,0,0,0,23,9,39.13,9,10,30,7,12,28,87,32,36.78,7,1,15,7,46.67,86,54,62.79,65,33,50.77,2,1,50,51,13,12,2,0,155,105,67.74,58,49,84.48,108,84,77.78,65,31,47.69,60,39,65,85,57,67.06,0,0,0,24,19,79.17,12,13.91,2.65,18.16,17.56,21.91,7.7
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,104,Sacramento State Hornets,4-3-1-2 (50.44%),0,0.29,5,2,40,418,342,81.82,52.2,96,21,19,56,71,31,29,11,209,104,49.76,3,2,66.67,20,2,10,0,0,0,2,0,0,3,1,33.33,0,0,0,12,1,8.33,3,0,23,1,11,5,83,36,43.37,3,2,14,9,64.29,60,37,61.67,24,15,62.5,4,3,75,37,15,23,1,1,150,109,72.67,71,66,92.96,148,124,83.78,71,45,63.38,60,41,68.33,74,54,72.97,3,0,0,16,13,81.25,11,14.38,3.98,16.99,21.84,21.4,7.21
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,104,UC Irvine Anteaters,4-2-3-1 (100.0%),2,2.8,14,9,64.29,390,307,78.72,47.8,99,20,39,40,74,44,21,9,209,94,44.98,3,2,66.67,24,7,29.17,2,2,100,5,0,0,5,1,20,1,1,100,10,6,60,6,6,24,3,10,18,60,23,38.33,8,0,5,2,40,83,47,56.63,24,7,29.17,3,1,33.33,39,14,17,3,0,144,92,63.89,53,51,96.23,137,121,88.32,37,17,45.95,43,22,51.16,69,42,60.87,4,1,25,22,22,100,4,14.66,3.33,9.49,16.25,19.55,8
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,100,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.97,9,4,44.44,403,334,82.88,49.46,95,11,28,56,83,31,33,19,249,85,34.14,3,1,33.33,31,4,12.9,2,0,0,7,2,28.57,2,0,0,0,0,0,19,5,26.32,4,4,22,3,9,18,96,25,26.04,1,3,14,10,71.43,68,32,47.06,30,12,40,7,4,57.14,40,6,9,0,0,136,102,75,39,37,94.87,162,148,91.36,40,26,65,60,41,68.33,77,62,80.52,6,3,50,20,13,65,5,13.95,3.42,9.93,17.02,20.18,9.42
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,100,UC Santa Barbara Gauchos,3-5-2 (90.59%),3,3.05,14,10,71.43,459,371,80.83,50.54,110,24,43,43,93,55,32,6,249,148,59.44,3,1,33.33,32,9,28.13,7,4,57.14,5,0,0,0,0,0,1,1,100,17,6,35.29,4,12,35,11,8,29,68,36,52.94,8,0,9,4,44.44,96,71,73.96,30,14,46.67,6,3,50,43,20,16,0,0,165,118,71.52,56,51,91.07,139,117,84.17,51,30,58.82,42,24,57.14,85,57,67.06,17,7,41.18,20,17,85,3,15.55,4.03,11.11,15.68,19.1,7.86
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,97,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.81,19,5,26.32,487,403,82.75,63.34,112,18,39,55,85,38,35,12,236,101,42.8,5,2,40,40,14,35,1,0,0,10,3,30,4,1,25,0,0,0,9,3,33.33,3,11,25,4,2,29,99,28,28.28,3,1,17,5,29.41,62,38,61.29,40,19,47.5,2,2,100,36,13,6,1,0,165,117,70.91,76,71,93.42,205,187,91.22,63,36,57.14,65,33,50.77,77,58,75.32,4,1,25,35,29,82.86,10,14.17,3.58,12.94,17.48,22.3,9.5
2023-10-14,Sacramento State Hornets - Cal State Fullerton Titans 0:1,United States. NCAA D1 Big West,97,Cal State Fullerton Titans,4-2-3-1 (100.0%),1,1.8,17,5,29.41,311,231,74.28,36.66,99,19,38,42,66,34,25,7,236,118,50,7,4,57.14,35,9,25.71,10,4,40,8,4,50,0,0,0,0,0,0,15,3,20,3,7,26,6,8,20,62,24,38.71,5,0,19,5,26.32,99,71,71.72,40,13,32.5,6,3,50,56,23,9,1,0,141,97,68.79,43,38,88.37,97,76,78.35,41,22,53.66,47,32,68.09,85,59,69.41,4,1,25,14,13,92.86,9,15.63,2.66,13.18,19.4,21.21,12.34
2023-10-12,Sacramento State Hornets - Cal Poly Mustangs 0:0,United States. NCAA D1 Big West,95,Sacramento State Hornets,4-3-1-2 (100.0%),0,1.56,12,2,16.67,324,231,71.3,54.81,109,8,42,59,92,34,39,19,247,116,46.96,4,0,0,41,8,19.51,0,0,0,5,3,60,3,0,0,0,0,0,13,5,38.46,6,4,24,3,9,16,86,33,38.37,2,0,14,2,14.29,50,30,60,69,34,49.28,5,1,20,43,15,12,0,0,141,81,57.45,46,41,89.13,99,85,85.86,61,31,50.82,65,42,64.62,78,56,71.79,1,0,0,26,20,76.92,11,13.25,2.61,18.83,16.23,22.86,7.44
2023-10-12,Sacramento State Hornets - Cal Poly Mustangs 0:0,United States. NCAA D1 Big West,95,Cal Poly Mustangs,4-4-2 (100.0%),0,2.44,14,2,14.29,287,199,69.34,45.19,129,26,53,50,79,45,30,4,247,112,45.34,0,0,0,28,8,28.57,1,1,100,10,4,40,2,0,0,0,0,0,26,14,53.85,12,10,29,4,14,34,50,20,40,2,0,12,3,25,86,53,61.63,69,28,40.58,8,3,37.5,43,23,11,1,0,134,87,64.93,26,24,92.31,82,61,74.39,52,26,50,45,24,53.33,82,52,63.41,5,2,40,31,29,93.55,11,14.24,2.37,18.12,10.09,21.29,6.23
