Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,15,UC Davis Aggies,4-2-3-1 (100.0%),0,0.16,1,0,0,47,31,65.96,45.95,20,2,10,8,18,5,9,4,34,19,55.88,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,1,2,6,5,83.33,1,0,1,1,100,11,9,81.82,8,2,25,0,0,0,10,1,1,0,0,22,12,54.55,8,6,75,11,8,72.73,9,3,33.33,5,3,60,13,7,53.85,0,0,0,2,2,100,2,13.28,3.13,19.15,15.26,20.54,8
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.42,3,1,33.33,79,58,73.42,54.05,25,4,13,8,17,5,9,3,34,11,32.35,0,0,0,3,1,33.33,0,0,0,3,1,33.33,0,0,0,0,0,0,4,2,50,2,2,3,0,1,4,11,2,18.18,0,0,0,0,0,6,1,16.67,8,3,37.5,0,0,0,6,1,1,0,0,31,20,64.52,9,8,88.89,23,20,86.96,4,1,25,11,7,63.64,20,10,50,1,1,100,3,3,100,4,18.97,4.94,5.06,11.91,19.55,4.67
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,15,UC Davis Aggies,4-2-3-1 (100.0%),1,0.42,3,1,33.33,49,36,73.47,38.53,18,3,5,10,19,7,9,3,44,24,54.55,0,0,0,4,2,50,0,0,0,1,1,100,0,0,0,0,0,0,1,1,100,1,2,4,0,1,5,15,5,33.33,0,0,1,1,100,16,11,68.75,9,6,66.67,2,1,50,10,5,1,0,0,25,15,60,6,6,100,10,8,80,12,4,33.33,13,6,46.15,12,9,75,2,2,100,2,2,100,1,17.33,2.72,24.49,14.71,24.07,7.33
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-1-3-2 (100.0%),0,0.3,4,1,25,67,50,74.63,61.47,21,2,11,8,16,9,5,2,44,20,45.45,2,1,50,6,2,33.33,1,1,100,1,1,100,0,0,0,0,0,0,1,1,100,1,2,4,1,0,4,16,5,31.25,0,1,1,1,100,15,10,66.67,9,3,33.33,0,0,0,2,0,1,0,0,27,17,62.96,10,8,80,19,17,89.47,10,7,70,11,7,63.64,13,7,53.85,0,0,0,7,7,100,1,14.85,3.05,14.93,20.5,18.86,17
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,15,UC Davis Aggies,4-2-3-1 (0.0%),0,0.3,2,1,50,58,40,68.97,58.38,20,4,7,9,10,4,3,3,46,23,50,1,0,0,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,2,0,6,3,2,4,22,12,54.55,0,0,1,1,100,8,4,50,9,4,44.44,1,0,0,5,2,0,0,0,22,14,63.64,10,9,90,16,11,68.75,16,5,31.25,8,3,37.5,15,10,66.67,0,0,0,8,8,100,2,13.73,2.32,27.59,16.45,21.61,25
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-4-2 (100.0%),0,0.44,3,1,33.33,37,25,67.57,41.62,13,3,5,5,12,5,5,2,46,22,47.83,2,1,50,6,1,16.67,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,2,2,2,0,2,8,4,50,0,0,1,1,100,22,10,45.45,9,5,55.56,0,0,0,8,6,3,0,0,23,13,56.52,6,6,100,4,3,75,6,1,16.67,12,7,58.33,12,7,58.33,1,1,100,6,4,66.67,1,12.29,1.76,16.22,19.07,22.78,4.11
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,15,UC Davis Aggies,4-4-2 (0.0%),0,0.26,2,2,100,38,30,78.95,47.58,19,2,10,7,12,7,5,0,49,19,38.78,0,0,0,4,2,50,0,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,2,1,4,1,1,5,12,5,41.67,0,0,2,2,100,16,6,37.5,13,4,30.77,0,0,0,8,4,2,0,0,21,16,76.19,6,6,100,9,7,77.78,10,7,70,6,5,83.33,13,10,76.92,0,0,0,3,3,100,3,11.03,2.24,26.32,13.13,22.53,10.33
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.44,3,2,66.67,48,34,70.83,52.42,17,3,5,9,19,5,11,3,49,29,59.18,1,0,0,10,3,30,0,0,0,2,0,0,0,0,0,0,0,0,4,1,25,1,3,7,1,2,3,16,10,62.5,0,0,2,2,100,12,7,58.33,13,9,69.23,0,0,0,6,4,3,0,0,22,16,72.73,8,7,87.5,9,5,55.56,11,8,72.73,5,3,60,19,14,73.68,2,1,50,5,5,100,0,12.64,2.18,22.92,17.88,19.67,6.4
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.11%),2,0.31,3,2,66.67,50,39,78,49.67,18,4,5,9,15,5,7,3,37,13,35.14,1,0,0,6,3,50,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,2,1,5,0,4,2,10,4,40,1,0,0,0,0,11,6,54.55,10,2,20,0,0,0,9,5,3,0,0,23,15,65.22,5,5,100,15,13,86.67,10,6,60,10,7,70,18,13,72.22,0,0,0,4,3,75,2,14.93,2.78,20,18.78,23.73,6
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,46,29,63.04,50.33,23,5,9,9,19,8,8,3,37,22,59.46,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,25,1,0,7,2,4,2,11,5,45.45,0,2,2,2,100,10,6,60,10,7,70,0,0,0,6,2,1,0,0,21,10,47.62,8,7,87.5,12,8,66.67,9,4,44.44,11,7,63.64,10,6,60,0,0,0,3,3,100,1,13.55,2.19,19.57,0,21.49,12.33
