Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,122,UC Davis Aggies,4-2-3-1 (100.0%),0,1.03,17,2,11.76,424,325,76.65,49.2,163,22,47,94,126,42,51,33,271,116,42.8,10,1,10,62,9,14.52,1,0,0,6,4,66.67,3,1,33.33,0,0,0,32,11,34.38,11,6,40,7,22,27,98,37,37.76,3,0,13,4,30.77,69,39,56.52,53,22,41.51,2,1,50,63,33,13,3,0,159,105,66.04,61,53,86.89,149,124,83.22,74,42,56.76,78,53,67.95,87,71,81.61,0,0,0,41,37,90.24,9,13.7,2.79,17.45,21.12,20.31,8.98
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,122,UC Irvine Anteaters,4-2-3-1 (90.5%),0,1.11,13,4,30.77,519,394,75.92,50.8,161,40,62,59,115,63,42,10,271,135,49.82,5,1,20,27,8,29.63,1,1,100,11,2,18.18,2,0,0,0,0,0,20,8,40,6,4,21,1,11,21,69,30,43.48,3,0,17,2,11.76,98,61,62.24,53,23,43.4,4,2,50,69,37,9,2,0,199,129,64.82,69,62,89.86,183,153,83.61,55,14,25.45,60,37,61.67,103,48,46.6,2,1,50,29,28,96.55,16,16.24,3.37,10.6,19.14,20.33,9.38
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,131,UC Davis Aggies,4-2-3-1 (63.33%),2,1.97,13,3,23.08,300,214,71.33,35.5,140,37,42,61,98,44,42,12,326,146,44.79,5,0,0,34,8,23.53,0,0,0,6,2,33.33,4,0,0,1,0,0,9,2,22.22,2,8,25,3,6,15,102,31,30.39,1,1,19,5,26.32,113,70,61.95,68,28,41.18,5,3,60,57,35,13,1,0,133,82,61.65,46,45,97.83,83,62,74.7,61,25,40.98,62,31,50,71,51,71.83,5,3,60,30,27,90,19,13.18,1.91,20.33,20.63,22.31,11.22
2023-11-05,Cal State Fullerton Titans - UC Davis Aggies 1:2 (E),United States. NCAA D1 Big West,131,Cal State Fullerton Titans,4-1-3-2 (73.14%),1,1.16,19,5,26.32,560,442,78.93,64.5,142,12,57,73,130,62,48,20,326,164,50.31,10,3,30,55,14,25.45,3,1,33.33,13,3,23.08,1,0,0,0,0,0,32,12,37.5,14,13,40,4,19,26,113,43,38.05,3,2,13,3,23.08,102,71,69.61,68,33,48.53,8,1,12.5,33,21,18,3,0,196,134,68.37,77,70,90.91,223,193,86.55,82,39,47.56,69,40,57.97,102,76,74.51,2,1,50,41,41,100,6,13.54,3.31,14.64,20.95,21.74,9.09
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,96,UC Davis Aggies,4-2-3-1 (63.24%),1,1.42,11,6,54.55,308,226,73.38,56.47,123,26,38,59,95,48,32,15,302,147,48.68,7,3,42.86,31,6,19.35,1,0,0,5,1,20,0,1,0,0,0,0,18,4,22.22,5,6,22,8,8,18,107,45,42.06,0,0,10,1,10,75,44,58.67,75,41,54.67,6,3,50,44,34,9,0,0,132,91,68.94,52,46,88.46,87,64,73.56,79,43,54.43,61,36,59.02,83,58,69.88,0,0,0,36,35,97.22,12,12.05,2.35,25.65,19.27,23.26,7.52
2023-11-01,UC Davis Aggies - Cal Poly Mustangs 1:0,United States. NCAA D1 Big West,96,Cal Poly Mustangs,4-4-2 (88.82%),0,0.97,10,1,10,292,204,69.86,43.53,129,21,41,67,93,42,34,17,302,137,45.36,4,1,25,41,4,9.76,4,3,75,10,3,30,1,0,0,0,0,0,19,6,31.58,7,9,32,5,11,18,75,31,41.33,1,1,11,6,54.55,107,62,57.94,75,27,36,3,1,33.33,32,27,7,1,0,134,79,58.96,50,46,92,75,58,77.33,56,25,44.64,61,30,49.18,70,53,75.71,6,1,16.67,36,33,91.67,12,14.82,2.3,19.18,17.03,22.45,7.26
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,94,UC Davis Aggies,4-4-2 (44.5%),0,1.33,13,7,53.85,358,265,74.02,54.28,148,23,61,64,96,40,37,19,281,138,49.11,3,2,66.67,36,8,22.22,0,0,0,10,4,40,1,0,0,0,0,0,23,9,39.13,9,10,30,7,12,28,87,32,36.78,7,1,15,7,46.67,86,54,62.79,65,33,50.77,2,1,50,51,13,12,2,0,155,105,67.74,58,49,84.48,108,84,77.78,65,31,47.69,60,39,65,85,57,67.06,0,0,0,24,19,79.17,12,13.91,2.65,18.16,17.56,21.91,7.7
2023-10-29,UC Davis Aggies - Sacramento State Hornets 0:1,United States. NCAA D1 Big West,94,Sacramento State Hornets,4-3-1-2 (100.0%),1,1.64,15,5,33.33,320,224,70,45.72,128,25,46,57,108,42,47,19,281,129,45.91,8,2,25,38,12,31.58,2,1,50,6,1,16.67,3,0,0,0,0,0,17,6,35.29,7,10,35,4,11,17,86,32,37.21,4,0,13,8,61.54,87,55,63.22,65,28,43.08,3,2,66.67,59,22,16,4,0,132,85,64.39,49,37,75.51,92,74,80.43,58,24,41.38,45,27,60,77,47,61.04,8,2,25,23,18,78.26,2,14.76,2.44,18.13,21.54,20.16,6.63
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,97,UC Davis Aggies,4-1-3-2 (47.48%),2,0.49,7,3,42.86,341,263,77.13,50.91,112,31,27,54,91,50,32,9,247,108,43.72,4,0,0,27,6,22.22,0,0,0,2,0,0,1,0,0,0,0,0,16,8,50,8,4,20,1,13,11,65,16,24.62,3,1,11,4,36.36,88,50,56.82,58,29,50,3,3,100,61,36,23,1,0,120,70,58.33,34,33,97.06,145,125,86.21,64,29,45.31,64,36,56.25,76,55,72.37,1,0,0,24,22,91.67,13,13.13,2.91,18.77,21.23,24.7,5.55
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,97,UC San Diego Tritons,4-4-2 (100.0%),1,0.97,11,4,36.36,353,270,76.49,49.09,121,16,38,67,91,39,35,17,247,124,50.2,3,1,33.33,36,4,11.11,1,0,0,8,1,12.5,8,2,25,0,0,0,28,13,46.43,10,4,36,5,20,16,88,38,43.18,0,2,7,3,42.86,65,49,75.38,58,21,36.21,2,2,100,21,8,7,1,0,140,95,67.86,51,47,92.16,116,93,80.17,54,33,61.11,70,48,68.57,92,73,79.35,1,0,0,33,30,90.91,8,14.1,2.65,15.3,15.86,22.77,15.88
