Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-17,LMU Lions - UC Irvine Anteaters 4:2,United States. NCAA D1 College Cup,26,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.02,2,0,0,81,67,82.72,63.42,22,6,5,11,19,8,8,3,49,27,55.1,2,0,0,7,2,28.57,0,0,0,0,0,0,2,0,0,0,0,0,3,2,66.67,2,2,8,0,3,5,17,10,58.82,0,1,2,2,100,15,10,66.67,8,3,37.5,1,0,0,9,2,4,1,0,39,31,79.49,12,10,83.33,24,21,87.5,4,2,50,11,8,72.73,21,19,90.48,0,0,0,5,5,100,1,13.42,3.38,4.94,31.66,19.23,4.22
2023-11-17,LMU Lions - UC Irvine Anteaters 4:2,United States. NCAA D1 College Cup,26,LMU Lions,4-1-4-1 (100.0%),1,1.85,4,2,50,47,38,80.85,36.58,19,4,10,5,19,8,9,2,49,18,36.73,1,0,0,4,2,50,0,0,0,1,0,0,1,1,100,1,0,0,0,0,0,0,2,3,0,0,3,15,5,33.33,1,0,0,0,0,17,7,41.18,8,3,37.5,2,0,0,7,3,5,2,0,26,19,73.08,5,5,100,12,11,91.67,8,5,62.5,5,2,40,7,5,71.43,1,1,100,2,1,50,3,13.5,1.88,17.02,13.33,18.93,7.86
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,19,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.08,3,1,33.33,83,69,83.13,60.87,21,3,4,14,17,9,5,3,34,19,55.88,1,0,0,7,3,42.86,0,0,0,3,0,0,0,0,0,0,0,0,7,3,42.86,2,0,5,0,4,6,8,7,87.5,1,0,0,0,0,16,8,50,5,3,60,1,1,100,8,4,0,0,0,20,15,75,10,10,100,45,38,84.44,6,2,33.33,6,4,66.67,10,7,70,1,0,0,4,4,100,2,15.56,3.77,7.23,22.68,21.33,7.5
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,19,UC Davis Aggies,4-2-3-1 (100.0%),0,0.04,1,0,0,34,25,73.53,39.13,22,8,5,9,16,9,5,2,34,14,41.18,0,0,0,5,0,0,1,0,0,2,1,50,0,0,0,0,0,0,5,2,40,2,1,5,2,2,4,16,8,50,0,0,1,1,100,8,1,12.5,5,2,40,1,1,100,14,14,3,1,0,13,7,53.85,3,2,66.67,12,12,100,7,3,42.86,7,3,42.86,8,7,87.5,0,0,0,4,4,100,0,9.91,1.62,20.59,17.57,19.92,16
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,20,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.81,3,1,33.33,72,54,75,44.32,19,1,8,10,18,4,8,6,38,22,57.89,1,1,100,4,1,25,0,0,0,2,0,0,1,0,0,0,0,0,4,2,50,2,0,5,0,3,2,11,6,54.55,0,0,1,1,100,10,10,100,10,4,40,0,0,0,5,2,1,0,0,23,14,60.87,8,7,87.5,33,28,84.85,2,1,50,12,8,66.67,10,8,80,1,0,0,4,4,100,2,17.53,3.79,2.78,21.38,20.84,20.5
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,20,UC Santa Barbara Gauchos,3-4-1-2 (31.03%),0,0.03,1,1,100,99,87,87.88,55.68,22,5,12,5,15,8,6,1,38,15,39.47,1,1,100,5,1,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,10,0,0,0,0,1,1,100,11,5,45.45,10,5,50,0,0,0,11,4,3,0,0,29,22,75.86,17,17,100,35,32,91.43,10,6,60,9,7,77.78,20,13,65,0,0,0,6,4,66.67,1,19.19,5.5,10.1,23.19,18.91,11.5
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),0,0.01,1,0,0,82,62,75.61,44.56,30,9,11,10,20,8,8,4,44,17,38.64,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,3,0,1,1,11,6,54.55,0,0,1,1,100,15,7,46.67,7,2,28.57,0,0,0,13,14,4,1,0,18,13,72.22,12,10,83.33,33,29,87.88,12,6,50,7,4,57.14,15,8,53.33,0,0,0,3,2,66.67,1,19.38,3.28,14.63,18.9,19.89,9.43
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0,0.2,4,1,25,93,69,74.19,55.44,36,6,15,15,25,9,11,5,44,25,56.82,2,0,0,6,1,16.67,0,0,0,3,2,66.67,1,1,100,0,0,0,6,2,33.33,2,1,5,0,5,6,15,8,53.33,0,0,0,0,0,11,5,45.45,7,5,71.43,0,0,0,9,2,4,0,0,39,26,66.67,19,14,73.68,24,19,79.17,13,8,61.54,10,5,50,15,8,53.33,0,0,0,5,5,100,0,17.67,3.44,13.98,18.72,18.55,6.2
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.37,3,1,33.33,48,32,66.67,39.77,23,4,10,9,13,8,2,3,40,21,52.5,1,0,0,3,1,33.33,1,1,100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,12,4,33.33,2,0,0,0,0,16,12,75,6,2,33.33,0,0,0,11,2,2,0,0,16,7,43.75,5,5,100,17,12,70.59,3,1,33.33,3,1,33.33,10,4,40,0,0,0,6,6,100,0,14.12,2.29,6.25,18.46,17.72,7.5
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,18,Sacramento State Hornets,4-3-1-2 (100.0%),0,0,0,0,0,86,67,77.91,60.23,18,5,3,10,12,7,4,1,40,19,47.5,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,2,0,16,4,25,0,0,1,1,100,12,8,66.67,6,4,66.67,1,1,100,4,2,5,0,0,30,21,70,13,12,92.31,29,24,82.76,13,8,61.54,11,6,54.55,15,9,60,0,0,0,5,4,80,2,16.7,3.91,15.12,0,21.42,5
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.34,5,1,20,133,112,84.21,66.53,26,1,11,14,21,4,12,5,40,16,40,2,1,50,14,4,28.57,0,0,0,0,0,0,0,0,0,0,0,0,7,2,28.57,2,3,8,3,2,13,15,6,40,0,0,0,0,0,9,4,44.44,9,4,44.44,0,0,0,7,2,4,0,0,36,31,86.11,23,23,100,49,38,77.55,12,4,33.33,20,16,80,14,10,71.43,1,0,0,11,9,81.82,1,21.25,4.93,9.02,19.16,17.66,3.78
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,22,Cal Poly Mustangs,3-4-3 (100.0%),0,0.01,1,0,0,43,25,58.14,33.47,25,9,11,5,16,9,6,1,40,22,55,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,9,5,55.56,0,0,1,1,100,15,9,60,9,3,33.33,1,0,0,10,8,2,1,0,20,10,50,5,4,80,13,7,53.85,10,5,50,4,2,50,11,5,45.45,0,0,0,8,7,87.5,3,13.66,1.54,23.26,13.72,19.99,13.8
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.05,1,1,100,71,59,83.1,50.91,19,0,7,12,20,8,7,5,36,15,41.67,1,1,100,6,1,16.67,0,0,0,0,0,0,1,0,0,0,0,0,4,2,50,1,0,3,0,3,1,16,6,37.5,1,0,1,1,100,6,3,50,4,2,50,0,0,0,7,3,2,1,0,32,22,68.75,7,7,100,27,26,96.3,8,4,50,15,8,53.33,17,14,82.35,0,0,0,4,4,100,1,15.86,3.09,11.27,26.39,21.81,8
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,18,CSUN Matadors,4-2-3-1 (74.3%),0,0.03,1,1,100,65,49,75.38,49.09,19,3,9,7,15,8,5,2,36,19,52.78,1,1,100,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,3,50,0,0,1,1,100,16,10,62.5,4,1,25,3,1,33.33,2,2,5,1,1,20,12,60,15,12,80,22,20,90.91,14,9,64.29,5,3,60,13,7,53.85,0,0,0,3,3,100,1,15.06,3.25,21.54,25.4,20.67,6.13
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,25,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.09,2,1,50,84,66,78.57,48.16,33,4,6,23,35,14,11,10,60,26,43.33,2,1,50,12,2,16.67,0,0,0,0,0,0,2,0,0,0,0,0,1,1,100,1,3,3,0,1,3,29,9,31.03,0,1,1,1,100,14,9,64.29,11,5,45.45,0,0,0,17,3,1,0,0,34,23,67.65,14,14,100,23,20,86.96,11,3,27.27,16,8,50,15,11,73.33,1,0,0,11,11,100,1,15.76,2.21,13.1,23.72,18.31,11.43
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,25,Cal State Fullerton Titans,3-5-2 (52.82%),1,0.31,3,1,33.33,106,73,68.87,51.84,32,7,8,17,25,15,8,2,60,33,55,1,0,0,8,2,25,2,0,0,1,0,0,0,0,0,0,0,0,3,1,33.33,1,2,8,1,3,4,14,5,35.71,0,0,1,1,100,29,20,68.97,11,6,54.55,4,2,50,8,1,5,1,0,39,21,53.85,10,6,60,42,36,85.71,16,5,31.25,16,7,43.75,19,7,36.84,1,0,0,6,6,100,2,18.48,3.31,15.09,18.99,21.52,4.8
2023-10-08,UC Irvine Anteaters - UC Davis Aggies 0:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.22,3,0,0,116,100,86.21,67.94,23,4,9,10,17,6,8,3,56,20,35.71,2,0,0,7,2,28.57,0,0,0,0,0,0,2,0,0,0,0,0,4,2,50,2,1,7,2,3,6,36,9,25,0,0,0,0,0,8,5,62.5,5,2,40,1,1,100,3,1,0,0,0,39,30,76.92,13,12,92.31,46,43,93.48,5,4,80,8,7,87.5,17,10,58.82,1,0,0,7,7,100,0,15.93,5.04,4.31,21.95,17.76,25
2023-10-08,UC Irvine Anteaters - UC Davis Aggies 0:1,United States. NCAA D1 Big West,18,UC Davis Aggies,4-1-4-1 (100.0%),0,0,0,0,0,46,30,65.22,32.06,26,5,9,12,15,7,7,1,56,33,58.93,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,25,1,0,4,0,2,0,8,3,37.5,0,0,0,0,0,36,27,75,5,2,40,0,0,0,10,1,4,0,0,17,11,64.71,7,5,71.43,18,12,66.67,6,3,50,9,7,77.78,13,7,53.85,0,0,0,1,1,100,5,13.39,2.71,13.04,0,20.95,8.55
2023-10-04,CSU Bakersfield Roadrunners - UC Irvine Anteaters 2:0,United States. NCAA D1 Big West,16,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.15,4,2,50,98,81,82.65,62.24,18,3,3,12,15,6,6,3,36,19,52.78,4,2,50,6,1,16.67,0,0,0,1,1,100,2,0,0,0,0,0,6,2,33.33,1,0,6,0,3,2,16,9,56.25,0,0,0,0,0,13,5,38.46,4,3,75,0,0,0,5,4,3,0,0,33,23,69.7,19,18,94.74,34,29,85.29,9,2,22.22,12,6,50,16,13,81.25,0,0,0,1,1,100,4,17.33,4.67,9.18,27.22,19.39,10
2023-10-04,CSU Bakersfield Roadrunners - UC Irvine Anteaters 2:0,United States. NCAA D1 Big West,16,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),0,0.14,4,0,0,60,52,86.67,37.76,18,5,5,8,19,12,4,3,36,17,47.22,3,0,0,4,3,75,0,0,0,0,0,0,1,1,100,0,0,0,1,0,0,0,1,2,0,1,1,13,8,61.54,0,0,2,2,100,16,7,43.75,4,1,25,1,0,0,9,3,4,0,0,23,17,73.91,4,4,100,25,23,92,9,6,66.67,6,4,66.67,10,9,90,0,0,0,2,2,100,1,17.49,3.16,15,23.46,21.64,16
2023-10-01,UC Santa Barbara Gauchos - UC Irvine Anteaters 0:0,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.1,2,0,0,92,70,76.09,56.43,27,2,6,19,16,3,9,4,36,15,41.67,0,0,0,6,2,33.33,0,0,0,0,0,0,0,0,0,0,0,0,2,1,50,0,2,3,1,0,5,17,4,23.53,0,0,0,0,0,7,6,85.71,5,2,40,1,0,0,7,3,1,0,0,29,17,58.62,14,14,100,33,29,87.88,10,5,50,19,9,47.37,9,7,77.78,0,0,0,6,6,100,2,16.83,5.11,10.87,15.53,18.59,9.71
