Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-17,LMU Lions - UC Irvine Anteaters 4:2,United States. NCAA D1 College Cup,119,UC Irvine Anteaters,4-2-3-1 (63.13%),2,1.73,15,7,46.67,533,440,82.55,61.63,124,14,32,78,98,42,33,23,223,112,50.22,8,2,25,38,9,23.68,0,0,0,3,0,0,7,0,0,1,1,100,20,6,30,7,6,29,1,15,19,77,36,46.75,0,4,13,7,53.85,76,49,64.47,33,10,30.3,5,2,40,31,8,14,3,0,208,165,79.33,74,68,91.89,179,151,84.36,31,20,64.52,69,52,75.36,92,75,81.52,2,1,50,26,26,100,9,16.51,4.3,5.82,21.36,18.71,9.52
2023-11-17,LMU Lions - UC Irvine Anteaters 4:2,United States. NCAA D1 College Cup,119,LMU Lions,4-1-4-1 (74.58%),4,3.77,13,7,53.85,300,234,78,38.37,111,31,39,41,92,46,40,6,223,101,45.29,5,2,40,20,5,25,2,2,100,2,1,50,5,2,40,1,0,0,4,1,25,1,4,14,3,4,12,76,27,35.53,5,2,15,7,46.67,77,41,53.25,33,20,60.61,6,3,50,54,19,18,5,0,130,89,68.46,43,40,93.02,98,86,87.76,52,24,46.15,45,22,48.89,67,44,65.67,2,1,50,15,13,86.67,11,14.92,2.5,17.33,14.95,22.02,11.2
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,122,UC Irvine Anteaters,4-2-3-1 (90.5%),0,1.11,13,4,30.77,519,394,75.92,50.8,161,40,62,59,115,63,42,10,271,135,49.82,5,1,20,27,8,29.63,1,1,100,11,2,18.18,2,0,0,0,0,0,20,8,40,6,4,21,1,11,21,69,30,43.48,3,0,17,2,11.76,98,61,62.24,53,23,43.4,4,2,50,69,37,9,2,0,199,129,64.82,69,62,89.86,183,153,83.61,55,14,25.45,60,37,61.67,103,48,46.6,2,1,50,29,28,96.55,16,16.24,3.37,10.6,19.14,20.33,9.38
2023-11-12,UC Irvine Anteaters - UC Davis Aggies (P) 0:0,United States. NCAA D1 Big West,122,UC Davis Aggies,4-2-3-1 (100.0%),0,1.03,17,2,11.76,424,325,76.65,49.2,163,22,47,94,126,42,51,33,271,116,42.8,10,1,10,62,9,14.52,1,0,0,6,4,66.67,3,1,33.33,0,0,0,32,11,34.38,11,6,40,7,22,27,98,37,37.76,3,0,13,4,30.77,69,39,56.52,53,22,41.51,2,1,50,63,33,13,3,0,159,105,66.04,61,53,86.89,149,124,83.22,74,42,56.76,78,53,67.95,87,71,81.61,0,0,0,41,37,90.24,9,13.7,2.79,17.45,21.12,20.31,8.98
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,105,UC Irvine Anteaters,4-2-3-1 (100.0%),2,1.63,7,3,42.86,339,250,73.75,37.03,119,23,48,48,99,43,44,12,225,107,47.56,2,1,50,20,4,20,0,0,0,4,1,25,3,0,0,0,0,0,11,3,27.27,3,7,18,2,6,12,70,25,35.71,1,1,8,3,37.5,79,47,59.49,41,16,39.02,3,2,66.67,61,23,12,1,0,117,77,65.81,49,42,85.71,122,101,82.79,40,19,47.5,56,38,67.86,72,51,70.83,5,4,80,17,17,100,8,17.11,3.36,11.8,16.69,20.92,11.42
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,105,UC Santa Barbara Gauchos,3-4-1-2 (34.52%),1,0.45,8,3,37.5,577,489,84.75,62.97,116,14,53,49,84,37,41,6,225,106,47.11,5,3,60,35,6,17.14,0,0,0,4,1,25,1,0,0,0,0,0,24,5,20.83,5,2,29,4,18,12,79,32,40.51,0,2,7,4,57.14,70,45,64.29,41,17,41.46,5,3,60,34,12,15,2,0,171,134,78.36,92,89,96.74,209,185,88.52,48,30,62.5,57,41,71.93,82,57,69.51,2,1,50,40,34,85,8,17.13,5.29,8.32,22.77,18.26,7.09
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,101,UC Irvine Anteaters,4-2-3-1 (86.02%),3,0.82,12,6,50,498,382,76.71,54.18,141,23,60,58,102,37,45,20,215,95,44.19,7,3,42.86,27,5,18.52,2,2,100,9,3,33.33,2,0,0,0,0,0,11,3,27.27,3,12,22,5,7,15,69,32,46.38,0,1,15,6,40,77,39,50.65,24,9,37.5,3,1,33.33,48,33,12,4,0,170,117,68.82,64,56,87.5,187,156,83.42,48,25,52.08,55,38,69.09,94,64,68.09,0,0,0,20,16,80,10,17.59,3.83,9.64,18.87,19.68,9.26
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,101,UC San Diego Tritons,4-4-2 (100.0%),1,0.93,15,6,40,411,296,72.02,45.82,159,26,68,65,118,47,55,16,215,111,51.63,10,4,40,30,9,30,2,2,100,4,3,75,2,1,50,0,0,0,20,6,30,5,5,28,1,17,13,77,38,49.35,2,3,12,6,50,69,37,53.62,24,12,50,6,2,33.33,53,14,15,0,0,177,104,58.76,64,55,85.94,109,85,77.98,63,27,42.86,61,25,40.98,73,39,53.42,0,0,0,34,31,91.18,6,17.16,3.24,15.33,21.86,19.8,9.15
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,104,UC Irvine Anteaters,4-2-3-1 (100.0%),2,2.8,14,9,64.29,390,307,78.72,47.8,99,20,39,40,74,44,21,9,209,94,44.98,3,2,66.67,24,7,29.17,2,2,100,5,0,0,5,1,20,1,1,100,10,6,60,6,6,24,3,10,18,60,23,38.33,8,0,5,2,40,83,47,56.63,24,7,29.17,3,1,33.33,39,14,17,3,0,144,92,63.89,53,51,96.23,137,121,88.32,37,17,45.95,43,22,51.16,69,42,60.87,4,1,25,22,22,100,4,14.66,3.33,9.49,16.25,19.55,8
2023-10-22,Sacramento State Hornets - UC Irvine Anteaters 0:2,United States. NCAA D1 Big West,104,Sacramento State Hornets,4-3-1-2 (50.44%),0,0.29,5,2,40,418,342,81.82,52.2,96,21,19,56,71,31,29,11,209,104,49.76,3,2,66.67,20,2,10,0,0,0,2,0,0,3,1,33.33,0,0,0,12,1,8.33,3,0,23,1,11,5,83,36,43.37,3,2,14,9,64.29,60,37,61.67,24,15,62.5,4,3,75,37,15,23,1,1,150,109,72.67,71,66,92.96,148,124,83.78,71,45,63.38,60,41,68.33,74,54,72.97,3,0,0,16,13,81.25,11,14.38,3.98,16.99,21.84,21.4,7.21
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,101,UC Irvine Anteaters,4-2-3-1 (100.0%),2,1.58,16,5,31.25,448,344,76.79,52.66,138,19,54,65,122,45,55,22,218,111,50.92,5,2,40,40,13,32.5,0,0,0,6,3,50,2,0,0,0,0,0,17,8,47.06,8,10,31,6,8,30,69,31,44.93,4,0,8,4,50,54,37,68.52,53,22,41.51,5,4,80,34,28,7,1,0,154,101,65.58,69,63,91.3,147,116,78.91,61,27,44.26,65,43,66.15,76,48,63.16,4,0,0,29,23,79.31,5,17.4,3.42,13.62,19.23,18.8,12.26
2023-10-19,UC Irvine Anteaters - Cal Poly Mustangs 2:0,United States. NCAA D1 Big West,101,Cal Poly Mustangs,3-4-3 (100.0%),0,1.01,8,4,50,356,263,73.88,47.34,149,26,60,63,102,46,46,10,218,96,44.04,1,1,100,28,5,17.86,0,0,0,2,1,50,3,1,33.33,0,0,0,9,6,66.67,6,3,17,1,8,14,54,17,31.48,1,2,16,5,31.25,69,38,55.07,53,26,49.06,4,2,50,43,21,15,1,0,147,90,61.22,53,47,88.68,110,87,79.09,73,39,53.42,55,25,45.45,79,53,67.09,0,0,0,42,37,88.1,7,15.38,2.8,20.51,15.11,22.18,9.57
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,97,UC Irvine Anteaters,4-2-3-1 (100.0%),0,1.73,14,4,28.57,577,488,84.58,63.12,117,14,32,71,108,34,43,31,213,87,40.85,7,2,28.57,50,14,28,0,0,0,5,0,0,2,0,0,0,0,0,26,11,42.31,9,17,52,4,18,26,87,27,31.03,2,1,6,3,50,56,31,55.36,29,11,37.93,5,2,40,40,17,13,2,0,196,149,76.02,88,82,93.18,237,215,90.72,31,16,51.61,82,66,80.49,105,88,83.81,12,3,25,17,17,100,1,16.2,5.39,5.37,19.26,19.73,5.55
2023-10-15,UC Irvine Anteaters - CSUN Matadors 0:1,United States. NCAA D1 Big West,97,CSUN Matadors,4-2-3-1 (45.1%),1,0.25,6,2,33.33,282,211,74.82,36.88,130,44,47,39,87,47,29,11,213,117,54.93,5,1,20,8,2,25,1,1,100,2,2,100,3,0,0,0,0,0,7,2,28.57,0,2,12,2,4,4,56,25,44.64,0,0,14,4,28.57,87,60,68.97,29,14,48.28,6,2,33.33,52,20,12,1,1,99,63,63.64,40,35,87.5,104,88,84.62,48,28,58.33,29,18,62.07,63,34,53.97,0,0,0,15,11,73.33,13,13.55,2.82,17.02,28.4,19.96,12.12
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,104,UC Irvine Anteaters,4-2-3-1 (81.97%),2,0.4,9,5,55.56,312,247,79.17,38.97,130,35,43,52,117,62,39,16,257,124,48.25,7,5,71.43,26,6,23.08,1,0,0,0,0,0,8,1,12.5,0,0,0,5,3,60,3,9,12,2,4,16,89,31,34.83,1,1,18,4,22.22,77,53,68.83,45,20,44.44,4,2,50,67,23,9,1,0,132,93,70.45,51,45,88.24,81,72,88.89,48,23,47.92,49,32,65.31,76,45,59.21,3,2,66.67,17,17,100,13,16.3,2.6,15.38,23.25,18.38,9.13
2023-10-12,Cal State Fullerton Titans - UC Irvine Anteaters 1:2,United States. NCAA D1 Big West,104,Cal State Fullerton Titans,3-5-2 (41.43%),1,0.93,18,4,22.22,482,367,76.14,61.03,140,15,38,87,105,43,37,25,257,116,45.14,9,1,11.11,43,12,27.91,2,0,0,11,1,9.09,3,1,33.33,0,0,0,21,6,28.57,5,15,38,7,14,30,77,24,31.17,1,2,9,6,66.67,89,58,65.17,45,17,37.78,7,2,28.57,33,2,22,2,0,188,129,68.62,54,44,81.48,182,157,86.26,62,29,46.77,77,47,61.04,93,65,69.89,3,1,33.33,30,30,100,9,16.08,3.92,12.86,21.89,20.79,5.58
2023-10-08,UC Irvine Anteaters - UC Davis Aggies 0:1,United States. NCAA D1 Big West,101,UC Irvine Anteaters,4-2-3-1 (100.0%),0,1.68,9,3,33.33,463,367,79.27,56.42,129,23,52,54,92,45,37,10,264,111,42.05,2,0,0,24,4,16.67,1,1,100,6,2,33.33,4,0,0,0,0,0,20,7,35,7,9,32,2,15,19,126,36,28.57,1,1,5,3,60,70,43,61.43,39,15,38.46,2,1,50,33,14,7,0,0,187,128,68.45,50,43,86,156,143,91.67,49,22,44.9,49,32,65.31,84,52,61.9,2,1,50,31,30,96.77,8,15.19,3.8,10.58,12.99,20.06,14.6
2023-10-08,UC Irvine Anteaters - UC Davis Aggies 0:1,United States. NCAA D1 Big West,101,UC Davis Aggies,4-1-4-1 (100.0%),1,0.55,5,3,60,312,224,71.79,43.58,126,18,44,64,90,33,43,14,264,147,55.68,2,1,50,35,5,14.29,0,0,0,4,0,0,3,0,0,0,0,0,24,9,37.5,8,3,26,2,15,14,70,27,38.57,1,0,9,3,33.33,126,90,71.43,39,22,56.41,4,2,50,46,14,17,0,0,128,81,63.28,43,37,86.05,106,87,82.08,65,28,43.08,53,30,56.6,73,50,68.49,0,0,0,20,17,85,12,13.25,2.79,20.83,16.57,22.57,7.41
2023-10-04,CSU Bakersfield Roadrunners - UC Irvine Anteaters 2:0,United States. NCAA D1 Big West,98,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.99,15,5,33.33,442,376,85.07,55.42,90,21,24,45,78,35,26,17,214,117,54.67,11,4,36.36,31,6,19.35,2,0,0,9,3,33.33,6,0,0,0,0,0,17,5,29.41,4,8,23,1,9,10,69,27,39.13,1,2,10,2,20,90,61,67.78,36,20,55.56,3,2,66.67,28,24,14,3,0,153,117,76.47,62,60,96.77,173,154,89.02,37,13,35.14,50,31,62,67,56,83.58,3,2,66.67,16,16,100,11,16.18,4.02,8.37,22.85,19.21,8.7
