Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,15,UC Riverside Highlanders,5-3-2 (100.0%),1,0.52,3,1,33.33,60,52,86.67,51.62,18,0,13,5,15,7,5,3,30,14,46.67,2,0,0,2,0,0,0,0,0,0,0,0,2,1,50,0,0,0,1,0,0,0,0,1,1,0,2,15,6,40,0,0,0,0,0,7,5,71.43,5,2,40,0,0,0,4,1,1,0,0,23,19,82.61,14,13,92.86,14,12,85.71,7,6,85.71,3,2,66.67,16,12,75,0,0,0,2,2,100,1,13.15,3.75,11.67,21.17,21.18,29
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.01,1,0,0,66,54,81.82,48.38,21,4,10,7,16,4,12,0,30,16,53.33,0,0,0,2,1,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,2,28.57,0,1,1,1,100,15,9,60,5,3,60,2,0,0,4,1,5,0,0,18,12,66.67,7,7,100,34,30,88.24,3,1,33.33,8,5,62.5,12,6,50,0,0,0,1,1,100,1,15.44,5.5,4.55,19.45,19.71,6.38
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0.24,4,1,25,37,27,72.97,51.28,12,0,8,4,11,6,2,3,29,11,37.93,3,1,33.33,2,2,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,4,2,50,0,0,0,0,0,13,5,38.46,9,3,33.33,0,0,0,10,5,5,0,0,16,12,75,4,3,75,16,11,68.75,4,3,75,5,3,60,7,5,71.43,0,0,0,0,0,0,1,13.9,2.18,10.81,21.83,21.83,3.8
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0.08,1,0,0,33,23,69.7,48.72,16,4,3,9,9,4,4,1,29,17,58.62,0,0,0,1,0,0,0,0,0,2,1,50,1,0,0,0,0,0,3,2,66.67,2,1,3,0,1,4,13,8,61.54,0,0,1,1,100,4,2,50,9,5,55.56,0,0,0,2,0,3,1,0,13,6,46.15,3,3,100,16,13,81.25,11,5,45.45,9,4,44.44,7,5,71.43,0,0,0,4,4,100,2,13.05,2.06,33.33,9.56,24.08,7
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (56.0%),0,0,0,0,0,65,55,84.62,44.69,15,3,8,4,8,4,3,1,32,12,37.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,12.5,0,0,0,0,0,15,8,53.33,6,3,50,0,0,0,2,1,5,1,1,19,15,78.95,11,11,100,25,23,92,4,1,25,3,1,33.33,8,3,37.5,0,0,0,5,2,40,3,18.31,5.42,6.15,0,21.22,12.25
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.04,2,0,0,67,63,94.03,55.31,12,0,7,5,9,1,7,1,32,19,59.38,1,0,0,1,0,0,0,0,0,1,0,0,1,1,100,0,0,0,2,1,50,1,2,4,1,0,4,15,7,46.67,0,0,0,0,0,8,7,87.5,6,2,33.33,1,1,100,4,4,1,0,0,17,15,88.24,17,17,100,24,24,100,11,10,90.91,9,8,88.89,13,13,100,0,0,0,2,2,100,0,15.25,4.19,16.42,19.9,21.73,10.17
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),0,0.03,1,0,0,66,50,75.76,56.74,18,3,10,5,18,8,8,2,29,16,55.17,1,0,0,5,1,20,2,0,0,0,0,0,1,0,0,0,0,0,1,1,100,1,0,2,0,1,1,13,4,30.77,2,0,0,0,0,14,10,71.43,0,0,0,2,2,100,9,4,0,0,0,22,13,59.09,11,8,72.73,21,19,90.48,3,2,66.67,5,3,60,14,7,50,2,0,0,5,5,100,1,17.06,3.14,4.55,30.03,18.64,5.33
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0.01,1,0,0,53,40,75.47,43.26,18,1,8,9,15,4,7,4,29,13,44.83,1,0,0,4,1,25,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,1,1,5,1,1,3,14,4,28.57,0,0,0,0,0,13,9,69.23,0,0,0,0,0,0,6,3,4,1,0,18,15,83.33,9,6,66.67,17,12,70.59,7,3,42.86,3,3,100,6,5,83.33,0,0,0,3,3,100,2,17.97,2.52,13.21,32.39,19.49,6.25
2023-10-15,UC Davis Aggies - UC Riverside Highlanders 0:3,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),1,0.36,3,2,66.67,68,59,86.76,62.91,17,2,8,7,10,5,3,2,29,14,48.28,0,0,0,5,1,20,1,1,100,1,1,100,0,0,0,0,0,0,1,0,0,0,2,5,2,1,3,9,2,22.22,1,0,0,0,0,6,3,50,9,5,55.56,1,1,100,3,2,2,0,0,24,18,75,14,13,92.86,23,21,91.3,7,6,85.71,6,4,66.67,12,9,75,0,0,0,5,5,100,1,14.07,4.25,10.29,14.95,20.7,22
2023-10-15,UC Davis Aggies - UC Riverside Highlanders 0:3,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-4-1 (100.0%),0,0,0,0,0,38,30,78.95,37.09,13,2,3,8,14,4,9,1,29,14,48.28,0,0,0,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,4,0,2,2,6,3,50,0,1,2,2,100,9,7,77.78,9,4,44.44,0,0,0,5,3,1,0,0,17,13,76.47,5,4,80,11,9,81.82,5,4,80,11,7,63.64,9,8,88.89,0,0,0,1,1,100,1,13.33,2.11,13.16,0,27.5,11.8
