Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,114,UC Riverside Highlanders,5-3-2 (93.95%),2,1.15,13,4,30.77,275,208,75.64,36.02,114,18,54,42,92,43,38,11,250,126,50.4,10,2,20,25,7,28,0,0,0,1,0,0,6,2,33.33,0,0,0,6,0,0,1,2,9,4,1,8,98,36,36.73,0,3,18,7,38.89,96,70,72.92,43,19,44.19,4,1,25,45,15,11,5,1,114,77,67.54,39,34,87.18,88,73,82.95,46,32,69.57,35,23,65.71,75,53,70.67,0,0,0,23,21,91.3,12,13.52,2.39,16.73,22.66,21.71,14.07
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,114,UC Santa Barbara Gauchos,4-2-3-1 (93.98%),3,2.82,18,7,38.89,564,471,83.51,63.98,137,18,51,68,92,31,51,10,250,120,48,9,2,22.22,36,9,25,1,1,100,7,2,28.57,3,0,0,1,1,100,14,5,35.71,4,5,25,8,12,16,96,26,27.08,1,2,13,4,30.77,98,62,63.27,43,22,51.16,10,4,40,37,9,14,3,0,182,132,72.53,82,77,93.9,241,215,89.21,42,24,57.14,69,46,66.67,97,70,72.16,3,2,66.67,27,26,96.3,13,15.61,4.48,7.45,18.76,19.88,4.84
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,105,UC Riverside Highlanders,3-4-1-2 (100.0%),0,1.1,10,1,10,368,292,79.35,57.23,124,20,48,56,92,44,35,13,288,134,46.53,6,1,16.67,29,6,20.69,0,0,0,3,1,33.33,5,2,40,0,0,0,9,2,22.22,2,5,22,2,8,10,97,33,34.02,1,0,12,2,16.67,117,73,62.39,54,19,35.19,4,0,0,54,22,15,4,0,149,101,67.79,49,45,91.84,141,122,86.52,41,18,43.9,54,30,55.56,69,48,69.57,1,1,100,15,12,80,10,13,3.07,11.14,18.94,21.53,4.43
2023-10-29,UC Riverside Highlanders - CSUN Matadors 0:0,United States. NCAA D1 Big West,105,CSUN Matadors,4-2-3-1 (100.0%),0,1.02,12,2,16.67,257,199,77.43,42.77,123,18,46,59,81,34,35,12,288,144,50,6,1,16.67,27,6,22.22,0,0,0,7,4,57.14,4,0,0,0,0,0,17,7,41.18,6,4,24,2,11,15,117,44,37.61,0,0,10,1,10,97,64,65.98,54,28,51.85,3,1,33.33,22,24,19,6,0,117,78,66.67,18,16,88.89,104,93,89.42,42,27,64.29,47,33,70.21,73,55,75.34,1,0,0,21,17,80.95,10,12.15,2.2,16.34,18.62,23.18,9.61
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,109,UC Riverside Highlanders,3-4-1-2 (21.34%),2,1.42,7,5,71.43,359,288,80.22,45.11,113,13,53,47,87,46,30,11,281,121,43.06,1,1,100,18,3,16.67,1,1,100,2,0,0,3,3,100,0,0,0,5,2,40,1,4,10,2,2,7,89,22,24.72,0,1,14,4,28.57,102,65,63.73,48,17,35.42,4,3,75,28,21,18,3,1,143,95,66.43,65,62,95.38,117,103,88.03,52,22,42.31,33,15,45.45,57,35,61.4,1,1,100,29,25,86.21,12,14.54,2.87,14.48,16.94,22.72,11.78
2023-10-22,UC Riverside Highlanders - CSU Bakersfield Roadrunners 2:1,United States. NCAA D1 Big West,109,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),1,0.65,14,4,28.57,430,364,84.65,54.89,111,9,45,57,85,34,42,9,281,148,52.67,9,2,22.22,34,10,29.41,0,0,0,4,0,0,5,2,40,0,0,0,14,4,28.57,4,6,24,7,10,19,102,37,36.27,0,2,7,5,71.43,89,67,75.28,48,27,56.25,6,4,66.67,36,20,13,2,0,159,120,75.47,67,67,100,163,144,88.34,54,35,64.81,61,44,72.13,88,76,86.36,0,0,0,24,22,91.67,2,14.31,3.39,12.56,20.67,21.49,6.5
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,104,UC Riverside Highlanders,3-4-1-2 (94.92%),1,0.62,7,2,28.57,479,400,83.51,62.03,118,19,60,39,101,43,46,12,258,126,48.84,4,1,25,26,3,11.54,2,0,0,3,1,33.33,7,1,14.29,0,0,0,7,2,28.57,2,5,16,2,4,13,100,40,40,4,1,10,5,50,85,43,50.59,40,29,72.5,8,4,50,46,23,13,3,0,159,117,73.58,75,69,92,182,167,91.76,38,21,55.26,37,23,62.16,65,34,52.31,4,0,0,24,23,95.83,6,15.1,3.74,7.93,25.94,18.49,6.27
2023-10-19,Cal State Fullerton Titans - UC Riverside Highlanders 1:1,United States. NCAA D1 Big West,104,Cal State Fullerton Titans,4-2-3-1 (94.86%),1,0.66,10,5,50,322,244,75.78,37.97,117,19,48,50,93,28,48,17,258,126,48.84,6,3,50,32,5,15.63,5,3,60,2,0,0,5,0,0,0,0,0,14,6,42.86,6,10,26,4,7,17,85,42,49.41,1,1,7,2,28.57,100,60,60,40,10,25,4,1,25,37,13,25,3,1,135,96,71.11,52,45,86.54,90,71,78.89,43,23,53.49,40,33,82.5,71,54,76.06,3,1,33.33,20,20,100,6,16.59,2.71,13.35,22.51,19.16,6.47
2023-10-15,UC Davis Aggies - UC Riverside Highlanders 0:3,United States. NCAA D1 Big West,103,UC Riverside Highlanders,3-4-1-2 (100.0%),3,1.86,12,7,58.33,316,228,72.15,48.42,131,35,50,46,95,63,21,11,215,103,47.91,3,0,0,25,4,16,2,2,100,10,3,30,1,1,100,0,0,0,14,2,14.29,4,8,26,7,10,16,70,26,37.14,4,0,16,4,25,53,31,58.49,54,30,55.56,5,4,80,51,27,14,2,0,138,85,61.59,40,37,92.5,101,78,77.23,38,18,47.37,39,22,56.41,78,47,60.26,3,1,33.33,22,20,90.91,8,13.73,2.53,12.03,16.48,20.96,15.07
2023-10-15,UC Davis Aggies - UC Riverside Highlanders 0:3,United States. NCAA D1 Big West,103,UC Davis Aggies,4-1-4-1 (60.27%),0,1.88,16,4,25,343,259,75.51,51.58,125,11,28,86,104,32,55,17,215,107,49.77,7,2,28.57,47,11,23.4,1,0,0,4,1,25,6,1,16.67,0,0,0,22,6,27.27,6,4,30,0,16,19,53,22,41.51,1,3,12,9,75,70,44,62.86,54,24,44.44,5,1,20,33,12,18,3,1,141,95,67.38,51,48,94.12,113,90,79.65,52,32,61.54,78,47,60.26,86,68,79.07,3,0,0,20,17,85,7,13.99,2.74,15.16,18.62,23.22,5.44
