Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,3-4-1-2 (100.0%),0,0.01,1,0,0,86,73,84.88,67.39,17,1,10,6,8,5,3,0,34,16,47.06,0,0,0,8,1,12.5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,1,3,9,4,44.44,0,0,0,0,0,13,9,69.23,8,2,25,0,0,0,2,2,4,0,0,24,17,70.83,11,10,90.91,34,31,91.18,9,5,55.56,9,5,55.56,7,5,71.43,1,1,100,9,8,88.89,1,17.58,5.73,10.47,22.68,17.96,5.67
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0,0.05,1,0,0,42,30,71.43,32.61,17,2,8,7,13,4,9,0,34,16,47.06,0,0,0,1,0,0,0,0,0,2,1,50,1,0,0,0,0,0,2,1,50,1,1,3,0,1,2,13,4,30.77,0,0,0,0,0,9,5,55.56,8,5,62.5,0,0,0,8,2,0,0,0,12,9,75,6,6,100,17,13,76.47,5,3,60,7,4,57.14,11,7,63.64,1,1,100,2,2,100,1,17.75,2.8,11.9,15.12,21.51,17.25
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),0,0.18,3,1,33.33,106,96,90.57,68.85,15,2,4,9,12,3,8,1,29,14,48.28,2,1,50,6,3,50,0,0,0,1,0,0,0,0,0,0,0,0,2,1,50,1,0,2,0,2,1,11,3,27.27,0,0,0,0,0,12,8,66.67,5,2,40,1,1,100,5,2,1,1,0,27,22,81.48,23,22,95.65,49,46,93.88,4,3,75,12,9,75,17,15,88.24,0,0,0,3,3,100,1,18.49,7.07,3.77,22.37,20.11,5.14
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,15,UC Riverside Highlanders,5-3-2 (100.0%),0,0.13,2,0,0,37,29,78.38,31.15,13,1,10,2,11,5,5,1,29,14,48.28,2,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,0,0,0,0,0,0,12,4,33.33,0,0,1,1,100,11,8,72.73,5,2,40,0,0,0,6,1,1,0,0,14,10,71.43,3,2,66.67,18,15,83.33,5,3,60,3,3,100,7,5,71.43,0,0,0,3,2,66.67,3,14.26,2.64,13.51,28.42,23.11,41.5
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-1-4-1 (100.0%),0,0,0,0,0,50,37,74,46.59,14,3,7,4,11,6,4,1,46,22,47.83,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4,36.36,1,0,0,0,0,20,13,65,7,3,42.86,1,0,0,5,6,3,0,0,19,11,57.89,9,8,88.89,14,13,92.86,10,6,60,4,1,25,13,5,38.46,0,0,0,6,6,100,2,16.48,2.17,20,0,19.93,12.67
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-2-3-1 (100.0%),0,0,0,0,0,58,47,81.03,53.41,15,3,4,8,12,4,8,0,46,21,45.65,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,20,7,35,0,0,0,0,0,11,7,63.64,7,4,57.14,2,1,50,4,2,3,0,0,23,13,56.52,12,12,100,16,16,100,7,4,57.14,8,5,62.5,11,9,81.82,0,0,0,8,8,100,0,16.68,2.64,12.07,0,19.39,5.25
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,4-4-2 (100.0%),0,0.12,2,1,50,107,98,91.59,77.18,13,0,0,13,10,2,5,3,25,12,48,2,1,50,7,1,14.29,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,7,2,28.57,0,1,1,1,100,9,6,66.67,4,2,50,1,0,0,1,1,4,0,0,33,29,87.88,27,26,96.3,43,39,90.7,7,5,71.43,17,12,70.59,18,17,94.44,1,0,0,5,5,100,1,14.54,6.69,6.54,21.86,22.33,6
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),1,0.05,1,1,100,31,21,67.74,22.82,14,4,7,3,9,6,2,1,25,13,52,0,0,0,2,1,50,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,9,3,33.33,0,0,1,1,100,7,5,71.43,4,2,50,0,0,0,4,4,2,0,0,14,6,42.86,4,3,75,12,11,91.67,6,1,16.67,2,1,50,7,3,42.86,0,0,0,2,2,100,0,14.24,2.21,19.35,15.46,25.23,72
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,15,UC Santa Barbara Gauchos,3-5-2 (100.0%),0,0.51,3,2,66.67,53,39,73.58,49.97,14,3,6,5,10,6,4,0,31,23,74.19,1,0,0,4,2,50,1,1,100,1,0,0,0,0,0,0,0,0,5,2,40,2,2,6,2,3,6,4,2,50,1,0,1,1,100,16,14,87.5,3,3,100,1,1,100,9,4,0,0,0,18,13,72.22,5,3,60,14,11,78.57,5,3,60,7,3,42.86,12,8,66.67,1,0,0,4,4,100,0,14.81,3.31,9.43,16.13,18.73,17.5
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,15,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.52,5,1,20,56,46,82.14,50.03,13,3,2,8,7,2,2,3,31,6,19.35,2,1,50,4,2,50,0,0,0,3,2,66.67,0,0,0,0,0,0,2,1,50,1,0,1,0,1,4,16,2,12.5,0,0,2,2,100,4,2,50,3,0,0,0,0,0,6,2,1,0,0,20,14,70,7,7,100,20,18,90,7,4,57.14,10,8,80,13,9,69.23,1,1,100,3,1,33.33,3,15.63,3.29,12.5,16.54,19.82,7.75
