Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,105,UC Santa Barbara Gauchos,3-4-1-2 (34.52%),1,0.45,8,3,37.5,577,489,84.75,62.97,116,14,53,49,84,37,41,6,225,106,47.11,5,3,60,35,6,17.14,0,0,0,4,1,25,1,0,0,0,0,0,24,5,20.83,5,2,29,4,18,12,79,32,40.51,0,2,7,4,57.14,70,45,64.29,41,17,41.46,5,3,60,34,12,15,2,0,171,134,78.36,92,89,96.74,209,185,88.52,48,30,62.5,57,41,71.93,82,57,69.51,2,1,50,40,34,85,8,17.13,5.29,8.32,22.77,18.26,7.09
2023-11-05,UC Irvine Anteaters - UC Santa Barbara Gauchos 2:1,United States. NCAA D1 Big West,105,UC Irvine Anteaters,4-2-3-1 (100.0%),2,1.63,7,3,42.86,339,250,73.75,37.03,119,23,48,48,99,43,44,12,225,107,47.56,2,1,50,20,4,20,0,0,0,4,1,25,3,0,0,0,0,0,11,3,27.27,3,7,18,2,6,12,70,25,35.71,1,1,8,3,37.5,79,47,59.49,41,16,39.02,3,2,66.67,61,23,12,1,0,117,77,65.81,49,42,85.71,122,101,82.79,40,19,47.5,56,38,67.86,72,51,70.83,5,4,80,17,17,100,8,17.11,3.36,11.8,16.69,20.92,11.42
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,114,UC Santa Barbara Gauchos,4-2-3-1 (93.98%),3,2.82,18,7,38.89,564,471,83.51,63.98,137,18,51,68,92,31,51,10,250,120,48,9,2,22.22,36,9,25,1,1,100,7,2,28.57,3,0,0,1,1,100,14,5,35.71,4,5,25,8,12,16,96,26,27.08,1,2,13,4,30.77,98,62,63.27,43,22,51.16,10,4,40,37,9,14,3,0,182,132,72.53,82,77,93.9,241,215,89.21,42,24,57.14,69,46,66.67,97,70,72.16,3,2,66.67,27,26,96.3,13,15.61,4.48,7.45,18.76,19.88,4.84
2023-11-02,UC Santa Barbara Gauchos - UC Riverside Highlanders 3:2,United States. NCAA D1 Big West,114,UC Riverside Highlanders,5-3-2 (93.95%),2,1.15,13,4,30.77,275,208,75.64,36.02,114,18,54,42,92,43,38,11,250,126,50.4,10,2,20,25,7,28,0,0,0,1,0,0,6,2,33.33,0,0,0,6,0,0,1,2,9,4,1,8,98,36,36.73,0,3,18,7,38.89,96,70,72.92,43,19,44.19,4,1,25,45,15,11,5,1,114,77,67.54,39,34,87.18,88,73,82.95,46,32,69.57,35,23,65.71,75,53,70.67,0,0,0,23,21,91.3,12,13.52,2.39,16.73,22.66,21.71,14.07
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,101,UC Santa Barbara Gauchos,4-1-4-1 (89.92%),0,0.64,8,2,25,470,372,79.15,54.58,129,14,45,70,99,39,40,20,282,143,50.71,5,1,20,42,7,16.67,0,0,0,7,0,0,3,1,33.33,0,0,0,28,10,35.71,11,5,33,2,20,16,101,44,43.56,2,2,8,6,75,94,67,71.28,46,18,39.13,5,2,40,41,17,11,1,0,172,120,69.77,58,51,87.93,193,164,84.97,61,38,62.3,76,53,69.74,91,67,73.63,3,0,0,25,25,100,6,17.13,3.53,12.98,24.39,21.62,7.41
2023-10-29,Cal State Fullerton Titans - UC Santa Barbara Gauchos 2:0,United States. NCAA D1 Big West,101,Cal State Fullerton Titans,4-2-3-1 (100.0%),2,1.66,8,6,75,330,232,70.3,45.42,132,32,40,60,95,52,36,7,282,127,45.04,2,1,50,32,7,21.88,0,0,0,2,0,0,2,0,0,1,1,100,4,1,25,1,9,17,4,3,12,94,27,28.72,3,0,8,4,50,101,57,56.44,46,22,47.83,10,4,40,52,18,14,1,0,149,85,57.05,47,39,82.98,94,78,82.98,49,20,40.82,48,23,47.92,81,51,62.96,1,1,100,33,26,78.79,4,14.45,2.56,14.85,18.52,20.39,8.45
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,104,UC Santa Barbara Gauchos,4-4-2 (90.17%),2,2.38,13,8,61.54,642,544,84.74,69.43,111,10,25,76,95,35,41,19,231,118,51.08,7,5,71.43,40,7,17.5,1,1,100,6,1,16.67,2,1,50,0,0,0,22,1,4.55,2,10,33,5,16,16,85,36,42.35,0,2,9,5,55.56,81,57,70.37,44,18,40.91,7,5,71.43,30,9,16,5,0,216,170,78.7,114,104,91.23,230,199,86.52,54,22,40.74,96,66,68.75,106,88,83.02,3,0,0,26,25,96.15,8,15.9,5.06,8.41,17.06,20.16,4.83
2023-10-22,CSUN Matadors - UC Santa Barbara Gauchos 2:2,United States. NCAA D1 Big West,104,CSUN Matadors,4-2-3-1 (83.33%),2,0.85,9,5,55.56,250,185,74,30.57,108,27,42,39,77,50,20,7,231,107,46.32,4,1,25,26,7,26.92,0,0,0,3,1,33.33,4,1,25,0,0,0,4,1,25,0,2,9,3,1,7,81,24,29.63,0,2,13,8,61.54,85,49,57.65,44,22,50,2,2,100,26,27,14,1,0,105,67,63.81,26,24,92.31,92,75,81.52,40,20,50,34,24,70.59,63,37,58.73,0,0,0,19,15,78.95,7,14.07,2.14,16,22.65,22.15,25.94
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,100,UC Santa Barbara Gauchos,3-5-2 (90.59%),3,3.05,14,10,71.43,459,371,80.83,50.54,110,24,43,43,93,55,32,6,249,148,59.44,3,1,33.33,32,9,28.13,7,4,57.14,5,0,0,0,0,0,1,1,100,17,6,35.29,4,12,35,11,8,29,68,36,52.94,8,0,9,4,44.44,96,71,73.96,30,14,46.67,6,3,50,43,20,16,0,0,165,118,71.52,56,51,91.07,139,117,84.17,51,30,58.82,42,24,57.14,85,57,67.06,17,7,41.18,20,17,85,3,15.55,4.03,11.11,15.68,19.1,7.86
2023-10-19,UC Santa Barbara Gauchos - Sacramento State Hornets 3:0,United States. NCAA D1 Big West,100,Sacramento State Hornets,4-3-1-2 (100.0%),0,0.97,9,4,44.44,403,334,82.88,49.46,95,11,28,56,83,31,33,19,249,85,34.14,3,1,33.33,31,4,12.9,2,0,0,7,2,28.57,2,0,0,0,0,0,19,5,26.32,4,4,22,3,9,18,96,25,26.04,1,3,14,10,71.43,68,32,47.06,30,12,40,7,4,57.14,40,6,9,0,0,136,102,75,39,37,94.87,162,148,91.36,40,26,65,60,41,68.33,77,62,80.52,6,3,50,20,13,65,5,13.95,3.42,9.93,17.02,20.18,9.42
