Date,Match,Competition,Duration,Team,Scheme,Match tempo,Average passes per possession,Long pass %,PPDA,Average shot distance,Average pass length
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),19.17,3.47,16.95,8.88,23.77,21.75
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),17.4,4.68,8.99,4.29,19.68,19.39
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),12.83,2.84,20.37,53,10.81,27.1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),14.63,3.88,24.24,7,19.96,25.53
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),13.36,3.79,20.75,15.4,26.22,21.45
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),16.2,6.4,12.5,10.25,0,20.01
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),15.18,3.47,6.78,18,15.7,20.28
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),18.38,5.06,13.58,26,0,21.44
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),12.05,2.2,18.18,25,10.52,23.33
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (100.0%),15.08,5.06,4.65,23,12.8,18.55
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),9.53,1.5,29.63,8.6,29.32,24.96
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,Cal Poly Mustangs,4-2-3-1 (100.0%),16.18,2.72,12.24,3.4,0,22.6
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-2-3-1 (100.0%),12.31,2.09,10.42,69,12.28,24.4
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,15,Cal State Fullerton Titans,4-4-2 (100.0%),15.41,5.93,10.11,9.5,30.2,21.25
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),11.79,3.06,20,10.75,4.83,22.65
