Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.2,2,2,100,71,55,77.46,49.89,25,10,8,7,18,10,5,3,34,19,55.88
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (49.0%),0,0.14,2,0,0,89,71,79.78,50.11,21,4,5,12,16,4,6,6,34,15,44.12
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.4,5,3,60,62,49,79.03,46.78,17,2,3,12,13,4,3,6,32,15,46.88
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (100.0%),0,0.07,2,1,50,54,40,74.07,53.22,21,9,7,5,16,10,5,1,32,16,50
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.03,1,0,0,40,30,75,43.19,18,2,6,10,11,1,5,5,32,15,46.88
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0,0.06,1,0,0,52,46,88.46,56.81,14,4,6,4,13,9,4,0,32,16,50
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0.3,3,0,0,44,36,81.82,34,14,5,5,4,10,4,3,3,32,20,62.5
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.1,1,0,0,88,78,88.64,66,14,4,3,7,12,4,5,3,32,10,31.25
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),2,0.61,3,2,66.67,31,23,74.19,30.35,9,0,4,5,9,1,6,2,28,17,60.71
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (41.22%),0,0,0,0,0,103,94,91.26,69.65,14,3,8,3,8,7,1,0,28,9,32.14
