Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC San Diego Tritons,4-4-2 (100.0%),0,0.2,4,1,25,93,69,74.19,55.44,36,6,15,15,25,9,11,5,44,25,56.82,2,0,0,6,1,16.67,0,0,0,3,2,66.67,1,1,100,0,0,0,6,2,33.33,2,1,5,0,5,6,15,8,53.33,0,0,0,0,0,11,5,45.45,7,5,71.43,0,0,0,9,2,4,0,0,39,26,66.67,19,14,73.68,24,19,79.17,13,8,61.54,10,5,50,15,8,53.33,0,0,0,5,5,100,0,17.67,3.44,13.98,18.72,18.55,6.2
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,18,UC Irvine Anteaters,4-2-3-1 (65.4%),0,0.01,1,0,0,82,62,75.61,44.56,30,9,11,10,20,8,8,4,44,17,38.64,1,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,3,0,1,1,11,6,54.55,0,0,1,1,100,15,7,46.67,7,2,28.57,0,0,0,13,14,4,1,0,18,13,72.22,12,10,83.33,33,29,87.88,12,6,50,7,4,57.14,15,8,53.33,0,0,0,3,2,66.67,1,19.38,3.28,14.63,18.9,19.89,9.43
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,0,41,28,68.29,26.07,21,6,7,8,9,6,3,0,44,28,63.64,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,33.33,0,0,2,0,1,2,14,7,50,0,0,0,0,0,18,15,83.33,8,4,50,0,0,0,4,3,2,0,0,11,5,45.45,8,7,87.5,14,13,92.86,3,2,66.67,8,6,75,8,4,50,0,0,0,4,4,100,2,17.91,2.73,7.32,0,20.8,17
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,16,UC Davis Aggies,4-1-3-2 (100.0%),0,0,1,0,0,79,64,81.01,73.93,16,4,2,10,15,7,4,4,44,16,36.36,1,0,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,3,42.86,3,3,7,0,5,5,18,3,16.67,0,0,0,0,0,14,7,50,8,4,50,2,2,100,12,3,3,0,0,21,14,66.67,5,5,100,44,39,88.64,11,7,63.64,9,7,77.78,14,13,92.86,0,0,0,5,5,100,1,12.17,4.39,13.92,27.44,23.79,2.5
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,0.04,1,0,0,75,55,73.33,47.95,26,6,6,14,20,11,5,4,48,18,37.5,1,0,0,5,1,20,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,4,1,2,3,12,3,25,0,0,3,3,100,16,7,43.75,9,3,33.33,0,0,0,8,1,3,0,0,29,18,62.07,8,6,75,26,23,88.46,13,7,53.85,12,7,58.33,17,10,58.82,0,0,0,7,6,85.71,2,13.68,2.78,17.33,28.13,21.52,14.4
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,19,CSUN Matadors,4-2-3-1 (100.0%),0,0.58,4,3,75,84,66,78.57,52.05,20,7,5,8,15,8,5,2,48,27,56.25,2,1,50,5,3,60,3,0,0,0,0,0,0,0,0,0,0,0,3,2,66.67,2,0,7,3,2,3,16,9,56.25,1,0,0,0,0,12,9,75,9,6,66.67,1,0,0,7,6,1,0,0,32,18,56.25,11,9,81.82,32,31,96.88,11,3,27.27,13,6,46.15,17,10,58.82,1,0,0,5,5,100,2,14.12,3.36,13.1,18.22,19.32,26.5
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,UC San Diego Tritons,4-4-2 (100.0%),0,0.46,1,0,0,46,34,73.91,42.26,21,1,13,7,21,8,10,3,47,24,51.06,0,0,0,8,1,12.5,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,2,4,1,2,4,12,5,41.67,1,0,0,0,0,14,10,71.43,12,6,50,0,0,0,15,0,6,0,0,18,14,77.78,9,9,100,10,6,60,5,3,60,8,6,75,11,8,72.73,0,0,0,7,4,57.14,0,14.02,2.09,10.87,6.3,20.61,5.5
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,17,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0,0,0,0,88,70,79.55,57.74,29,6,16,7,19,7,11,1,47,22,46.81,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,2,0,14,4,28.57,0,0,0,0,0,12,7,58.33,12,5,41.67,1,1,100,11,3,5,1,0,29,18,62.07,12,10,83.33,38,36,94.74,7,3,42.86,7,4,57.14,11,6,54.55,0,0,0,3,3,100,1,19.62,4.19,7.95,0,18.58,2.82
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),1,0.32,4,2,50,59,50,84.75,39.52,16,1,8,7,17,2,13,2,53,23,43.4,2,1,50,6,2,33.33,0,0,0,1,1,100,3,0,0,0,0,0,3,2,66.67,2,0,2,0,2,2,26,10,38.46,0,0,0,0,0,12,7,58.33,10,3,30,0,0,0,6,1,2,1,0,30,24,80,6,5,83.33,15,13,86.67,9,4,44.44,12,9,75,15,12,80,0,0,0,4,3,75,2,14.18,2.36,15.25,19.77,20.44,13.43
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,22,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0.11,1,0,0,110,91,82.73,60.48,23,3,14,6,17,10,5,2,53,27,50.94,0,0,0,6,1,16.67,1,0,0,0,0,0,1,0,0,0,0,0,3,2,66.67,2,0,2,0,2,2,12,5,41.67,1,1,2,2,100,26,16,61.54,10,4,40,1,0,0,8,7,5,0,0,32,24,75,19,17,89.47,43,40,93.02,7,3,42.86,7,6,85.71,16,11,68.75,2,0,0,6,6,100,0,17.28,4.78,6.36,12.49,18.25,6.67
