Date,Match,Competition,Duration,Team,Scheme,xG,Shots / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Offensive duels / won,,,Offsides
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.21,2,1,50,2,2,100,0,0,0,0,0,0,1,0,0,0,0,0,3,1,33.33,9,8,88.89,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,15,UC Irvine Anteaters,4-2-3-1 (100.0%),0.04,1,1,100,3,1,33.33,0,0,0,2,0,0,0,0,0,0,0,0,3,1,33.33,11,5,45.45,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,5,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,1,25,11,5,45.45,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,15,UC Davis Aggies,4-1-3-2 (0.11%),0.31,3,2,66.67,6,3,50,0,0,0,0,0,0,0,0,0,0,0,0,5,2,40,10,4,40,1
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),1.26,3,2,66.67,4,2,50,0,0,0,0,0,0,2,1,50,0,0,0,5,3,60,14,7,50,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,15,CSUN Matadors,4-2-3-1 (100.0%),0.78,1,1,100,2,1,50,1,1,100,0,0,0,0,0,0,0,0,0,1,0,0,12,2,16.67,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,9,5,55.56,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,15,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0.05,1,1,100,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,5,2,40,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC San Diego Tritons,4-4-2 (100.0%),0.94,4,2,50,5,2,40,0,0,0,0,0,0,1,0,0,1,1,100,1,1,100,9,3,33.33,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,15,UC Riverside Highlanders,3-4-1-2 (0.0%),0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,9,3,33.33,0
