Date,Match,Competition,Duration,Team,Scheme,Passes / accurate,,,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),91,66,72.53,41,24,58.54,11,11,100,23,17,73.91,16,6,37.5,16,5,31.25,21,11,52.38,0,0,0,7,7,100,2
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),100,75,75,40,27,67.5,10,8,80,32,26,81.25,5,2,40,8,6,75,15,12,80,0,0,0,3,2,66.67,6
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC San Diego Tritons,4-4-2 (100.0%),86,71,82.56,29,22,75.86,9,9,100,36,29,80.56,14,9,64.29,14,12,85.71,25,21,84,0,0,0,5,4,80,1
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC Davis Aggies,4-1-3-2 (0.0%),56,41,73.21,23,11,47.83,10,10,100,16,15,93.75,12,4,33.33,16,6,37.5,10,6,60,0,0,0,5,4,80,4
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,UC San Diego Tritons,4-4-2 (100.0%),72,58,80.56,34,24,70.59,8,7,87.5,21,19,90.48,10,6,60,15,9,60,14,12,85.71,2,1,50,4,4,100,4
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-2-3-1 (100.0%),73,55,75.34,30,20,66.67,5,5,100,24,19,79.17,13,6,46.15,12,8,66.67,18,12,66.67,0,0,0,5,5,100,2
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),84,68,80.95,39,31,79.49,10,8,80,26,21,80.77,13,8,61.54,14,13,92.86,18,16,88.89,1,1,100,3,3,100,1
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),122,102,83.61,45,33,73.33,12,12,100,52,49,94.23,7,6,85.71,13,10,76.92,21,17,80.95,0,0,0,3,3,100,4
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (100.0%),61,46,75.41,25,19,76,13,9,69.23,16,12,75,13,8,61.54,11,7,63.64,11,8,72.73,0,0,0,7,4,57.14,1
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC Riverside Highlanders,3-4-1-2 (0.0%),78,59,75.64,31,19,61.29,12,11,91.67,27,23,85.19,10,2,20,10,3,30,11,4,36.36,0,0,0,2,2,100,2
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (66.23%),100,76,76,44,27,61.36,20,19,95,24,21,87.5,18,9,50,18,10,55.56,26,18,69.23,0,0,0,10,10,100,1
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,Cal Poly Mustangs,4-2-3-1 (100.0%),93,61,65.59,33,14,42.42,15,15,100,31,22,70.97,21,5,23.81,12,4,33.33,23,11,47.83,0,0,0,2,2,100,2
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-2-3-1 (100.0%),54,36,66.67,27,19,70.37,9,7,77.78,10,7,70,12,7,58.33,11,6,54.55,11,9,81.82,1,1,100,3,3,100,1
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,4-4-2 (0.0%),57,44,77.19,19,14,73.68,10,8,80,19,15,78.95,15,7,46.67,13,10,76.92,20,13,65,2,1,50,2,1,50,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),63,47,74.6,26,19,73.08,7,5,71.43,19,16,84.21,9,4,44.44,9,4,44.44,16,10,62.5,0,0,0,2,1,50,1
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),86,71,82.56,37,30,81.08,10,10,100,32,29,90.63,10,6,60,19,15,78.95,18,17,94.44,0,0,0,5,3,60,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (0.0%),48,31,64.58,24,12,50,6,4,66.67,13,11,84.62,8,3,37.5,12,5,41.67,16,11,68.75,2,1,50,3,2,66.67,3
