Date,Match,Competition,Duration,Team,Scheme,Goals,Difference in Goals/xG,xG,Shots,Shot on target percentage,Shots on target,Passes,Passes accurate,"Possession, %",Losses,Losses Low,Corners with shots percentage,Losses Medium,Losses High,Recoveries,Recoveries Low,Penalty conversion percentage,Recoveries Medium,Recoveries High,Crossing percentage,Duels,Duels won,Offensive duels percentage,Shots from outside penalty area,Shots from outside penalty area on target,Positional attacks,Positional attacks with shots,Counterattacks,Shots against on target percentage,Counterattacks with shots,Corners,Defensive duels percentage,Corners with shots,Free kicks,Aerial duels percentage,Free kicks with shots,Penalties,Sliding tackle percentage,Penalties converted,Crosses,Crosses accurate,Deep completed crosses,Deep completed passes,Penalty area entries (runs,Penalty area entries (runs crosses),Touches in penalty area,Passes percentage,Offensive duels,Offensive duels won,Offsides,Conceded goals,Shots against,Shots against on target,Defensive duels,Defensive duels won,Aerial duels,Aerial duels won,Sliding tackles,Duels percentage,Sliding tackles successful,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Forward passes percentage,Back passes,Back passes accurate,Back passes percentage,Lateral passes,Lateral passes accurate,Lateral passes percentage,Long passes,Long passes accurate,Long passes percentage,Passes to final third,Passes to final third accurate,Passes to final third percentage,Progressive passes,Progressive passes accurate,Progressive passes percentage,Smart passes,Smart passes accurate,Smart passes percentage,Throw ins,Throw ins accurate,Throw in percentage,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Minute
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,-0.02,0.02,2,0.0,0,80,66,60.31,22,5,,12,5,17,8,,7,2,0.0,37,20,0.2,2,0,2,2,0,,0,0,0.7,0,0,0.7272727272727273,0,0,,0,1,0,0,0,2,0,0,0.825,10,2,0,0,0,0,10,7,11,8,0,0.5405405405405406,0,6,5,1,0,0,18,12,0.6666666666666666,12,11,0.9166666666666666,43,39,0.9069767441860465,4,2,0.5,5,2,0.4,8,3,0.375,1,0,0.0,2,2,1.0,2,15.37,5.0,5.0,31.01,20.94,6.25,1-15
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,-0.15,0.15,3,0.0,0,95,85,73.45,13,0,0.3333333333333333,6,7,9,5,,1,3,0.3333333333333333,24,10,0.3333333333333333,1,0,1,0,3,,1,3,0.625,1,1,0.0,1,0,,0,3,1,1,1,7,0,2,0.8947368421052632,12,4,0,0,0,0,8,5,1,0,0,0.4166666666666667,0,2,1,2,0,0,34,28,0.8235294117647058,10,10,1.0,41,38,0.926829268292683,6,3,0.5,6,2,0.3333333333333333,11,10,0.9090909090909091,1,0,0.0,5,5,1.0,1,16.6,5.59,6.32,18.65,21.32,4.67,16-30
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),0,-0.44,0.44,7,0.14285714285714285,1,64,56,58.94,14,2,0.6666666666666666,5,7,10,4,,4,2,0.0,33,15,0.5,2,1,8,5,0,1.0,0,3,0.25,2,1,0.5,0,0,,0,1,0,0,4,6,0,9,0.875,16,8,0,1,1,1,4,1,10,5,0,0.45454545454545453,0,4,1,2,1,0,22,17,0.7727272727272727,9,9,1.0,27,25,0.9259259259259259,8,6,0.75,8,6,0.75,13,11,0.8461538461538461,0,0,,5,5,1.0,0,16.3,4.0,12.5,18.73,18.81,4.67,61-75
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,Pacific Tigers,4-4-1-1 (100.0%),1,0.15000000000000002,0.85,4,0.5,2,66,57,63.52,14,4,0.0,3,7,10,4,1.0,3,3,0.0,25,10,0.5454545454545454,2,1,3,1,0,1.0,0,2,0.3333333333333333,0,0,0.3333333333333333,0,1,,1,2,0,0,2,4,0,5,0.8636363636363636,11,6,0,0,2,2,6,2,6,2,0,0.4,0,5,1,4,0,0,24,20,0.8333333333333334,11,10,0.9090909090909091,24,24,1.0,4,2,0.5,5,4,0.8,14,10,0.7142857142857143,1,1,1.0,2,2,1.0,1,16.58,5.08,6.06,19.37,20.48,4.33,46-60
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0,0.0,0.0,0,,0,34,23,26.55,15,6,,5,4,12,7,,5,0,,24,12,0.375,0,0,2,0,0,,0,0,0.6666666666666666,0,0,1.0,0,0,,0,0,0,0,0,1,0,0,0.6764705882352942,8,3,0,0,0,0,12,8,1,1,0,0.5,0,7,5,2,0,0,20,11,0.55,7,7,1.0,5,3,0.6,7,3,0.42857142857142855,7,3,0.42857142857142855,9,5,0.5555555555555556,0,0,,2,1,0.5,0,16.44,2.43,20.59,0.0,22.81,26.67,16-30
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0,0.0,0.0,0,,0,43,30,39.69,24,2,0.0,12,10,14,2,,10,2,0.3333333333333333,37,15,0.3,0,0,7,0,0,,0,1,0.8,0,0,0.18181818181818182,0,0,0.0,0,3,1,2,0,3,1,2,0.6976744186046512,10,3,0,0,0,0,10,8,11,2,1,0.40540540540540543,0,9,1,1,0,0,12,9,0.75,10,9,0.9,14,8,0.5714285714285714,5,2,0.4,6,3,0.5,7,4,0.5714285714285714,0,0,,8,8,1.0,2,12.55,2.26,11.63,0.0,19.74,10.43,1-15
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (100.0%),0,-0.73,0.73,3,0.6666666666666666,2,35,29,36.48,16,6,1.0,1,9,11,7,,2,2,0.6666666666666666,25,15,0.6666666666666666,0,0,4,2,0,1.0,0,1,0.45454545454545453,1,0,0.6666666666666666,0,0,,0,3,2,2,0,3,0,4,0.8285714285714286,6,4,0,1,2,2,11,5,6,4,0,0.6,0,7,1,2,0,0,13,9,0.6923076923076923,4,4,1.0,9,8,0.8888888888888888,6,4,0.6666666666666666,8,5,0.625,8,7,0.875,0,0,,2,2,1.0,1,15.31,3.18,17.14,11.57,20.83,15.0,46-60
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,15,UC San Diego Tritons,4-4-1-1 (81.56%),1,0.24,0.76,1,1.0,1,18,12,41.06,14,4,0.0,5,5,7,1,1.0,5,1,0.0,33,16,0.75,0,0,1,0,0,1.0,0,1,0.5,0,0,0.4,0,1,,1,2,0,0,0,2,1,1,0.6666666666666666,4,3,0,0,1,1,16,8,10,4,0,0.48484848484848486,0,8,7,1,1,0,10,8,0.8,2,1,0.5,3,1,0.3333333333333333,4,2,0.5,4,2,0.5,5,3,0.6,0,0,,1,1,1.0,2,6.58,1.38,22.22,10.5,26.73,18.5,61-75
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,Pacific Tigers,4-4-1-1 (100.0%),0,-0.1,0.1,2,0.0,0,106,87,69.56,18,3,0.0,5,10,16,7,,7,2,0.2857142857142857,36,18,0.5,0,0,9,2,1,,0,2,0.6923076923076923,0,0,0.3333333333333333,0,0,,0,7,2,0,3,9,0,6,0.8207547169811321,14,7,1,0,0,0,13,9,6,2,0,0.5,0,4,1,2,0,0,31,24,0.7741935483870968,16,14,0.875,42,36,0.8571428571428571,9,4,0.4444444444444444,12,10,0.8333333333333334,15,10,0.6666666666666666,2,1,0.5,6,6,1.0,0,16.97,4.82,8.49,19.66,22.97,14.5,31-45
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,16,UC San Diego Tritons,4-4-1-1 (100.0%),0,0.0,0.0,0,,0,40,30,30.44,17,4,,4,9,13,6,,4,3,0.5,36,18,0.3076923076923077,0,0,4,0,0,,0,0,0.5,0,1,0.6666666666666666,0,0,,0,2,1,1,0,2,0,0,0.75,13,4,0,0,0,0,14,7,6,4,0,0.5,0,13,7,2,0,0,13,9,0.6923076923076923,5,4,0.8,17,13,0.7647058823529411,8,4,0.5,6,3,0.5,9,6,0.6666666666666666,0,0,,2,2,1.0,4,14.64,1.6,20.0,0.0,20.59,11.0,31-45
