Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2022-10-30,UC San Diego Tritons - UC Irvine Anteaters 0:1,United States. NCAA D1 Big West,97,UC San Diego Tritons,4-4-2 (100.0%),0,0.48,8,2,25,336,250,74.4,43.07,118,15,45,58,88,33,44,11,222,97,43.69,3,0,0,23,3,13.04,0,0,0,6,4,66.67,6,1,16.67,0,0,0,20,5,25,6,7,26,2,10,20,82,28,34.15,1,1,17,3,17.65,90,53,58.89,27,8,29.63,2,1,50,25,15,12,1,0,132,82,62.12,58,49,84.48,99,83,83.84,52,19,36.54,47,28,59.57,58,42,72.41,3,1,33.33,20,16,80,11,14.53,2.87,15.48,14.49,21.57,13.7
2022-10-30,UC San Diego Tritons - UC Irvine Anteaters 0:1,United States. NCAA D1 Big West,97,UC Irvine Anteaters,4-4-2 (91.07%),1,1.49,17,3,17.65,469,387,82.52,56.93,120,23,49,48,82,47,31,4,222,114,51.35,8,1,12.5,27,12,44.44,0,0,0,5,4,80,2,1,50,0,0,0,9,3,33.33,3,5,17,2,8,14,90,37,41.11,1,0,8,3,37.5,82,54,65.85,27,13,48.15,1,0,0,56,18,14,1,0,170,116,68.24,66,64,96.97,181,167,92.27,51,21,41.18,62,37,59.68,73,48,65.75,3,1,33.33,18,18,100,5,15.34,4.3,10.87,19.04,19.75,7.77
2022-10-23,UC Davis Aggies - UC San Diego Tritons 0:1,United States. NCAA D1 Big West,96,UC San Diego Tritons,4-2-3-1 (86.89%),1,0.38,6,2,33.33,207,143,69.08,32.59,122,49,40,33,84,53,28,3,273,112,41.03,0,0,0,17,5,29.41,0,0,0,4,1,25,2,0,0,0,0,0,15,3,20,6,3,16,3,9,12,92,26,28.26,4,0,22,4,18.18,94,50,53.19,74,33,44.59,2,0,0,64,39,4,1,0,91,52,57.14,29,27,93.1,62,43,69.35,34,15,44.12,37,22,59.46,56,34,60.71,0,0,0,20,15,75,19,12.89,1.92,16.43,13.09,21.84,13.24
2022-10-23,UC Davis Aggies - UC San Diego Tritons 0:1,United States. NCAA D1 Big West,96,UC Davis Aggies,4-2-3-1 (100.0%),0,3.06,22,4,18.18,490,411,83.88,67.41,128,6,38,84,88,21,43,24,273,157,57.51,13,1,7.69,45,15,33.33,0,0,0,8,4,50,1,0,0,0,0,0,35,13,37.14,11,13,51,5,30,25,94,44,46.81,1,1,6,2,33.33,92,66,71.74,74,41,55.41,2,0,0,38,24,13,0,0,146,99,67.81,58,57,98.28,231,209,90.48,50,29,58,85,60,70.59,86,75,87.21,0,0,0,34,33,97.06,11,14.75,3.98,10.2,20.51,20.87,3.9
2022-10-20,UC San Diego Tritons - CSUN Matadors 0:1,United States. NCAA D1 Big West,96,UC San Diego Tritons,4-4-1-1 (100.0%),0,0.78,9,2,22.22,415,338,81.45,50.33,114,15,44,55,80,33,33,14,205,99,48.29,3,0,0,36,6,16.67,0,0,0,5,2,40,4,0,0,0,0,0,13,5,38.46,4,3,24,8,8,16,84,31,36.9,2,1,8,1,12.5,68,41,60.29,28,16,57.14,0,0,0,33,16,9,1,0,150,110,73.33,65,57,87.69,136,120,88.24,45,18,40,65,46,70.77,85,65,76.47,4,1,25,31,23,74.19,6,15.12,3.37,10.84,19.8,19.27,11.25
2022-10-20,UC San Diego Tritons - CSUN Matadors 0:1,United States. NCAA D1 Big West,96,CSUN Matadors,3-4-2-1 (100.0%),1,0.79,8,1,12.5,414,330,79.71,49.67,121,21,49,51,78,38,31,9,205,99,48.29,3,0,0,26,5,19.23,1,0,0,4,2,50,2,1,50,0,0,0,14,7,50,5,2,25,1,9,14,68,27,39.71,0,0,9,2,22.22,84,53,63.1,28,10,35.71,2,1,50,35,17,14,2,0,120,70,58.33,53,49,92.45,195,176,90.26,52,22,42.31,54,24,44.44,55,37,67.27,2,0,0,23,16,69.57,6,15.28,3.87,12.56,17.02,20.14,10.04
2022-10-16,UC San Diego Tritons - Cal Poly Mustangs 4:3,United States. NCAA D1 Big West,99,UC San Diego Tritons,4-4-1-1 (25.16%),4,2.75,11,5,45.45,296,201,67.91,40.95,141,39,48,54,109,53,45,11,248,113,45.56,2,0,0,27,8,29.63,0,0,0,1,0,0,6,2,33.33,1,1,100,13,6,46.15,5,1,21,8,7,16,95,43,45.26,8,3,21,11,52.38,75,42,56,37,12,32.43,0,0,0,43,11,15,2,0,141,82,58.16,48,44,91.67,71,56,78.87,55,23,41.82,55,30,54.55,77,38,49.35,1,0,0,15,13,86.67,11,15.03,2.49,18.58,12.64,20.57,9.67
2022-10-16,UC San Diego Tritons - Cal Poly Mustangs 4:3,United States. NCAA D1 Big West,99,Cal Poly Mustangs,4-1-4-1 (100.0%),3,2.56,21,10,47.62,404,312,77.23,59.05,133,12,51,70,99,43,32,24,248,127,51.21,7,1,14.29,44,17,38.64,0,0,0,5,1,20,4,0,0,0,0,0,21,9,42.86,6,12,43,13,11,38,75,33,44,0,4,11,5,45.45,95,52,54.74,37,20,54.05,3,2,66.67,50,9,24,3,0,153,98,64.05,43,41,95.35,170,146,85.88,51,30,58.82,53,32,60.38,77,55,71.43,2,0,0,28,24,85.71,5,14.23,3.18,12.62,17.86,22.53,4.74
2022-10-13,Cal State Fullerton Titans - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,95,UC San Diego Tritons,4-4-1-1 (100.0%),0,0.79,15,6,40,400,314,78.5,47.07,121,17,51,53,103,45,49,9,228,99,43.42,10,5,50,37,11,29.73,2,0,0,7,1,14.29,3,1,33.33,0,0,0,10,0,0,0,9,26,4,6,18,80,35,43.75,1,1,9,5,55.56,54,30,55.56,36,11,30.56,3,2,66.67,43,16,10,0,0,171,124,72.51,51,45,88.24,101,87,86.14,49,23,46.94,58,45,77.59,86,63,73.26,3,2,66.67,25,19,76,8,16.51,3.45,12.25,21.59,18.33,9.61
2022-10-13,Cal State Fullerton Titans - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,95,Cal State Fullerton Titans,4-1-4-1 (59.7%),1,0.66,9,5,55.56,408,300,73.53,52.93,132,16,62,54,89,40,44,5,228,115,50.44,6,4,66.67,16,5,31.25,7,2,28.57,2,0,0,1,0,0,0,0,0,8,2,25,2,5,19,1,6,9,54,24,44.44,1,0,15,6,40,80,45,56.25,36,21,58.33,7,5,71.43,47,23,13,1,0,176,97,55.11,51,47,92.16,118,103,87.29,65,26,40,59,24,40.68,74,40,54.05,1,0,0,25,23,92,8,14.98,3.61,15.93,24.08,18.43,7.05
2022-10-09,CSU Bakersfield Roadrunners - UC San Diego Tritons 1:2,United States. NCAA D1 Big West,106,UC San Diego Tritons,4-1-4-1 (100.0%),2,0.91,14,6,42.86,341,250,73.31,43.11,141,18,59,64,101,49,37,15,200,99,49.5,5,3,60,33,10,30.3,0,0,0,8,3,37.5,4,1,25,0,0,0,10,2,20,2,4,12,2,3,14,75,32,42.67,1,1,11,4,36.36,61,41,67.21,47,18,38.3,1,0,0,34,10,11,5,0,143,81,56.64,51,46,90.2,96,86,89.58,53,16,30.19,52,29,55.77,56,36,64.29,0,0,0,24,16,66.67,11,14.67,2.82,15.54,18.87,20.9,12.93
2022-10-09,CSU Bakersfield Roadrunners - UC San Diego Tritons 1:2,United States. NCAA D1 Big West,106,CSU Bakersfield Roadrunners,4-1-4-1 (41.27%),1,1.08,11,4,36.36,491,407,82.89,56.89,125,19,45,61,94,47,41,6,200,98,49,7,2,28.57,28,6,21.43,0,0,0,4,2,50,3,0,0,0,0,0,12,3,25,3,5,26,4,11,8,61,20,32.79,1,2,14,6,42.86,75,43,57.33,47,29,61.7,5,2,40,59,21,15,2,1,173,128,73.99,72,67,93.06,193,169,87.56,63,29,46.03,74,47,63.51,102,73,71.57,2,0,0,26,24,92.31,7,16,4.31,12.83,25.05,21.05,7.21
