Date,Match,Competition,Duration,Team,Scheme,Goals,xG,Shots / on target,,,Passes / accurate,,,"Possession, %",Losses / Low / Medium / High,,,,Recoveries / Low / Medium / High,,,,Duels / won,,,Shots from outside penalty area / on target,,,Positional attacks / with shots,,,Counterattacks / with shots,,,Corners / with shots,,,Free kicks / with shots,,,Penalties / converted,,,Crosses / accurate,,,Deep completed crosses,Deep completed passes,Penalty area entries (runs / crosses),,,Touches in penalty area,Offensive duels / won,,,Offsides,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes / accurate,,,Back passes / accurate,,,Lateral passes / accurate,,,Long passes / accurate,,,Passes to final third / accurate,,,Progressive passes / accurate,,,Smart passes / accurate,,,Throw ins / accurate,,,Goal kicks,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,101,UC San Diego Tritons,4-4-2 (100.0%),1,0.93,15,6,40,411,296,72.02,45.82,159,26,68,65,118,47,55,16,215,111,51.63,10,4,40,30,9,30,2,2,100,4,3,75,2,1,50,0,0,0,20,6,30,5,5,28,1,17,13,77,38,49.35,2,3,12,6,50,69,37,53.62,24,12,50,6,2,33.33,53,14,15,0,0,177,104,58.76,64,55,85.94,109,85,77.98,63,27,42.86,61,25,40.98,73,39,53.42,0,0,0,34,31,91.18,6,17.16,3.24,15.33,21.86,19.8,9.15
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,101,UC Irvine Anteaters,4-2-3-1 (86.02%),3,0.82,12,6,50,498,382,76.71,54.18,141,23,60,58,102,37,45,20,215,95,44.19,7,3,42.86,27,5,18.52,2,2,100,9,3,33.33,2,0,0,0,0,0,11,3,27.27,3,12,22,5,7,15,69,32,46.38,0,1,15,6,40,77,39,50.65,24,9,37.5,3,1,33.33,48,33,12,4,0,170,117,68.82,64,56,87.5,187,156,83.42,48,25,52.08,55,38,69.09,94,64,68.09,0,0,0,20,16,80,10,17.59,3.83,9.64,18.87,19.68,9.26
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,97,UC San Diego Tritons,4-4-2 (100.0%),1,0.97,11,4,36.36,353,270,76.49,49.09,121,16,38,67,91,39,35,17,247,124,50.2,3,1,33.33,36,4,11.11,1,0,0,8,1,12.5,8,2,25,0,0,0,28,13,46.43,10,4,36,5,20,16,88,38,43.18,0,2,7,3,42.86,65,49,75.38,58,21,36.21,2,2,100,21,8,7,1,0,140,95,67.86,51,47,92.16,116,93,80.17,54,33,61.11,70,48,68.57,92,73,79.35,1,0,0,33,30,90.91,8,14.1,2.65,15.3,15.86,22.77,15.88
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,97,UC Davis Aggies,4-1-3-2 (47.48%),2,0.49,7,3,42.86,341,263,77.13,50.91,112,31,27,54,91,50,32,9,247,108,43.72,4,0,0,27,6,22.22,0,0,0,2,0,0,1,0,0,0,0,0,16,8,50,8,4,20,1,13,11,65,16,24.62,3,1,11,4,36.36,88,50,56.82,58,29,50,3,3,100,61,36,23,1,0,120,70,58.33,34,33,97.06,145,125,86.21,64,29,45.31,64,36,56.25,76,55,72.37,1,0,0,24,22,91.67,13,13.13,2.91,18.77,21.23,24.7,5.55
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,103,UC San Diego Tritons,4-4-2 (100.0%),1,1.44,7,2,28.57,333,257,77.18,44.54,126,21,41,64,90,36,37,17,249,114,45.78,3,0,0,23,4,17.39,0,0,0,4,0,0,3,1,33.33,0,0,0,15,6,40,8,4,23,4,12,12,77,26,33.77,0,2,15,5,33.33,79,47,59.49,48,21,43.75,6,4,66.67,29,9,11,3,0,139,92,66.19,43,38,88.37,108,94,87.04,55,28,50.91,59,37,62.71,66,48,72.73,3,1,33.33,30,26,86.67,9,13.83,3.03,16.52,17.74,21.36,10.83
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,103,CSUN Matadors,4-2-3-1 (100.0%),2,2.74,15,5,33.33,413,340,82.32,55.46,108,25,36,47,99,52,34,13,249,124,49.8,8,1,12.5,30,12,40,6,2,33.33,3,0,0,0,0,0,0,0,0,14,6,42.86,6,9,31,5,9,17,79,32,40.51,1,1,7,2,28.57,77,51,66.23,48,24,50,7,6,85.71,30,19,13,1,0,150,100,66.67,45,43,95.56,171,155,90.64,57,26,45.61,59,35,59.32,74,53,71.62,1,0,0,21,20,95.24,7,13.77,3.75,13.8,19.03,20.14,10.27
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,102,UC San Diego Tritons,4-4-2 (100.0%),1,1.65,12,3,25,336,271,80.65,41.26,101,12,41,48,91,31,45,15,213,93,43.66,6,1,16.67,44,7,15.91,3,1,33.33,6,0,0,4,2,50,0,0,0,22,3,13.64,3,8,37,13,15,26,79,30,37.97,2,0,7,2,28.57,60,32,53.33,39,19,48.72,4,1,25,59,3,20,3,0,136,100,73.53,49,47,95.92,100,81,81,35,18,51.43,58,47,81.03,66,53,80.3,1,1,100,24,19,79.17,4,14.95,3.05,10.42,16.93,20.53,9.29
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,102,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),0,0.43,7,2,28.57,520,435,83.65,58.74,120,26,59,35,84,39,40,5,213,110,51.64,2,1,50,20,3,15,1,0,0,4,2,50,4,0,0,0,0,0,11,2,18.18,2,2,17,7,5,19,60,28,46.67,0,1,12,3,25,79,49,62.03,39,15,38.46,5,2,40,37,11,17,3,0,164,116,70.73,59,54,91.53,244,230,94.26,36,16,44.44,39,28,71.79,75,45,60,0,0,0,17,13,76.47,10,16.25,4.44,6.92,17.59,19.22,6.17
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,104,UC San Diego Tritons,4-4-2 (100.0%),5,2.01,14,8,57.14,259,205,79.15,36.98,90,15,26,49,75,23,36,16,224,94,41.96,7,3,42.86,28,8,28.57,0,0,0,4,1,25,8,0,0,1,1,100,17,8,47.06,8,8,20,3,12,18,92,31,33.7,1,2,10,5,50,72,37,51.39,33,15,45.45,0,0,0,39,9,11,3,0,112,83,74.11,40,34,85,74,59,79.73,47,31,65.96,52,34,65.38,68,56,82.35,0,0,0,20,14,70,7,13.32,2.31,18.15,18.44,22.15,19
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,104,UC Riverside Highlanders,3-4-1-2 (20.24%),2,1.55,10,5,50,533,454,85.18,63.02,103,20,39,44,78,45,22,11,224,119,53.13,3,1,33.33,31,2,6.45,4,3,75,5,1,20,6,2,33.33,0,0,0,15,5,33.33,5,5,17,6,7,17,72,35,48.61,2,5,14,8,57.14,92,61,66.3,33,13,39.39,5,2,40,34,20,19,2,1,167,125,74.85,72,68,94.44,226,209,92.48,32,12,37.5,45,29,64.44,78,52,66.67,2,0,0,18,17,94.44,6,16.08,4.8,6,16.95,19.99,6.54
