Date,Match,Competition,Duration,Team,Scheme,Points,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,99,UC Santa Barbara Gauchos,4-2-3-1 (100.0%),3,26,0.6538461538461539,17,21.11,3.81,17.05,64,0.9375,60,0.16853932584269662,9,1,11,3,0.2727272727272727,1,1,1.0,17,4,0.23529411764705882,4,13,92,0.5652173913043478,52,0.7800000000000002,261,0.48659003831417624,127,151,0.7350993377483444,111,0.31179775280898875,15,1,2,4,4,5,34,163,0.8834355828220859,144,0.4044943820224719,9.74,42,0.4523809523809524,19,0.05337078651685393,107,66,10,31,16.11,96,0.4479166666666667,43,2,6.29,431,0.8259860788863109,356,65,0.6923076923076923,45,0.12640449438202248,1,1,35,10,1.0,49,12,0.24489795918367346,50.47,82,0.8658536585365854,71,0.199438202247191,83,14,29,40,0,21,7,2,0.2857142857142857,10,4,0.4,0.3333333333333333,12,0.5714285714285714,0.5384615384615384,13,7,11,0.6363636363636364,7,0.019662921348314606,0.9473684210526315,19,18,33,2,4.22
2023-08-20,UC Santa Barbara Gauchos - Westmont Warriors 5:1,United States. NCAA D1 Non-conference matches,99,Westmont Warriors,4-1-4-1 (70.4%),0,26,0.19230769230769232,5,19.16,3.31,19.45,58,0.9482758620689655,55,0.1757188498402556,25,5,4,0,0.0,1,0,0.0,6,1,0.16666666666666666,1,6,96,0.5520833333333334,53,0.7,261,0.46360153256704983,121,148,0.7635135135135135,113,0.3610223642172524,11,2,0,-4,10,1,37,118,0.8813559322033898,104,0.33226837060702874,9.55,36,0.5555555555555556,20,0.06389776357827476,107,37,21,49,14.36,92,0.43478260869565216,40,1,16.24,377,0.830238726790451,313,37,0.6216216216216216,23,0.07348242811501597,0,0,14,6,,20,5,0.25,49.53,63,0.6190476190476191,39,0.12460063897763578,80,10,50,20,0,7,21,12,0.5714285714285714,2,0,0.0,0.0,2,0.2857142857142857,0.6,5,3,3,0.3333333333333333,1,0.003194888178913738,0.6842105263157895,19,13,14,0,0.3
2023-08-24,UC Irvine Anteaters - UNLV Rebels 1:0,United States. NCAA D1 Non-conference matches,108,UC Irvine Anteaters,4-2-3-1 (100.0%),3,34,0.3235294117647059,11,19.31,4.34,16.53,64,0.9375,60,0.14218009478672985,15,0,8,2,0.25,0,0,,17,6,0.35294117647058826,6,5,61,0.639344262295082,39,-0.6599999999999999,210,0.4380952380952381,92,157,0.7070063694267515,111,0.26303317535545023,17,2,1,1,8,1,26,223,0.9147982062780269,204,0.4834123222748815,8.27,42,0.42857142857142855,18,0.04265402843601896,127,56,22,49,17.75,78,0.358974358974359,28,1,9.07,508,0.8307086614173228,422,47,0.6382978723404256,30,0.07109004739336493,0,0,18,2,,36,7,0.19444444444444445,56.78,76,0.6447368421052632,49,0.11611374407582939,85,18,29,38,0,10,4,1,0.25,4,0,0.0,0.0,2,0.2,0.5,2,1,0,,0,0.0,1.0,35,35,19,3,1.66
2023-08-24,UC Irvine Anteaters - UNLV Rebels 1:0,United States. NCAA D1 Non-conference matches,108,UNLV Rebels,4-2-3-1 (78.06%),0,34,0.5882352941176471,20,20.11,3.21,17.01,41,0.926829268292683,38,0.14728682170542637,28,1,1,1,1.0,0,0,,11,6,0.5454545454545454,6,1,78,0.6410256410256411,50,-0.26,210,0.5095238095238095,107,125,0.608,76,0.29457364341085274,11,3,2,-1,11,0,48,122,0.8934426229508197,109,0.42248062015503873,12.76,43,0.5116279069767442,22,0.08527131782945736,122,45,29,48,15.47,61,0.36065573770491804,22,1,11.15,337,0.7655786350148368,258,46,0.5869565217391305,27,0.10465116279069768,0,0,12,0,,22,1,0.045454545454545456,43.22,66,0.6363636363636364,42,0.16279069767441862,83,9,34,40,0,4,10,3,0.3,1,1,1.0,1.0,1,0.25,0.3333333333333333,3,1,2,0.0,0,0.0,0.8333333333333334,24,20,7,1,0.26
2023-08-25,CSU Bakersfield Roadrunners - San Jose State Spartans 1:1,United States. NCAA D1 Non-conference matches,99,CSU Bakersfield Roadrunners,4-1-4-1 (100.0%),1,25,0.36,9,19.45,3.31,20.88,70,0.9714285714285714,68,0.2328767123287671,11,1,6,3,0.5,1,1,1.0,15,2,0.13333333333333333,1,7,84,0.6309523809523809,53,-0.15999999999999992,247,0.48582995951417,120,127,0.7086614173228346,90,0.3082191780821918,19,5,0,0,9,1,29,102,0.8431372549019608,86,0.2945205479452055,9.89,36,0.4166666666666667,15,0.05136986301369863,107,65,17,25,14.29,82,0.4268292682926829,35,0,10.74,364,0.8021978021978022,292,46,0.6086956521739131,28,0.0958904109589041,0,0,19,3,,38,8,0.21052631578947367,47.33,57,0.6491228070175439,37,0.1267123287671233,86,22,31,33,0,16,9,2,0.2222222222222222,9,1,0.1111111111111111,0.16666666666666666,6,0.375,0.5555555555555556,9,5,0,,0,0.0,0.55,20,11,15,4,1.16
2023-08-25,CSU Bakersfield Roadrunners - San Jose State Spartans 1:1,United States. NCAA D1 Non-conference matches,99,San Jose State Spartans,3-4-2-1 (40.64%),1,25,0.56,14,17.78,4.47,16.94,73,0.958904109589041,70,0.16166281755196305,26,1,2,0,0.0,2,2,1.0,11,4,0.36363636363636365,6,6,82,0.573170731707317,47,-0.3799999999999999,247,0.46963562753036436,116,188,0.8138297872340425,153,0.3533487297921478,11,3,1,0,13,1,46,183,0.8852459016393442,162,0.3741339491916859,5.39,27,0.48148148148148145,13,0.03002309468822171,107,40,31,36,17.67,84,0.36904761904761907,31,3,9.04,501,0.8642714570858283,433,45,0.6222222222222222,28,0.06466512702078522,0,0,22,2,,23,4,0.17391304347826086,52.67,72,0.6111111111111112,44,0.10161662817551963,81,12,48,21,0,9,16,6,0.375,3,1,0.3333333333333333,0.5,2,0.2222222222222222,0.7777777777777778,9,7,2,1.0,2,0.004618937644341801,0.9285714285714286,14,13,15,1,1.38
2023-08-25,Ohio State Buckeyes - CSUN Matadors 1:1,United States. NCAA D1 Non-conference matches,109,CSUN Matadors,4-2-3-1 (89.57%),1,55,0.4,22,19.78,2.2,24.15,31,0.9032258064516129,28,0.15555555555555556,24,1,4,1,0.25,0,0,,16,2,0.125,3,1,98,0.6428571428571429,63,0.81,280,0.44642857142857145,125,98,0.6224489795918368,61,0.3388888888888889,14,3,0,0,17,1,65,71,0.8591549295774648,61,0.3388888888888889,15.42,37,0.4594594594594595,17,0.09444444444444444,114,45,31,38,13.44,83,0.30120481927710846,25,0,8.43,240,0.75,180,31,0.6129032258064516,19,0.10555555555555556,0,0,13,2,,21,3,0.14285714285714285,35.31,44,0.6818181818181818,30,0.16666666666666666,94,14,47,33,1,5,15,4,0.26666666666666666,4,2,0.5,1.0,2,0.4,0.38461538461538464,13,5,2,0.0,0,0.0,0.8636363636363636,22,19,5,3,0.19
2023-08-25,Ohio State Buckeyes - CSUN Matadors 1:1,United States. NCAA D1 Non-conference matches,109,Ohio State Buckeyes,4-4-2 (100.0%),1,55,0.5454545454545454,30,20.11,4.26,15.81,65,0.8769230769230769,57,0.13194444444444445,10,1,7,4,0.5714285714285714,3,0,0.0,25,11,0.44,9,4,83,0.6987951807228916,58,-1.4300000000000002,280,0.5,140,192,0.765625,147,0.3402777777777778,9,4,2,0,3,1,30,189,0.8783068783068783,166,0.38425925925925924,11.17,59,0.559322033898305,33,0.0763888888888889,122,61,19,42,16.14,98,0.35714285714285715,35,0,4.83,528,0.8181818181818182,432,58,0.7068965517241379,41,0.09490740740740741,0,0,33,5,,34,7,0.20588235294117646,64.69,98,0.7857142857142857,77,0.17824074074074073,89,12,37,40,0,15,5,2,0.4,5,1,0.2,0.25,4,0.26666666666666666,0.42857142857142855,7,3,0,,0,0.0,0.9705882352941176,34,33,21,0,2.43
2023-08-25,UC Riverside Highlanders - Gonzaga Bulldogs 1:2,United States. NCAA D1 Non-conference matches,106,Gonzaga Bulldogs,3-4-3 (44.67%),3,31,0.4838709677419355,15,20.16,2.95,17.15,53,0.9433962264150944,50,0.18248175182481752,11,1,6,3,0.5,0,0,,10,5,0.5,5,8,84,0.6666666666666666,56,-0.25,246,0.532520325203252,131,131,0.7175572519083969,94,0.34306569343065696,21,7,3,1,4,2,36,109,0.8990825688073395,98,0.35766423357664234,12.42,41,0.5365853658536586,22,0.08029197080291971,92,44,17,31,15.32,86,0.4069767441860465,35,1,10.53,330,0.8303030303030303,274,48,0.6666666666666666,32,0.11678832116788321,0,0,20,6,,31,10,0.3225806451612903,41.65,65,0.7692307692307693,50,0.18248175182481752,93,17,43,33,0,19,9,4,0.4444444444444444,8,1,0.125,0.16666666666666666,6,0.3157894736842105,1.0,6,6,1,0.0,0,0.0,0.5454545454545454,11,6,21,3,2.25
2023-08-25,UC Riverside Highlanders - Gonzaga Bulldogs 1:2,United States. NCAA D1 Non-conference matches,106,UC Riverside Highlanders,3-4-1-2 (36.52%),0,31,0.3870967741935484,12,21.05,4.54,21.7,57,0.9122807017543859,52,0.12440191387559808,16,2,4,1,0.25,2,0,0.0,10,2,0.2,2,6,86,0.5930232558139535,51,0.020000000000000018,246,0.4349593495934959,107,145,0.7931034482758621,115,0.2751196172248804,21,3,0,-1,11,1,34,215,0.9395348837209302,202,0.48325358851674644,6.86,33,0.5151515151515151,17,0.04066985645933014,99,43,22,34,15.94,84,0.3333333333333333,28,2,10.0,481,0.8690228690228691,418,54,0.7407407407407407,40,0.09569377990430622,1,1,19,1,1.0,24,6,0.25,58.35,80,0.7375,59,0.14114832535885166,75,6,41,28,0,9,19,6,0.3157894736842105,6,2,0.3333333333333333,0.5,4,0.4444444444444444,1.0,2,2,2,0.5,1,0.0023923444976076554,0.9444444444444444,18,17,8,4,0.98
