Season,Date,Match,Competition,Duration,isOpponent,Team,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Scheme,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
2021,2021-08-27,Dixie State Blazers - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,93,False,UC San Diego Tritons,45,0.4666666666666667,21,20.52,3.12,19.27,62,0.9354838709677419,58,0.21641791044776118,13,1,4,2,0.5,1,0,0.0,15,2,0.13333333333333333,2,1,95,0.7157894736842105,68,-0.36,243,0.522633744855967,127,129,0.7054263565891473,91,0.33955223880597013,15,3,0,-1,9,0,28,123,0.7560975609756098,93,0.34701492537313433,12.89,45,0.4444444444444444,20,0.07462686567164178,115,44,19,52,15.47,65,0.38461538461538464,25,0,10.64,349,0.7679083094555874,268,41,0.6341463414634146,26,0.09701492537313433,0,0,21,0,,27,4,0.14814814814814814,47.59,59,0.6271186440677966,37,0.13805970149253732,75,7,28,40,0,4-4-2 (100.0%),6,6,2,0.3333333333333333,3,0,0.0,,0,0.0,1.0,1,1,0,,0,0.0,0.8285714285714286,35,29,6,1,0.36
2021,2021-08-27,Dixie State Blazers - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,93,True,Utah Tech Trailblazers,45,0.35555555555555557,16,20.71,3.19,24.07,44,0.8863636363636364,39,0.1291390728476821,24,0,1,0,0.0,4,0,0.0,14,7,0.5,4,7,65,0.6153846153846154,40,0.35,243,0.4156378600823045,101,112,0.7053571428571429,79,0.26158940397350994,14,6,0,1,11,1,46,145,0.9103448275862069,132,0.4370860927152318,13.19,48,0.5208333333333334,25,0.08278145695364239,94,42,14,38,14.66,95,0.28421052631578947,27,0,7.45,364,0.8296703296703297,302,38,0.6052631578947368,23,0.076158940397351,0,0,21,3,,31,3,0.0967741935483871,52.41,59,0.7457627118644068,44,0.1456953642384106,76,11,30,35,0,4-3-1-2 (100.0%),6,6,1,0.16666666666666666,4,1,0.25,0.5,2,0.3333333333333333,0.5,4,2,3,0.6666666666666666,2,0.006622516556291391,0.8695652173913043,23,20,11,1,0.65
2021,2021-08-30,UNLV Rebels - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,105,False,UC San Diego Tritons,34,0.5588235294117647,19,20.88,2.9,17.64,48,0.9375,45,0.189873417721519,14,2,4,0,0.0,6,2,0.3333333333333333,6,1,0.16666666666666666,1,4,73,0.6712328767123288,49,0.48,199,0.5326633165829145,106,122,0.6557377049180327,80,0.33755274261603374,22,3,0,-1,10,1,37,91,0.8681318681318682,79,0.3333333333333333,17.05,52,0.5384615384615384,28,0.11814345991561181,105,46,19,40,14.52,59,0.4745762711864407,28,5,12.3,305,0.7770491803278688,237,38,0.5789473684210527,22,0.09282700421940929,0,0,22,4,,14,1,0.07142857142857142,38.83,56,0.5714285714285714,32,0.1350210970464135,79,10,53,16,0,4-4-2 (100.0%),5,8,4,0.5,1,1,1.0,0.5,2,0.4,0.75,4,3,4,0.25,1,0.004219409282700422,0.65,20,13,9,3,0.52
2021,2021-08-30,UNLV Rebels - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,105,True,UNLV Rebels,34,0.4411764705882353,15,21.67,4.61,14.73,57,0.9649122807017544,55,0.12557077625570776,14,1,6,2,0.3333333333333333,1,1,1.0,8,4,0.5,4,5,59,0.5254237288135594,31,0.6699999999999999,199,0.4371859296482412,87,179,0.7318435754189944,131,0.2990867579908676,15,4,1,1,5,2,38,235,0.9234042553191489,217,0.4954337899543379,11.52,59,0.576271186440678,34,0.0776255707762557,118,70,13,35,15.48,73,0.3287671232876712,24,1,7.72,512,0.85546875,438,72,0.5833333333333334,42,0.0958904109589041,0,0,20,7,,18,3,0.16666666666666666,61.17,92,0.8043478260869565,74,0.1689497716894977,69,6,36,27,0,4-1-3-2 (45.78%),8,5,2,0.4,2,0,0.0,0.0,4,0.5,0.6666666666666666,3,2,4,0.25,1,0.00228310502283105,0.85,20,17,13,2,1.33
2021,2021-09-04,UC San Diego Tritons - Marymount California Mariners 6:0,United States. NCAA D1 Non-conference matches,99,True,Marymount California Mariners,35,0.22857142857142856,8,18.35,3.92,26.24,57,0.8771929824561403,50,0.136986301369863,14,6,2,0,0.0,0,0,,2,1,0.5,1,1,112,0.6160714285714286,69,-0.52,258,0.44573643410852715,115,154,0.6753246753246753,104,0.28493150684931506,25,3,0,-6,12,0,39,156,0.9166666666666666,143,0.3917808219178082,11.86,53,0.4716981132075472,25,0.0684931506849315,117,42,20,55,15.41,88,0.3068181818181818,27,0,6.24,447,0.8165548098434005,365,50,0.52,26,0.07123287671232877,0,0,13,3,,19,7,0.3684210526315789,52.81,69,0.6666666666666666,46,0.12602739726027398,72,6,26,40,0,4-2-3-1 (100.0%),9,15,12,0.8,6,4,0.6666666666666666,0.8,5,0.5555555555555556,0.6,15,9,6,0.0,0,0.0,0.96,25,24,5,4,0.52
2021,2021-09-04,UC San Diego Tritons - Marymount California Mariners 6:0,United States. NCAA D1 Non-conference matches,99,False,UC San Diego Tritons,35,0.7142857142857143,25,18.44,2.8,16.98,55,0.9272727272727272,51,0.16943521594684385,7,0,5,1,0.2,2,1,0.5,6,1,0.16666666666666666,2,7,88,0.6931818181818182,61,3.69,258,0.5426356589147286,140,133,0.7218045112781954,96,0.31893687707641194,17,6,1,6,5,6,35,128,0.8984375,115,0.38205980066445183,12.37,46,0.5652173913043478,26,0.08637873754152824,128,56,11,61,14.35,112,0.38392857142857145,43,1,9.31,372,0.8091397849462365,301,39,0.6923076923076923,27,0.08970099667774087,0,0,16,9,,27,10,0.37037037037037035,47.19,68,0.6470588235294118,44,0.1461794019933555,95,12,30,53,0,4-4-2 (100.0%),15,9,5,0.5555555555555556,4,2,0.5,0.2222222222222222,9,0.6,0.3333333333333333,3,1,0,,0,0.0,0.6956521739130435,23,16,23,2,2.31
2021,2021-09-07,Portland Pilots - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,98,True,Portland Pilots,30,0.4666666666666667,14,20.17,6.15,14.38,91,0.9340659340659341,85,0.14886164623467601,13,0,7,3,0.42857142857142855,2,0,0.0,17,3,0.17647058823529413,3,17,70,0.6571428571428571,46,-0.6799999999999999,257,0.5097276264591439,131,165,0.8303030303030303,137,0.23992994746059546,12,2,0,1,5,1,39,326,0.9171779141104295,299,0.5236427320490368,5.63,36,0.5833333333333334,21,0.03677758318739054,102,73,10,19,15.42,111,0.43243243243243246,48,0,4.63,640,0.8921875,571,98,0.8163265306122449,80,0.14010507880910683,0,0,32,6,,46,6,0.13043478260869565,71.09,97,0.9175257731958762,89,0.15586690017513136,83,16,24,43,0,4-1-4-1 (89.44%),9,4,2,0.5,3,2,0.6666666666666666,0.3333333333333333,6,0.6666666666666666,0.8571428571428571,7,6,5,0.6,3,0.005253940455341506,0.9230769230769231,13,12,23,5,1.68
2021,2021-09-07,Portland Pilots - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,98,False,UC San Diego Tritons,30,0.5,15,21.17,2.77,23.09,40,0.875,35,0.1674641148325359,20,1,2,0,0.0,0,0,,7,1,0.14285714285714285,1,2,111,0.5675675675675675,63,-0.21,257,0.46303501945525294,119,100,0.68,68,0.3253588516746411,11,2,0,-1,11,0,35,97,0.845360824742268,82,0.3923444976076555,15.13,41,0.4634146341463415,19,0.09090909090909091,105,29,30,46,16.06,70,0.34285714285714286,24,1,26.47,271,0.7712177121771218,209,33,0.5454545454545454,18,0.0861244019138756,0,0,12,1,,22,4,0.18181818181818182,28.91,59,0.4745762711864407,28,0.1339712918660287,86,5,59,22,0,4-4-2 (100.0%),4,9,6,0.6666666666666666,3,1,0.3333333333333333,0.5,2,0.5,0.6,10,6,1,0.0,0,0.0,0.7894736842105263,19,15,2,0,0.21
2021,2021-09-12,UC San Diego Tritons - Santa Clara Broncos 0:1 (E),United States. NCAA D1 Non-conference matches,115,True,Santa Clara Broncos,47,0.40425531914893614,19,19.38,5.5,24.53,118,0.9152542372881356,108,0.16640986132511557,14,0,10,2,0.2,0,0,,22,6,0.2727272727272727,3,11,85,0.6352941176470588,54,0.24,253,0.43873517786561267,111,246,0.7113821138211383,175,0.2696456086286595,11,0,0,1,11,1,51,305,0.921311475409836,281,0.43297380585516176,9.8,75,0.5866666666666667,44,0.06779661016949153,145,76,12,57,16.65,99,0.32323232323232326,32,1,10.38,765,0.8483660130718954,649,100,0.66,66,0.1016949152542373,0,0,29,3,,47,9,0.19148936170212766,64.59,117,0.8461538461538461,99,0.15254237288135594,113,18,48,47,0,3-4-1-2 (100.0%),11,12,5,0.4166666666666667,7,5,0.7142857142857143,0.7142857142857143,7,0.6363636363636364,0.3333333333333333,6,2,1,0.0,0,0.0,0.7931034482758621,29,23,16,3,0.76
2021,2021-09-12,UC San Diego Tritons - Santa Clara Broncos 0:1 (E),United States. NCAA D1 Non-conference matches,115,False,UC San Diego Tritons,47,0.46808510638297873,22,20.6,2.63,20.41,52,0.8846153846153846,46,0.16312056737588654,19,1,3,1,0.3333333333333333,2,1,0.5,12,2,0.16666666666666666,3,2,99,0.6767676767676768,67,-1.2,253,0.5217391304347826,132,165,0.6484848484848484,107,0.37943262411347517,2,4,0,-1,13,0,50,104,0.7596153846153846,79,0.2801418439716312,16.93,65,0.4307692307692308,28,0.09929078014184398,130,44,20,66,15.24,85,0.36470588235294116,31,1,29.58,384,0.734375,282,51,0.43137254901960786,22,0.07801418439716312,0,0,20,2,,30,9,0.3,35.41,73,0.5342465753424658,39,0.13829787234042554,93,6,53,34,0,4-4-2 (100.0%),12,11,8,0.7272727272727273,5,4,0.8,0.8,5,0.4166666666666667,1.0,2,2,2,0.0,0,0.0,0.90625,32,29,11,0,1.2
