Game,numOpportunity,Event,Result,Start Pos,End Pos,Team,Player
,,,,,,,
SDSU,1,Pass,Unsuccessful,"[16.09523809523808, 5.523809523809533]","[34.57142857142856, 7.238095238095241]",UCSD,17
,,,,,,,
SDSU,1,Pass,Successful,"[37.61904761904761, 7.238095238095241]","[15.904761904761891, 28.57142857142857]",Opponent,17
,,,,,,,
SDSU,1,Shot(foot),Unsuccessful,"[13.999999999999986, 26.095238095238102]","[2.3809523809523725, 40.761904761904766]",Opponent,17
SDSU,2,Pass,Unsuccessful,"[29.619047619047613, 7.80952380952381]","[54.19047619047618, 26.47619047619048]",UCSD,17
,,,,,,,
SDSU,2,Pass,Successful,"[52.28571428571427, 28.38095238095238]","[38.57142857142856, 18.85714285714286]",Opponent,17
,,,,,,,
SDSU,2,Pass,Successful,"[39.7142857142857, 18.095238095238102]","[33.99999999999999, 26.47619047619048]",Opponent,17
,,,,,,,
SDSU,2,Pass,Successful,"[40.28571428571427, 25.714285714285722]","[34.76190476190475, 42.095238095238095]",Opponent,17
,,,,,,,
SDSU,2,Shot(foot),Unsuccessful,"[27.14285714285713, 50.285714285714285]","[2.1904761904761827, 34.476190476190474]",Opponent,17
,,,,,,,
SDSU,3,Throw-in,Successful,"[12.666666666666657, 79.80952380952381]","[28.47619047619046, 73.71428571428572]",Opponent,17
,,,,,,,
SDSU,3,Pass,Successful,"[27.90476190476189, 50.285714285714285]","[37.8095238095238, 41.333333333333336]",Opponent,17
,,,,,,,
SDSU,3,Shot(foot),Unsuccessful,"[35.33333333333332, 39.04761904761905]","[0.2857142857142776, 29.904761904761912]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[112.28571428571428, 33.523809523809526]","[99.52380952380952, 24.76190476190476]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[98.19047619047618, 24.38095238095238]","[91.52380952380952, 35.42857142857143]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[88.85714285714283, 33.904761904761905]","[83.7142857142857, 23.23809523809524]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[82.76190476190476, 23.80952380952381]","[68.85714285714283, 6.666666666666671]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[55.14285714285713, 3.238095238095241]","[53.42857142857141, 13.714285714285722]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[45.99999999999999, 17.14285714285714]","[45.6190476190476, 5.714285714285722]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[46.76190476190475, 4.0]","[41.61904761904761, 14.476190476190482]",Opponent,17
,,,,,,,
SDSU,4,Pass,Successful,"[30.380952380952372, 19.23809523809524]","[13.428571428571416, 52.76190476190476]",Opponent,17
,,,,,,,
SDSU,4,Tackle,Successful,"[18.952380952380942, 44.0]","[23.33333333333332, 51.80952380952381]",UCSD,10
,,,,,,,
SDSU,4,Shot(foot),Unsuccessful,"[25.047619047619037, 52.38095238095238]","[0.857142857142847, 42.285714285714285]",Opponent,10
,,,,,,,
SDSU,5,Pass,Unsuccessful,"[30.761904761904752, 21.904761904761912]","[52.28571428571427, 17.33333333333333]",UCSD,8
,,,,,,,
SDSU,5,Pass,Successful,"[57.04761904761903, 21.904761904761912]","[51.33333333333332, 31.42857142857143]",Opponent,8
,,,,,,,
SDSU,5,Pass,Successful,"[50.19047619047618, 32.38095238095238]","[27.33333333333332, 29.523809523809533]",Opponent,8
,,,,,,,
SDSU,5,Shot(foot),Unsuccessful,"[25.999999999999986, 29.523809523809533]","[0.6666666666666572, 47.23809523809524]",Opponent,8
,,,,,,,
SDSU,6,Tackle,Successful,"[44.09523809523808, 33.714285714285715]","[-1, -1]",Opponent,11
,,,,,,,
SDSU,6,Shot(foot),Unsuccessful,"[35.33333333333332, 42.666666666666664]","[1.0476190476190368, 32.57142857142857]",Opponent,11
,,,,,,,
SDSU,7,Throw-in,Unsuccessful,"[94.76190476190476, 80.0]","[77.8095238095238, 72.95238095238095]",UCSD,17
,,,,,,,
SDSU,7,Pass,Successful,"[77.42857142857142, 72.57142857142857]","[68.28571428571428, 55.42857142857143]",Opponent,17
,,,,,,,
SDSU,7,Pass,Successful,"[66.38095238095238, 49.523809523809526]","[58.57142857142856, 29.14285714285714]",Opponent,17
,,,,,,,
SDSU,7,Pass,Successful,"[49.42857142857141, 13.904761904761912]","[78.76190476190476, 4.952380952380949]",Opponent,17
,,,,,,,
SDSU,7,Pass,Successful,"[87.52380952380952, 2.857142857142861]","[91.9047619047619, 18.47619047619048]",Opponent,17
,,,,,,,
SDSU,7,Shot(foot),Unsuccessful,"[97.42857142857142, 24.95238095238095]","[118.76190476190476, 37.904761904761905]",Opponent,17
,,,,,,,
SDSU,8,Pass,Unsuccessful,"[109.23809523809524, 43.23809523809524]","[85.8095238095238, 47.04761904761905]",UCSD,14
,,,,,,,
SDSU,8,Pass,Successful,"[90.95238095238093, 49.333333333333336]","[87.52380952380952, 32.0]",Opponent,14
,,,,,,,
SDSU,8,Pass,Successful,"[91.33333333333331, 28.19047619047619]","[88.09523809523807, 6.666666666666671]",Opponent,14
,,,,,,,
SDSU,8,Pass,Successful,"[88.85714285714283, 6.666666666666671]","[99.9047619047619, 33.714285714285715]",Opponent,14
,,,,,,,
SDSU,8,Pass,Successful,"[97.23809523809524, 32.761904761904766]","[89.04761904761904, 24.76190476190476]",Opponent,14
,,,,,,,
SDSU,8,Pass,Successful,"[91.9047619047619, 21.523809523809533]","[111.52380952380952, 46.095238095238095]",Opponent,14
,,,,,,,
SDSU,8,Shot(head),Unsuccessful,"[110.38095238095238, 47.04761904761905]","[118.19047619047618, 39.80952380952381]",Opponent,14
,,,,,,,
SDSU,9,Pass,Unsuccessful,"[53.04761904761903, 59.61904761904762]","[36.47619047619046, 63.61904761904762]",UCSD,17
,,,,,,,
SDSU,9,Pass,Successful,"[34.95238095238094, 64.0]","[46.76190476190475, 61.714285714285715]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[42.76190476190475, 56.76190476190476]","[43.52380952380951, 49.333333333333336]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[37.42857142857141, 50.85714285714286]","[35.52380952380951, 27.23809523809524]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[32.85714285714284, 24.0]","[57.6190476190476, 34.66666666666667]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[57.42857142857141, 31.61904761904762]","[68.28571428571428, 5.714285714285722]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[75.14285714285714, 12.19047619047619]","[70.76190476190476, 29.33333333333333]",Opponent,17
,,,,,,,
SDSU,9,Pass,Successful,"[77.04761904761904, 23.61904761904762]","[91.7142857142857, 23.80952380952381]",Opponent,17
,,,,,,,
SDSU,9,Shot(foot),Unsuccessful,"[104.47619047619045, 26.85714285714286]","[116.28571428571428, 37.333333333333336]",Opponent,17
,,,,,,,
SDSU,10,Tackle,Successful,"[51.33333333333332, 16.76190476190476]","[-1, -1]",Opponent,10
